point, mean, stddev, min, max
0, 51.28, 23.9667, 4, 117
1, 49.42, 23.6737, 2, 112
2, 28.79, 16.3201, 5, 85
3, 58.5, 31.6504, 11, 182
4, 24.76, 19.2334, 1, 114
5, 89.45, 42.5103, 18, 233
6, 41.77, 22.9167, 11, 118
7, 11.18, 8.38138, 1, 44
8, 53.88, 27.9997, 8, 126
9, 47.73, 22.9512, 7, 121
10, 55.5, 26.8788, 12, 155
11, 40.76, 22.1211, 7, 117
12, 43.11, 27.1319, 6, 144
13, 66.5, 33.6555, 19, 177
14, 26.8, 15.2086, 3, 89
15, 56.09, 28.6598, 3, 154
16, 66.53, 32.9246, 11, 191
17, 42.7, 23.3677, 7, 98
18, 38.82, 23.0614, 4, 130
19, 20.59, 11.3623, 2, 51
20, 42.5, 22.5679, 7, 119
21, 54.54, 28.5557, 13, 158
22, 55.59, 28.4145, 11, 150
23, 74.43, 34.6573, 15, 191
24, 103.63, 49.2391, 15, 266
25, 52.83, 29.3731, 12, 135
26, 34.67, 20.6316, 4, 106
27, 65.8, 34.2035, 10, 193
28, 67.57, 33.2885, 16, 184
29, 55.15, 28.2939, 8, 171
30, 72.15, 33.9389, 18, 193
31, 63.9, 28.6225, 14, 152
32, 30.6, 18.621, 5, 87
33, 63.58, 32.6169, 5, 155
34, 27.75, 17.8412, 1, 99
35, 62.02, 28.6946, 16, 180
36, 32.72, 17.2314, 9, 101
37, 47.54, 26.4119, 12, 131
38, 14.53, 15.1039, 1, 82
39, 57.74, 29.2908, 9, 155
40, 57.69, 29.8452, 9, 184
41, 53.1, 24.2609, 14, 138
42, 54.39, 26.1839, 5, 136
43, 47.71, 27.1534, 3, 123
44, 75.51, 36.9035, 12, 221
45, 60.64, 27.2751, 10, 132
46, 86.12, 38.3566, 16, 184
47, 24.26, 16.3638, 1, 87
48, 22.12, 13.6523, 2, 63
49, 12.34, 9.90679, 1, 47
50, 61.1, 27.7372, 12, 145
51, 42.75, 22.2869, 1, 125
52, 27.65, 17.6087, 4, 107
