point, mean, stddev, min, max
0, 1453.58, 1290.2, 155, 7036
1, 747.38, 759.61, 66, 5270
2, 744.12, 650.726, 78, 3459
3, 1914.84, 1605.89, 179, 9054
4, 1551.32, 1270.64, 141, 7150
5, 2222.58, 1729.82, 249, 10048
6, 1824.77, 1477.9, 138, 9194
7, 1110.54, 1012.28, 96, 6309
8, 1355.36, 1141.11, 124, 6369
9, 1851.64, 1598.84, 122, 9302
10, 1781.23, 1555.9, 93, 9093
11, 2150.26, 1765.57, 183, 9190
12, 1777.49, 1592.15, 234, 9856
13, 2309.48, 1853.88, 223, 11399
14, 1611.63, 1502.35, 107, 8930
15, 1934.91, 1622.85, 96, 9282
16, 1224.31, 1064.36, 65, 6246
17, 1712.99, 1326.06, 223, 7080
18, 2053.96, 1640.02, 203, 9348
19, 2088.57, 1755.74, 148, 10151
20, 2214.23, 1778.86, 213, 9555
21, 1398.53, 1224.38, 151, 7536
22, 2120.4, 1779.59, 210, 10615
23, 1035.04, 895.919, 72, 4269
24, 1886.99, 1637.22, 130, 10497
25, 1865.11, 1542.04, 199, 9769
26, 1954.55, 1627.34, 186, 10357
27, 1437.08, 1276.86, 83, 7253
28, 1478, 1219.22, 161, 6402
29, 2443.65, 1970.72, 252, 11857
30, 2105.37, 1755.65, 217, 9892
31, 1127.93, 1041.65, 64, 5966
32, 2040.94, 1643.59, 183, 9080
33, 1713.34, 1507.08, 86, 9311
34, 2090.54, 1722.09, 195, 10310
35, 1919.21, 1674.44, 121, 10269
36, 1934.69, 1645.84, 125, 10415
37, 1707.58, 1514.38, 170, 9982
38, 2184.81, 1745.04, 197, 10503
39, 1594.18, 1553.36, 123, 9716
40, 936.83, 846.542, 68, 6539
41, 2073.6, 1716.04, 197, 9778
42, 1852.27, 1463.83, 199, 8266
43, 1328.62, 1208.75, 88, 6465
44, 1908.54, 1601.91, 174, 9840
45, 1976.5, 1665.57, 180, 8839
46, 1274.77, 1138.2, 92, 6323
47, 1377.96, 1213.28, 92, 7192
48, 2196.06, 1769.55, 174, 10857
49, 2239.38, 1772.69, 208, 10028
50, 1151.23, 1083.96, 76, 6469
51, 1795.33, 1567.47, 191, 9855
52, 1649.46, 1336.05, 235, 7848
53, 1892.73, 1562.14, 149, 8397
54, 1504.88, 1412.86, 154, 8334
55, 1683.85, 1400.21, 141, 8737
56, 1484.06, 1207.06, 144, 7179
57, 1534.37, 1427.46, 131, 10757
58, 1728.36, 1532.14, 101, 9138
59, 1328.94, 1107.89, 83, 5607
60, 1960.79, 1628.59, 229, 9742
61, 1862.53, 1612.64, 133, 10134
62, 2211.42, 1812.48, 231, 11176
63, 2137.94, 1726.39, 253, 10194
64, 1964.34, 1640.81, 144, 9966
65, 1961.19, 1611.63, 109, 9798
66, 1974.09, 1649.88, 201, 8702
67, 2223.64, 1774.8, 226, 9651
68, 1109.23, 1021.21, 85, 6064
69, 2101.37, 1728.34, 168, 10225
70, 2215.29, 1735.94, 242, 10160
71, 1697.06, 1465.02, 75, 8970
72, 1151.06, 1109.08, 50, 7299
73, 2184.07, 1779.5, 286, 9996
74, 1328.22, 1196.04, 119, 7649
75, 1779.22, 1566.22, 107, 9728
76, 2269.66, 1819.3, 273, 10555
77, 2231.46, 1845.75, 192, 11844
78, 1084.07, 975.528, 90, 5595
79, 1923.78, 1604.63, 190, 9821
80, 2015.26, 1707.04, 119, 10800
81, 2180.97, 1789.08, 279, 9941
82, 1873.84, 1588.51, 152, 9988
83, 1570.66, 1320.54, 139, 6740
84, 2472.22, 1955.06, 266, 11950
85, 2049.54, 1666.31, 140, 9512
86, 1848.16, 1594.73, 141, 10143
87, 1218.46, 1063.14, 119, 5384
88, 1589.29, 1258.13, 160, 7837
89, 1809.3, 1635.53, 142, 10443
90, 1354.93, 1179.07, 104, 6974
91, 1873.9, 1625.61, 144, 10262
92, 1553.24, 1245.09, 142, 7209
93, 1600.15, 1392.03, 94, 7671
94, 1482.92, 1312.11, 105, 6351
95, 2026.47, 1592.6, 198, 8815
96, 2137.92, 1761.41, 179, 10821
97, 2166.65, 1801.53, 242, 11258
98, 2318.04, 1851.12, 251, 10401
