point, mean, stddev, min, max
0, 789.01, 524.539, 64, 2511
1, 736.19, 500.401, 54, 2892
2, 791.54, 540.742, 62, 2782
3, 705.12, 485.743, 43, 2389
4, 709.52, 491.217, 43, 2501
5, 821.5, 553.255, 54, 2740
6, 798.34, 532.426, 42, 2698
7, 548.06, 377.739, 42, 1716
8, 547.78, 376.221, 32, 1682
9, 747.37, 533.216, 51, 2856
10, 631.27, 437.253, 53, 2076
11, 717.29, 491.335, 52, 2348
12, 766.95, 539.783, 62, 2829
13, 795.2, 537.834, 56, 2692
14, 585.65, 405.948, 27, 1977
15, 667.87, 435.252, 62, 2093
16, 642.33, 453.913, 39, 2372
17, 824.45, 546.41, 53, 2753
18, 797.76, 526.211, 57, 2504
19, 863.25, 575.046, 53, 2911
20, 515.86, 346.896, 30, 1525
21, 873.5, 586.34, 73, 3082
22, 845.25, 555.308, 61, 2702
23, 840.62, 574.936, 69, 3118
24, 741.81, 502.572, 52, 2731
25, 665.13, 470.385, 58, 2491
26, 760.13, 521.059, 43, 2532
27, 761.16, 513.272, 62, 2554
28, 761.28, 515.694, 63, 2856
29, 723.63, 499.756, 52, 2603
30, 646.24, 459.693, 47, 2362
31, 618.41, 424.849, 57, 1924
32, 739.58, 501.77, 38, 2508
33, 804.69, 545.212, 78, 2807
34, 765.49, 525.439, 59, 2681
35, 819.76, 559.125, 69, 2765
36, 860.45, 572.642, 51, 2837
37, 712.63, 487.075, 60, 2312
38, 758.71, 518.668, 49, 2504
39, 810.82, 550.397, 60, 2974
40, 796.25, 524.178, 68, 2659
41, 856, 565.22, 64, 2901
42, 774.92, 532.308, 60, 2781
43, 882.03, 587.182, 67, 3139
44, 843.71, 564.774, 74, 2968
45, 596.55, 425.407, 45, 2125
46, 688.17, 483.291, 58, 2392
47, 794.76, 548.62, 47, 2846
48, 814.6, 553.208, 42, 2833
49, 787.88, 518.793, 57, 2520
50, 800.24, 550.488, 65, 3087
51, 737.37, 512.68, 58, 2450
52, 707.07, 499.463, 33, 2278
53, 616.89, 440.306, 38, 2318
54, 860.63, 588.379, 58, 3017
55, 783.83, 538.969, 71, 2667
56, 724.2, 500.354, 50, 2482
57, 603.28, 420.765, 40, 1968
58, 636.21, 441.161, 31, 2430
59, 598.43, 415.928, 56, 2406
60, 601.22, 404.479, 39, 2065
61, 749.75, 500.034, 57, 2692
62, 740.18, 499.383, 66, 2705
63, 870.19, 574.995, 69, 2873
64, 802.56, 535.359, 54, 2590
65, 619.21, 439.585, 51, 2292
66, 682.82, 479.762, 74, 2328
67, 763.25, 522.553, 65, 2669
68, 732.62, 502.104, 70, 2370
69, 753.58, 526.128, 41, 2509
70, 701.01, 491.211, 44, 2563
71, 740.53, 527.244, 22, 2733
72, 825.59, 558.715, 76, 2833
73, 816.13, 555.292, 46, 2890
74, 566.57, 387.533, 32, 1994
75, 761.61, 515.649, 38, 2478
76, 811.17, 529.79, 68, 2505
77, 767.53, 525.209, 29, 2610
78, 666.67, 461.758, 40, 2295
79, 703.64, 509.55, 57, 2901
80, 649.44, 443.764, 57, 2390
81, 751.87, 520.717, 45, 2729
82, 692.73, 470.271, 45, 2212
83, 812.31, 542.715, 57, 2682
84, 742.87, 520.979, 32, 2901
85, 777.42, 530.903, 62, 2525
86, 691.38, 473.97, 47, 2529
87, 828.89, 561.768, 52, 3027
88, 791.04, 537.296, 50, 2569
89, 671.08, 470.27, 33, 2369
90, 707.12, 492.51, 28, 2642
91, 523.28, 381.664, 36, 1904
92, 734.41, 503.508, 32, 2875
93, 770.45, 531.671, 60, 2762
94, 696.86, 484.737, 54, 2413
95, 745.87, 511.487, 52, 2472
96, 678.33, 454.318, 45, 2242
97, 822.96, 563.747, 43, 3012
98, 754.11, 521.552, 45, 2421
99, 744.24, 498.999, 63, 2327
100, 890.4, 596.8, 55, 3306
101, 780.64, 531.16, 59, 2743
102, 785.51, 524.018, 27, 2489
103, 752.23, 527.496, 66, 2556
104, 786.99, 540.025, 63, 2767
105, 754.8, 508.417, 37, 2589
106, 796.24, 535.299, 57, 2618
107, 617.54, 423.762, 45, 2090
108, 717.47, 486.671, 41, 2500
109, 844.96, 563.828, 52, 2743
110, 776.23, 529.887, 71, 2754
111, 897.23, 592.889, 71, 3098
112, 620.18, 440.391, 45, 1939
113, 661.64, 490.169, 37, 2762
114, 716.31, 498.533, 56, 2357
115, 561.58, 399.901, 44, 2153
116, 548.45, 389.547, 22, 2126
117, 833.46, 561.037, 54, 2907
118, 850.29, 559.948, 75, 2699
119, 751.41, 526.345, 49, 2882
120, 798.84, 540.892, 51, 2652
121, 772.36, 533.578, 48, 2756
122, 746.05, 491.089, 48, 2392
123, 749.7, 504.261, 35, 2398
124, 711.78, 508.213, 50, 2500
125, 770.32, 515.143, 48, 2842
126, 774.41, 519.457, 71, 2558
127, 873.91, 575.684, 80, 3030
128, 858.71, 571.593, 57, 2862
129, 815.68, 542.701, 31, 2544
130, 826.44, 567.36, 62, 3141
131, 730.72, 507.414, 61, 2798
132, 758.29, 516.64, 44, 2411
133, 798.48, 536.103, 52, 2795
134, 817.82, 559.29, 60, 2990
135, 795.53, 532.607, 69, 2795
136, 854.65, 577.689, 52, 3131
137, 693.28, 454.723, 44, 2217
138, 627.84, 439.69, 49, 2287
139, 771.78, 539.498, 45, 2610
140, 777.91, 530.2, 29, 2813
141, 789.24, 530.629, 54, 3001
142, 789.69, 542.417, 44, 2673
143, 689.1, 484.921, 43, 2988
144, 620.82, 459.221, 48, 2113
145, 636.09, 415.085, 41, 1981
146, 654.34, 469.501, 50, 2598
147, 759.22, 519.734, 49, 2643
148, 886.18, 588.565, 52, 3056
149, 691.34, 501.461, 44, 2621
150, 906.3, 593.923, 73, 2811
151, 593.66, 412.101, 33, 2189
152, 654.19, 452.534, 29, 2377
153, 653.16, 463.362, 49, 2169
154, 537.71, 405.014, 53, 2133
155, 790.28, 523.805, 53, 2521
156, 843.51, 571.814, 70, 2893
157, 581.04, 384.181, 33, 1946
158, 810.54, 555.331, 66, 2892
159, 757.47, 510.817, 39, 2729
160, 677.68, 472.93, 45, 2434
161, 841.6, 552.536, 69, 2818
162, 629.89, 450.648, 56, 2479
163, 690, 485.67, 51, 2449
164, 689.28, 465.045, 58, 2434
165, 722.04, 498.721, 34, 2290
166, 755.33, 514.307, 48, 2791
167, 657.04, 438.746, 55, 2104
168, 664.32, 455.159, 47, 2174
169, 681.39, 457.835, 56, 2152
170, 823.43, 561.488, 72, 3095
171, 501.99, 345.12, 40, 1843
172, 727.76, 517.222, 53, 2792
173, 854.75, 576.387, 46, 2971
174, 752.73, 510.568, 51, 2671
175, 775.88, 527.844, 41, 2435
176, 864.07, 572.311, 65, 2890
177, 718, 506.431, 70, 2895
178, 835.96, 560.397, 68, 2709
179, 666.71, 455.307, 27, 2346
180, 768.89, 528.647, 64, 2637
181, 710.02, 483.609, 40, 2334
182, 798.34, 541.725, 55, 2555
183, 684.81, 459.229, 65, 2479
184, 785.85, 540.777, 69, 2711
185, 705.26, 485.796, 38, 2547
186, 765.07, 509.07, 59, 2479
187, 699.4, 469.458, 29, 2329
188, 742.92, 494.353, 45, 2302
189, 703.08, 500.16, 59, 2963
190, 570.31, 377.253, 44, 1784
191, 828.49, 534.966, 61, 2772
192, 660.36, 453.371, 41, 2491
193, 704.74, 475.187, 61, 2396
194, 850.1, 562.978, 52, 2674
195, 760.63, 521.796, 48, 2781
196, 804.13, 530.179, 71, 2570
197, 792.17, 524.116, 43, 2706
198, 722.69, 494.291, 46, 2469
199, 892.03, 602.587, 44, 3149
200, 592.15, 435.206, 45, 2159
201, 844.02, 558.419, 63, 2950
202, 819.46, 538.51, 56, 2630
203, 844.44, 566.458, 80, 2953
204, 709.53, 479.493, 61, 2732
205, 828.62, 550.112, 30, 2777
206, 725.37, 491.433, 40, 2423
207, 830.01, 551.48, 54, 2615
208, 778.45, 537.367, 53, 2731
209, 806.92, 560.089, 61, 2876
210, 718.77, 495.649, 65, 2646
211, 616.4, 440.374, 38, 2309
212, 632.58, 449.687, 29, 2418
213, 736.42, 515.164, 45, 2716
214, 830.08, 553.723, 74, 2705
215, 645.3, 463.545, 25, 2638
216, 871.33, 592.398, 63, 3001
217, 765.36, 526.189, 75, 2410
218, 697.93, 481.055, 48, 2497
219, 736.28, 519.959, 40, 2455
220, 737.84, 506.047, 49, 2587
221, 649.95, 449.152, 21, 2181
222, 728.71, 494.706, 47, 2288
223, 757.45, 536.362, 60, 2859
224, 796.98, 538.216, 57, 2687
225, 650.8, 475.991, 62, 2613
226, 765.37, 514.939, 49, 2709
227, 560.8, 392.122, 37, 1984
228, 769.88, 516.16, 52, 2455
229, 823.3, 549.235, 68, 2528
230, 738.89, 520.105, 37, 2381
231, 699.62, 502.351, 56, 2982
232, 800.37, 538.554, 57, 2927
233, 850.59, 566.642, 69, 2952
234, 651.54, 441.408, 23, 2059
235, 769.68, 519.415, 55, 2658
236, 639.68, 437.984, 39, 2326
237, 787.94, 530.942, 57, 2538
238, 742.33, 492.171, 49, 2181
239, 863.4, 575.033, 61, 2834
240, 815.1, 546.508, 62, 2778
241, 658.54, 458.744, 54, 2347
242, 702.88, 478.657, 56, 2470
243, 742.4, 489.296, 55, 2278
244, 759.89, 528.301, 53, 2562
245, 553.22, 369.332, 31, 2129
246, 859.23, 563.293, 58, 2894
247, 780.32, 534.303, 40, 2582
248, 897.93, 588.557, 80, 3029
249, 692.23, 475.249, 64, 2239
250, 695.41, 469.979, 45, 2324
251, 803.81, 534.764, 65, 2842
252, 802.61, 546.678, 57, 2779
253, 861.89, 569.138, 52, 2986
254, 727.3, 512.715, 38, 2647
255, 791.22, 525.604, 76, 2630
256, 814.76, 547.583, 49, 2825
257, 795.46, 532.596, 55, 2778
258, 724.71, 500.664, 45, 2528
259, 703.94, 493.27, 35, 2259
260, 784.76, 526.688, 51, 2796
261, 735.52, 525.44, 50, 2864
262, 828.43, 552.352, 59, 2833
263, 806.77, 554.413, 62, 2903
264, 886.96, 587.159, 65, 2952
265, 870.98, 574.674, 54, 2879
266, 765.68, 520.501, 41, 2749
267, 807.14, 539.02, 44, 2778
268, 782.84, 544.309, 53, 2733
269, 720.56, 498.12, 54, 2401
270, 725.99, 488.952, 44, 2425
271, 777.22, 528.906, 39, 2491
272, 852.68, 573.48, 50, 2893
273, 782.41, 540.032, 61, 2771
274, 881.24, 585.033, 45, 3088
275, 608.34, 425.032, 24, 2042
276, 846.31, 572.383, 58, 3100
277, 814.25, 541.822, 59, 2622
278, 898.59, 587.845, 67, 2889
279, 659.62, 465.881, 70, 2413
280, 608.19, 434.832, 40, 2143
281, 795.8, 520.046, 50, 2617
282, 850.24, 574.466, 58, 2936
283, 792.09, 541.903, 48, 2588
284, 762.15, 498.365, 51, 2558
285, 655.22, 458.796, 41, 2267
286, 768.01, 543.005, 42, 3064
287, 658.11, 445.026, 32, 2259
288, 868.98, 565.123, 57, 2880
289, 780.17, 527.089, 57, 2803
290, 723.73, 495.111, 47, 2380
291, 780.65, 521.929, 40, 2309
292, 889.87, 584.329, 64, 2893
293, 607.01, 418.59, 35, 2000
294, 809.34, 543.772, 64, 2897
295, 824.8, 553.547, 58, 2863
296, 721.35, 503.426, 34, 2593
297, 819.05, 543.919, 71, 2965
298, 735.25, 504.319, 54, 2426
299, 687, 458.116, 53, 2246
