point, mean, stddev, min, max
0, 1974.99, 1696.86, 149, 11168
1, 2557.98, 2133.55, 182, 14678
2, 2668.91, 2179.12, 204, 14456
3, 2009.23, 1684.29, 112, 10409
4, 2459.59, 2150.29, 219, 14078
5, 2517.35, 2104.98, 168, 13211
6, 2318.23, 2061.11, 180, 13068
7, 2376.95, 1928.72, 213, 11556
8, 2696.18, 2196.2, 214, 13845
9, 2629.91, 2164.47, 215, 14269
10, 2108.99, 1779.59, 83, 10593
11, 1978.16, 1621.05, 125, 11017
12, 2486.6, 2118.36, 173, 12820
13, 2061.48, 1894.59, 119, 13487
14, 2129.8, 1675.62, 138, 10307
15, 2415.11, 2059.81, 145, 13447
16, 1573.58, 1217.86, 88, 6871
17, 2026.59, 1732.98, 170, 10293
18, 2355.55, 2017.26, 153, 14313
19, 2386.24, 2058.4, 158, 14352
20, 2619.65, 2064.42, 237, 13001
21, 2089.69, 1666.61, 176, 8742
22, 2798.15, 2247.27, 190, 14489
23, 2220.53, 1895.96, 138, 13460
24, 2270.85, 1949.46, 184, 12515
25, 2421.82, 2110.15, 122, 14234
26, 1229.85, 1065.84, 49, 6958
27, 2486.17, 2055, 183, 14062
28, 2885.34, 2269.78, 192, 14958
29, 2862.06, 2273.32, 257, 13444
30, 2705.97, 2236.36, 238, 14655
31, 1655.85, 1361.6, 122, 9343
32, 1509.06, 1341.47, 153, 9455
33, 2697.96, 2212.99, 195, 13928
34, 2627.27, 1995.29, 205, 12176
35, 1865.54, 1685.03, 111, 10547
36, 2645.28, 2178.7, 226, 13656
37, 1991.01, 1808.29, 101, 12808
38, 2600.02, 2193.88, 247, 14354
39, 2846.65, 2316.74, 233, 15154
40, 2048.19, 1691.02, 152, 10532
41, 2051.22, 1551.63, 97, 8041
42, 2207.16, 1763.01, 168, 10789
43, 2500.34, 2033.14, 220, 11793
44, 2211.47, 1933.54, 138, 13841
45, 1707.6, 1686.93, 128, 12846
46, 2373.7, 2029.32, 156, 13600
47, 2675.47, 2260.16, 211, 15150
48, 2672.82, 2176.58, 232, 13261
49, 2189.01, 1754.48, 137, 11732
50, 2707.05, 2254.81, 166, 14207
51, 2575.1, 2171.56, 154, 13898
52, 2427.57, 2098.82, 182, 14914
53, 2217.31, 1878.05, 163, 11189
54, 2769.25, 2155.78, 161, 12797
55, 2232.48, 1854.82, 199, 12523
56, 2481.22, 2104.32, 196, 14690
57, 2107.2, 1831.06, 125, 12705
58, 1815.55, 1591.69, 125, 11613
59, 2538.93, 2197.69, 151, 14314
60, 2519.52, 2082.22, 137, 12588
61, 1295.4, 1133.76, 23, 5786
62, 2223.3, 1778.08, 161, 9366
63, 1446.06, 1289.17, 126, 8174
64, 2702.88, 2175.25, 227, 13473
65, 2737.74, 2263.74, 208, 15267
66, 2490.19, 2112.56, 180, 13870
67, 2332.74, 1982.12, 175, 13125
68, 2301.96, 1923.23, 182, 13049
69, 2528.84, 2060.29, 202, 13313
70, 2348.98, 1989.18, 191, 13954
71, 2787.14, 2278.38, 189, 15400
72, 2578.58, 2118.45, 229, 13236
73, 2922.44, 2290.66, 199, 14430
74, 2416.85, 1998.77, 185, 12470
75, 2654.12, 2240.16, 210, 14664
76, 2213.26, 1841.16, 171, 12617
77, 2282.82, 2076.97, 145, 14926
78, 2018.9, 1677.29, 147, 10555
79, 2514.24, 2159.06, 215, 14448
80, 2384.39, 2001.26, 180, 12832
81, 1477.45, 1437.54, 121, 8406
82, 2178.41, 1890.08, 137, 11852
83, 2016.04, 1671.31, 151, 9536
84, 1553.88, 1412.2, 114, 11357
85, 2607.69, 2139.52, 189, 13456
86, 2436.26, 2042.42, 182, 13697
87, 2470.51, 2112.82, 111, 13710
88, 2838.47, 2285.24, 250, 14522
89, 2433.69, 2103.43, 213, 14842
90, 2172.07, 1976.02, 129, 13795
91, 1924.25, 1793.98, 150, 12052
92, 1782.65, 1495.86, 126, 8924
93, 2628.95, 2139.94, 241, 13215
94, 2227.79, 1816.39, 183, 9996
95, 2742.84, 2284.88, 245, 14671
96, 2742.85, 2148.23, 197, 13197
97, 2626.47, 2119.72, 233, 13771
98, 2150.48, 1867.69, 160, 12220
99, 2372.65, 1964.91, 151, 12986
100, 2186.27, 1828.21, 176, 12109
101, 2587.71, 2088.7, 212, 12913
102, 2668.71, 2204.78, 209, 15028
103, 1696.31, 1551.08, 106, 11488
104, 2237.84, 2041.9, 191, 15119
105, 2084.38, 1828.66, 155, 13468
106, 2748.58, 2251.21, 248, 14211
107, 2442.26, 2045.25, 247, 13319
108, 2482.9, 2115.79, 188, 13355
109, 1726.65, 1393.35, 98, 6969
110, 2758.6, 2254.12, 215, 14518
111, 2250.23, 1877.83, 169, 11928
112, 1650.68, 1579.37, 85, 12092
113, 2706.57, 2174.17, 262, 12947
114, 2894.63, 2298.88, 177, 15121
115, 2487.44, 1964.64, 227, 11008
116, 2431.33, 2066.23, 130, 13090
117, 2738.2, 2240.02, 190, 14549
118, 2782.91, 2201.39, 198, 13890
119, 1993.1, 1842.04, 212, 12316
120, 2573.6, 2159.71, 210, 14404
121, 2090.46, 1709.38, 201, 10897
122, 2311.14, 2058.31, 229, 13247
123, 2418.85, 1995.2, 233, 12761
124, 1607.7, 1477.01, 136, 11263
125, 2501.88, 2191.5, 112, 15218
126, 2565.37, 2094.01, 143, 12929
127, 2345.8, 2017.02, 180, 13702
128, 2328.68, 1893.16, 163, 11659
129, 2220.46, 1858.52, 203, 11877
130, 1647.66, 1392.28, 116, 8687
131, 2701.33, 2153.07, 223, 13553
132, 2439.22, 1971.86, 203, 12848
133, 2492.4, 2015.27, 220, 13384
134, 2767.1, 2276.84, 220, 14658
135, 2739.88, 2191, 149, 14121
136, 2192.85, 1958.73, 171, 12858
137, 2261.11, 2040, 209, 14141
138, 2712.02, 2260.08, 185, 15221
139, 2676.52, 2188.18, 142, 14140
140, 2379.01, 2038.29, 222, 12995
141, 2557.55, 2134.27, 151, 13544
142, 2590.1, 2150.73, 194, 13434
143, 2626.56, 2147.7, 145, 13316
144, 2181.22, 1906.64, 122, 11966
145, 2488.39, 2105.36, 263, 13836
146, 2585.53, 2125.64, 186, 13368
147, 2346.77, 2003.25, 267, 12535
148, 2461.54, 1956.6, 129, 11543
149, 2049.68, 1725.71, 115, 11715
150, 2545.67, 2156.07, 126, 14710
151, 2542.12, 2105.11, 201, 13370
152, 2356.12, 2018.94, 203, 13642
153, 1719.33, 1432.16, 104, 8255
154, 2351.96, 1921.5, 174, 12710
155, 675.44, 657.482, 23, 4111
156, 2442.75, 2118.54, 219, 14578
157, 2306.43, 1825.26, 162, 10696
158, 2249.93, 1949.51, 206, 11424
159, 2668.26, 2108.01, 218, 14220
160, 1691.31, 1592.26, 66, 12201
161, 3020.94, 2346.69, 258, 14738
162, 2647.38, 2264.26, 191, 15287
163, 1692.81, 1650.88, 86, 11543
164, 2725.66, 2196.3, 231, 14252
165, 2372.05, 1945.05, 211, 10568
166, 1909.39, 1501.32, 104, 8133
167, 2108.57, 1814.36, 172, 11974
168, 3004.82, 2343.6, 258, 14514
169, 2235.03, 1878.98, 156, 12106
170, 2559.3, 2014.93, 214, 12340
171, 2338.73, 2040.47, 200, 13541
172, 1803.44, 1512.11, 143, 7643
173, 2791.22, 2252.53, 214, 13759
174, 2753.1, 2256.05, 264, 14511
175, 2656.14, 2244.76, 201, 15457
176, 2649.36, 2268.29, 227, 14920
177, 2505.62, 2010.82, 197, 11780
178, 1256.68, 990.212, 92, 5304
179, 2820.65, 2332.76, 247, 15490
180, 1864.67, 1728.99, 131, 12521
181, 2460.44, 1981.96, 224, 11544
182, 2130.42, 1792.24, 193, 11206
183, 2250.54, 1867.02, 141, 12492
184, 2081.88, 1843.46, 119, 13692
185, 1754.43, 1540.43, 76, 11422
186, 2514.7, 2115.72, 212, 12786
187, 2032.09, 1699.58, 131, 8730
188, 2420.09, 2106.96, 155, 14099
189, 1353.23, 1271.83, 91, 8463
190, 2462.69, 2080.81, 93, 13160
191, 2528.55, 2038.99, 180, 12764
