point, mean, stddev, min, max
0, 1, 0, 1, 1
1, 1, 0, 1, 1
2, 1, 0, 1, 1
3, 1, 0, 1, 1
4, 1, 0, 1, 1
5, 1, 0, 1, 1
6, 1, 0, 1, 1
7, 1, 0, 1, 1
8, 1, 0, 1, 1
9, 1, 0, 1, 1
10, 1.01, 0.0994988, 1, 2
11, 1, 0, 1, 1
12, 1, 0, 1, 1
13, 1, 0, 1, 1
14, 2.68, 2.29295, 1, 12
15, 1, 0, 1, 1
16, 1, 0, 1, 1
17, 1, 0, 1, 1
18, 1, 0, 1, 1
19, 1, 0, 1, 1
20, 1, 0, 1, 1
21, 1, 0, 1, 1
22, 2.8, 2.52587, 1, 10
23, 1, 0, 1, 1
24, 1, 0, 1, 1
25, 1, 0, 1, 1
26, 2.62, 2.42396, 1, 15
27, 1, 0, 1, 1
28, 2.52, 2.2912, 1, 14
29, 2.39, 2.10663, 1, 12
30, 10.61, 6.06118, 1, 30
31, 1, 0, 1, 1
32, 1, 0, 1, 1
33, 1, 0, 1, 1
34, 1, 0, 1, 1
35, 1, 0, 1, 1
36, 1.01, 0.0994988, 1, 2
37, 1, 0, 1, 1
38, 2.47, 1.967, 1, 12
39, 1, 0, 1, 1
40, 1, 0, 1, 1
41, 1, 0, 1, 1
42, 2.78, 2.67798, 1, 13
43, 1.01, 0.0994988, 1, 2
44, 2.36, 2.04216, 1, 10
45, 2.7, 2.35584, 1, 10
46, 10.77, 6.23194, 1, 24
47, 1, 0, 1, 1
48, 1, 0, 1, 1
49, 1, 0, 1, 1
50, 2.53, 1.9822, 1, 13
51, 1, 0, 1, 1
52, 2.66, 2.14579, 1, 11
53, 2.25, 1.86748, 1, 9
54, 10.42, 6.05505, 1, 28
55, 1, 0, 1, 1
56, 2.46, 2.24241, 1, 13
57, 2.46, 2.49568, 1, 13
58, 10.99, 7.01355, 1, 35
59, 2.4, 2.14942, 1, 10
60, 10.14, 6.17903, 1, 28
61, 10.74, 6.59336, 1, 35
62, 2.98, 2.50591, 1, 12
63, 1, 0, 1, 1
64, 1, 0, 1, 1
65, 1, 0, 1, 1
66, 1, 0, 1, 1
67, 1, 0, 1, 1
68, 1, 0, 1, 1
69, 1.01, 0.0994988, 1, 2
70, 2.83, 2.6308, 1, 14
71, 1, 0, 1, 1
72, 1, 0, 1, 1
73, 1, 0, 1, 1
74, 2.8, 2.46171, 1, 13
75, 1, 0, 1, 1
76, 2.18, 2.04147, 1, 11
77, 2.19, 1.99847, 1, 14
78, 10.74, 6.37122, 1, 30
79, 1, 0, 1, 1
80, 1, 0, 1, 1
81, 1, 0, 1, 1
82, 2.65, 2.65848, 1, 17
83, 1, 0, 1, 1
84, 2.51, 2.26934, 1, 12
85, 2.99, 2.60574, 1, 14
86, 10.9, 6.5215, 1, 31
87, 1, 0, 1, 1
88, 2.51, 2.35582, 1, 13
89, 2.53, 1.87859, 1, 9
90, 10.29, 6.69223, 1, 31
91, 2.3, 2.0664, 1, 11
92, 10.83, 6.6514, 1, 28
93, 11.03, 7.32319, 1, 43
94, 2.36, 1.87361, 1, 9
95, 1, 0, 1, 1
96, 1, 0, 1, 1
97, 1.01, 0.0994988, 1, 2
98, 2.53, 2.28672, 1, 10
99, 1, 0, 1, 1
100, 2.83, 2.91909, 1, 18
101, 2.43, 2.08449, 1, 12
102, 11, 7.98248, 1, 45
103, 1.01, 0.0994988, 1, 2
104, 2.83, 2.66854, 1, 14
105, 2.87, 2.63687, 1, 14
106, 11.08, 7.23281, 1, 33
107, 2.46, 2.36821, 1, 12
108, 10.82, 6.26639, 1, 26
109, 11.71, 7.90986, 1, 36
110, 2.38, 1.61728, 1, 8
111, 1, 0, 1, 1
112, 2.4, 2.09762, 1, 13
113, 2.36, 1.78056, 1, 10
114, 11.11, 7.62875, 1, 34
115, 2.53, 2.37257, 1, 13
116, 10.71, 6.17786, 1, 29
117, 11.04, 6.19664, 1, 28
118, 2.9, 2.22486, 1, 10
119, 2.74, 2.42743, 1, 14
120, 10.9, 7.3641, 1, 40
121, 11.87, 7.64546, 1, 29
122, 2.72, 1.91353, 1, 9
123, 10.67, 7.66166, 1, 33
124, 2.46, 1.99208, 1, 8
125, 2.67, 2.09788, 1, 12
126, 1, 0, 1, 1
127, 1, 0, 1, 1
128, 1, 0, 1, 1
129, 1, 0, 1, 1
130, 1, 0, 1, 1
131, 1, 0, 1, 1
132, 1.01, 0.0994987, 1, 2
133, 1, 0, 1, 1
134, 2.16, 1.72465, 1, 9
135, 1, 0, 1, 1
136, 1, 0, 1, 1
137, 1, 0, 1, 1
138, 2.67, 2.45786, 1, 11
139, 1, 0, 1, 1
140, 2.56, 2.28613, 1, 13
141, 2.84, 2.85209, 1, 15
142, 10.53, 6.71037, 1, 34
143, 1, 0, 1, 1
144, 1.02, 0.198998, 1, 3
145, 1, 0, 1, 1
146, 2.59, 2.29388, 1, 12
147, 1, 0, 1, 1
148, 2.56, 2.16018, 1, 10
149, 2.45, 2.48747, 1, 12
150, 11.62, 7.53098, 1, 40
151, 1, 0, 1, 1
152, 2.41, 2.18676, 1, 10
153, 2.51, 2.47586, 1, 16
154, 11.14, 7.22637, 1, 32
155, 2.64, 2.27825, 1, 13
156, 11.13, 7.0152, 1, 28
157, 11.38, 6.82023, 1, 34
158, 3.37, 2.71903, 1, 15
159, 1, 0, 1, 1
160, 1, 0, 1, 1
161, 1, 0, 1, 1
162, 2.83, 3.22817, 1, 18
163, 1, 0, 1, 1
164, 2.35, 2.34681, 1, 13
165, 2.48, 2.24713, 1, 11
166, 11.09, 6.7618, 1, 33
167, 1, 0, 1, 1
168, 2.62, 2.52895, 1, 13
169, 2.59, 2.77162, 1, 14
170, 12.42, 8.12672, 1, 37
171, 2.93, 2.511, 1, 14
172, 11.38, 6.54795, 1, 29
173, 11.66, 7.11227, 1, 29
174, 2.86, 2.50208, 1, 14
175, 1, 0, 1, 1
176, 2.45, 1.95128, 1, 10
177, 2.59, 2.54203, 1, 15
178, 10.32, 6.67065, 1, 26
179, 2.27, 2.23989, 1, 14
180, 11.31, 7.59038, 1, 34
181, 12.23, 7.30459, 1, 34
182, 3.36, 2.85489, 1, 14
183, 2.49, 1.91047, 1, 9
184, 11.3, 7.08449, 1, 39
185, 11.22, 7.59023, 1, 34
186, 3.09, 2.53415, 1, 14
187, 11.25, 6.56563, 1, 33
188, 2.67, 2.4902, 1, 13
189, 2.74, 2.68931, 1, 14
190, 1, 0, 1, 1
191, 1, 0, 1, 1
192, 1, 0, 1, 1
193, 1, 0, 1, 1
194, 2.39, 2.18584, 1, 13
195, 1, 0, 1, 1
196, 2.91, 3.08576, 1, 20
197, 2.87, 2.85186, 1, 13
198, 11.54, 7.22969, 1, 36
199, 1, 0, 1, 1
200, 2.38, 2.01881, 1, 14
201, 2.53, 2.00227, 1, 14
202, 10.49, 7.54917, 1, 42
203, 2.79, 2.46696, 1, 13
204, 11.47, 7.06039, 1, 29
205, 11.19, 6.76121, 1, 32
206, 2.79, 2.40123, 1, 12
207, 1, 0, 1, 1
208, 2.77, 2.48538, 1, 16
209, 2.5, 2.27376, 1, 12
210, 11.16, 6.92058, 1, 33
211, 2.46, 1.96682, 1, 10
212, 11.44, 7.08565, 1, 32
213, 11.43, 6.05021, 1, 32
214, 2.7, 2.58264, 1, 15
215, 2.55, 2.23774, 1, 13
216, 11.06, 7.53236, 1, 40
217, 10.62, 6.93222, 1, 33
218, 3.06, 2.91829, 1, 12
219, 11.65, 7.84267, 1, 45
220, 2.98, 2.73123, 1, 16
221, 2.7, 2.21133, 1, 10
222, 1, 0, 1, 1
223, 1, 0, 1, 1
224, 2.88, 2.69177, 1, 14
225, 2.95, 2.95762, 1, 18
226, 11.55, 6.9518, 1, 39
227, 2.61, 2.45314, 1, 13
228, 11.27, 6.93088, 1, 31
229, 11.11, 6.97839, 1, 31
230, 2.9, 2.63629, 1, 14
231, 3.04, 3.28609, 1, 20
232, 11.88, 6.25505, 1, 29
233, 11, 7.98874, 1, 42
234, 2.7, 2.43926, 1, 13
235, 10.53, 6.19267, 1, 27
236, 3.1, 2.44336, 1, 12
237, 2.65, 2.4551, 1, 13
238, 1, 0, 1, 1
239, 2.42, 2.32886, 1, 10
240, 11.62, 6.98682, 1, 33
241, 10.99, 6.93901, 1, 31
242, 2.57, 2.11781, 1, 11
243, 11.83, 7.21118, 1, 33
244, 2.68, 2.45715, 1, 14
245, 2.8, 2.30651, 1, 12
246, 1, 0, 1, 1
247, 12.11, 6.94535, 1, 31
248, 2.85, 2.29074, 1, 13
249, 2.97, 2.62471, 1, 14
250, 1, 0, 1, 1
251, 2.7, 2.15174, 1, 11
252, 1, 0, 1, 1
253, 1, 0, 1, 1
254, 1, 0, 1, 1
255, 1, 0, 1, 1
256, 1, 0, 1, 1
257, 1, 0, 1, 1
258, 1, 0, 1, 1
259, 1, 0, 1, 1
260, 1, 0, 1, 1
261, 1, 0, 1, 1
262, 2.42, 2.34171, 1, 18
263, 1, 0, 1, 1
264, 1.01, 0.0994988, 1, 2
265, 1, 0, 1, 1
266, 2.4, 2.87402, 1, 22
267, 1, 0, 1, 1
268, 2.82, 2.79063, 1, 12
269, 2.85, 2.45102, 1, 10
270, 12.29, 7.16979, 1, 35
271, 1, 0, 1, 1
272, 1, 0, 1, 1
273, 1, 0, 1, 1
274, 2.5, 1.97231, 1, 8
275, 1, 0, 1, 1
276, 2.28, 1.84434, 1, 9
277, 2.61, 2.41203, 1, 10
278, 10.96, 7.05963, 1, 29
279, 1, 0, 1, 1
280, 2.62, 2.52103, 1, 16
281, 2.86, 2.93605, 1, 20
282, 11.63, 7.18423, 1, 36
283, 2.64, 2.78036, 1, 18
284, 12.35, 6.91863, 1, 32
285, 12.09, 6.99871, 1, 27
286, 2.71, 2.20588, 1, 10
287, 1, 0, 1, 1
288, 1, 0, 1, 1
289, 1, 0, 1, 1
290, 2.38, 2.04343, 1, 11
291, 1, 0, 1, 1
292, 2.62, 2.34427, 1, 12
293, 2.69, 2.73018, 1, 16
294, 11.24, 7.40692, 1, 38
295, 1, 0, 1, 1
296, 2.48, 2.65887, 1, 16
297, 2.38, 1.86965, 1, 11
298, 11.15, 7.13074, 1, 30
299, 2.28, 2.4903, 1, 21
300, 11.98, 8.34144, 1, 49
301, 11.29, 6.8371, 1, 39
302, 2.87, 2.64066, 1, 13
303, 1, 0, 1, 1
304, 2.42, 1.89831, 1, 10
305, 3, 3.10484, 1, 21
306, 12.22, 7.93924, 1, 46
307, 2.6, 2.23159, 1, 13
308, 11.87, 7.20924, 1, 32
309, 11.9, 7.70649, 1, 35
310, 3.06, 2.78144, 1, 14
311, 2.57, 1.88284, 1, 8
312, 11.19, 7.06498, 1, 37
