point, mean, stddev, min, max
0, 33507.2, 22309.7, 3693, 128369
1, 27729.7, 18627, 2180, 100849
2, 28219.4, 22020.2, 1510, 139211
3, 27742, 17048.2, 2404, 82324
4, 29044.1, 20033.1, 965, 83109
5, 29199.1, 23365.1, 3139, 131007
6, 30630.5, 19485.8, 3710, 79766
7, 28006.7, 20112.5, 2237, 96696
8, 26061.8, 19074.8, 1382, 96826
9, 27313.2, 17693.1, 2241, 77392
10, 29206, 18721.9, 2029, 80903
11, 25840.2, 20358.9, 1603, 93614
12, 27094.4, 18212.1, 1695, 91268
13, 29119.9, 21906.3, 2385, 143848
14, 26972.4, 18841.4, 2588, 81365
15, 31436.7, 26289.9, 2228, 165851
16, 27148.8, 19371.6, 700, 112241
17, 29348.3, 20877.4, 1910, 117653
18, 28487.9, 18496.1, 1401, 85023
19, 31724.4, 20653.9, 2253, 117170
20, 27941, 19563.7, 1652, 75979
21, 32324.7, 20732, 2217, 131119
22, 28861.3, 18729.2, 920, 82311
23, 29152.7, 21021.8, 1911, 131654
24, 28475.2, 19509.2, 1562, 91738
25, 29670.2, 18107.2, 2430, 81859
26, 29251.8, 18380.7, 2590, 85039
27, 29904.5, 19954.2, 1891, 102850
28, 28069.9, 19842.3, 2203, 122795
29, 25913, 17447.5, 2135, 83839
30, 27225.1, 21108.6, 1114, 113013
31, 27479.8, 19504.3, 2119, 88532
32, 27549.1, 18225.2, 2793, 85575
33, 25205, 16700.5, 2191, 78113
34, 28521.6, 18384, 1130, 73598
35, 28346.3, 17190.1, 1952, 72198
36, 31411.1, 20330, 1243, 104087
37, 28222.7, 22477.2, 1175, 134831
38, 25838.5, 17234.1, 1890, 77120
39, 26819.4, 17478.5, 2084, 80703
40, 28590.9, 22208.1, 1780, 126657
41, 25904, 18460.2, 1984, 80760
42, 27673.4, 19495, 2219, 102278
43, 28867.2, 18560.1, 1940, 74132
44, 27117.1, 16397, 2422, 70247
45, 29078.7, 17760.2, 1934, 85398
46, 29529.2, 21563.7, 2083, 138613
47, 27545.6, 21696.7, 1256, 138638
48, 28602.6, 17950.3, 2571, 82523
49, 26866.2, 18164.3, 2003, 84096
50, 27734.2, 18486.2, 1454, 80809
51, 28336, 21913.1, 1503, 136637
52, 27979.8, 18400.8, 1607, 81793
53, 29169.7, 18491.1, 2153, 79999
54, 29884.9, 21021.1, 2732, 95816
55, 26958.3, 16890.2, 2202, 79266
56, 28676.1, 17668.2, 2569, 72803
57, 28492.3, 17294.3, 2649, 69471
58, 27684.9, 17854.6, 1685, 84262
59, 27389.5, 17586, 1494, 82037
60, 30464.5, 22078.4, 2442, 145243
61, 29984.8, 20914, 3096, 109817
62, 28342, 20429.3, 1818, 121290
63, 28649.6, 18728.5, 2173, 105489
64, 29026.3, 18767.5, 2262, 88408
65, 28188.9, 20118.1, 2300, 73982
66, 26530.6, 20475.3, 1566, 119291
67, 29184.6, 22626.5, 2190, 174225
68, 28677.5, 20786.1, 2172, 109707
69, 28908.4, 19857.5, 2585, 107224
70, 30916.8, 22577.8, 1979, 105211
71, 27388.8, 16519.4, 2497, 77455
72, 28149.1, 18068.2, 1908, 77857
73, 30558.9, 21918.8, 1869, 148025
74, 30683.3, 20719.1, 2051, 127056
75, 30112.8, 24591.6, 2721, 168454
76, 28454.7, 18933, 1555, 77064
77, 27798.7, 18736.6, 1277, 102191
78, 30434.2, 22309.5, 2136, 128198
79, 29038.2, 20228.2, 2362, 108708
80, 30100.6, 23219.2, 1935, 136882
81, 26449.9, 21525.6, 1393, 140301
82, 29494.5, 18091.1, 1666, 76408
83, 29462, 19746.3, 1405, 100879
84, 27770.2, 19210.7, 1871, 92316
85, 29620.5, 23194, 2015, 146305
86, 27646.6, 19144.7, 2130, 89599
87, 27602.9, 20555.5, 2136, 97809
88, 26904.7, 21396.7, 1876, 135200
89, 28563.2, 18985.3, 1672, 71545
90, 27237, 20990, 1705, 122167
91, 30157.6, 24262.7, 2315, 178255
92, 28983.8, 21688.1, 796, 130681
93, 27437.7, 17177.1, 1804, 75344
94, 29873.4, 20361.2, 2403, 112981
95, 26056, 20123.2, 1945, 143897
96, 26441.7, 19235.9, 2328, 73031
97, 28468.5, 20644.4, 1628, 123828
98, 27605.3, 18730, 1233, 81452
99, 25969.8, 20701.7, 1489, 126181
100, 27201.4, 16745.4, 2677, 62374
101, 28108.9, 18351.3, 2041, 112266
102, 29570.8, 21634.6, 2904, 117474
103, 29115.4, 19980.6, 2514, 130159
104, 27716.2, 20520.8, 2011, 102457
105, 31903.1, 19584.9, 1951, 91222
106, 29134.3, 17788.9, 1206, 95321
107, 27851, 18424.8, 1584, 87635
108, 26686.1, 19276.5, 1946, 92053
109, 29599.8, 21188.5, 2164, 123736
110, 27699.9, 19277.2, 2697, 123903
111, 27994.6, 18353.6, 2938, 78805
112, 27925.7, 20536.7, 2323, 92911
113, 27466.8, 17958.4, 1862, 85288
114, 27801.6, 17353.8, 1179, 69103
115, 28352.9, 18448, 2175, 76671
116, 28441.3, 16675.3, 2482, 64433
117, 26838.8, 19034.5, 2548, 84317
118, 27349.2, 19541.4, 1734, 110945
119, 27224.2, 17979.4, 1449, 85390
120, 28031.7, 18236.6, 2463, 74535
121, 29873.7, 19893.4, 1776, 90155
122, 27914.7, 19077.4, 2121, 81336
123, 27441.6, 18960.8, 1038, 83406
124, 26537.5, 17333.9, 1558, 87137
125, 26989.4, 19807, 1924, 93662
126, 28252.8, 20233.9, 1916, 92405
127, 25993.5, 18652.7, 1777, 89039
128, 28918.8, 24066.8, 2133, 186279
129, 28837.2, 20626.7, 1726, 89659
130, 27923.2, 19149.9, 1523, 90676
131, 28892.3, 20298.5, 1845, 86742
132, 25677.9, 17291, 2190, 75150
133, 28056.2, 20155.7, 1470, 88609
134, 29470.8, 18674.9, 3104, 73527
135, 27956.8, 21517.9, 1518, 148829
136, 27394.8, 16625.8, 1398, 71979
137, 27245.9, 18630.5, 1847, 75978
138, 25537.8, 16017.1, 1880, 69955
139, 28737.6, 19177.1, 1812, 91341
140, 27434.5, 18831, 1872, 78974
141, 27978.4, 20496.4, 2388, 112155
142, 29515.7, 20641.8, 1099, 104881
143, 24922.6, 17100.1, 1345, 71759
144, 30364.3, 20965.9, 1554, 97624
145, 26786.7, 19813.6, 1825, 114201
146, 27400.9, 18624.2, 1645, 85799
147, 27175.7, 18068.6, 1491, 109930
148, 27319.5, 17858.9, 2096, 74786
149, 29089.5, 19311.8, 2605, 108067
150, 28913.8, 18296.9, 2019, 85556
151, 28137.2, 17636.4, 2580, 76348
152, 28476.2, 20501.3, 1373, 100671
153, 30446.8, 27188.8, 1736, 228730
154, 28546.6, 17259.4, 2085, 67973
155, 26150.2, 19061, 483, 96078
156, 30075, 17939.9, 1169, 78040
157, 25712, 17987.1, 1159, 85916
158, 28456.4, 19180.3, 3648, 86331
159, 28684.2, 18671.8, 646, 89542
160, 26238.5, 17928.5, 1685, 86730
161, 28830.6, 18119.7, 2844, 87657
162, 27306.1, 17914.7, 1985, 75841
163, 27546.9, 17987.8, 2213, 100230
164, 29721.9, 19902, 2025, 101996
