point, mean, stddev, min, max
0, 142330, 117883, 181, 598018
1, 148307, 122272, 279, 615003
2, 148249, 122387, 275, 622840
3, 143639, 119223, 261, 600832
4, 160052, 130232, 299, 662749
5, 148748, 122507, 301, 617739
6, 146566, 121577, 258, 612879
7, 146960, 121413, 289, 616384
8, 144269, 119789, 250, 607503
9, 148428, 122449, 230, 623177
10, 144966, 120038, 272, 606843
11, 145172, 120279, 297, 609035
12, 145123, 119962, 240, 608596
13, 153679, 125879, 307, 637411
14, 132793, 111657, 279, 568182
15, 148094, 122020, 279, 618576
16, 134111, 111730, 282, 563768
17, 141647, 117693, 331, 597069
18, 146899, 121039, 254, 610208
19, 144552, 119606, 319, 606147
20, 150077, 123536, 287, 627431
21, 147159, 121431, 274, 616291
22, 148163, 122327, 264, 621272
23, 145949, 120815, 229, 611454
24, 139966, 116842, 243, 595590
25, 148538, 122538, 311, 622816
26, 138236, 115618, 224, 590903
27, 140550, 115748, 296, 580498
28, 121414, 99293, 178, 492206
29, 148250, 122296, 302, 620209
30, 154275, 126014, 320, 637366
31, 148093, 122223, 317, 620806
32, 150742, 124143, 255, 629244
33, 148615, 122714, 309, 619936
34, 149738, 123201, 346, 620280
35, 137350, 114455, 261, 572772
36, 150567, 123465, 293, 623654
37, 148349, 122358, 264, 619465
38, 101893, 82376, 231, 406547
39, 134585, 112855, 231, 571919
40, 147072, 121367, 329, 616094
41, 154310, 126133, 304, 638700
42, 145520, 120282, 213, 608987
43, 148833, 122624, 179, 622132
44, 148764, 122657, 301, 618109
45, 138801, 115326, 224, 584407
46, 142161, 118222, 261, 599270
47, 150780, 123828, 339, 625746
48, 138776, 114957, 306, 589619
49, 135930, 112282, 268, 566863
50, 148764, 122740, 336, 622877
51, 152363, 124844, 337, 633957
52, 147647, 121865, 260, 615922
53, 150235, 123318, 294, 621310
54, 151938, 124636, 267, 632354
55, 152423, 124846, 252, 633249
56, 143735, 119250, 280, 606286
57, 149316, 122989, 307, 623283
58, 148997, 122545, 337, 621596
59, 149003, 122727, 328, 617149
60, 151857, 124713, 273, 630794
61, 148442, 122503, 286, 619243
62, 157069, 128207, 302, 652335
63, 139308, 114770, 289, 580954
64, 149055, 122659, 266, 620613
65, 108196, 87014.9, 161, 429105
66, 150134, 123406, 274, 624429
67, 113114, 91270.6, 277, 445834
68, 152656, 125009, 302, 634984
69, 147405, 121321, 244, 613351
70, 152224, 124735, 203, 630233
71, 152616, 125028, 185, 633915
72, 145963, 120616, 305, 609329
73, 151523, 124093, 302, 628016
74, 149567, 123323, 214, 626494
75, 150604, 123667, 347, 625166
76, 149073, 122704, 294, 621211
77, 150989, 124038, 308, 631918
78, 149224, 122870, 294, 620780
79, 147269, 121592, 175, 614790
80, 147173, 121095, 350, 614835
81, 156167, 127572, 334, 647430
82, 148661, 122309, 275, 618526
83, 150602, 123650, 308, 624031
84, 150549, 123723, 315, 626591
85, 148884, 122622, 301, 617346
86, 148870, 122690, 243, 618373
87, 148848, 122611, 294, 622536
88, 150374, 123551, 264, 624975
89, 147392, 121467, 363, 615444
90, 147122, 121436, 308, 613442
91, 139090, 114776, 297, 589779
92, 151307, 124241, 183, 627902
93, 121746, 98565.9, 252, 497631
94, 149450, 122907, 318, 623570
95, 151658, 124271, 317, 630373
96, 149483, 123175, 264, 627371
97, 147899, 121953, 284, 619421
98, 141949, 117673, 242, 600088
99, 139382, 116152, 181, 583645
100, 150492, 123776, 330, 625145
101, 151674, 124514, 303, 630780
102, 141349, 117420, 217, 591234
103, 148186, 121762, 335, 618175
104, 151850, 124580, 296, 633094
105, 148150, 122315, 242, 623565
106, 154233, 126281, 323, 638265
107, 149499, 123007, 256, 623164
108, 152073, 124337, 353, 627505
109, 142190, 117552, 252, 593949
110, 149966, 123416, 235, 625175
111, 144833, 120072, 229, 611916
112, 142627, 118405, 279, 596093
113, 154742, 126460, 345, 639829
114, 149613, 123050, 287, 623572
115, 150949, 123694, 246, 626627
116, 148765, 122790, 293, 622861
117, 152527, 124987, 313, 633157
118, 146776, 121390, 307, 610945
119, 149487, 123283, 306, 623270
120, 149154, 122767, 302, 620749
121, 149743, 123188, 292, 624257
122, 152333, 124892, 250, 630069
123, 132474, 110570, 208, 557817
124, 151141, 124113, 296, 627979
125, 148617, 122928, 245, 624479
126, 149643, 123098, 303, 622408
127, 141997, 118068, 261, 596995
128, 157218, 127944, 324, 645519
129, 145580, 120069, 296, 605892
130, 149182, 122751, 292, 620278
131, 140681, 117507, 213, 597807
132, 153756, 125860, 244, 638460
133, 150001, 123410, 293, 628668
134, 144543, 119806, 231, 606635
135, 145248, 119603, 287, 609967
136, 148346, 122108, 263, 617855
137, 149720, 123467, 252, 625684
138, 149639, 123393, 326, 620423
139, 152033, 124671, 272, 631453
140, 147769, 121846, 279, 617677
141, 146340, 121007, 319, 614030
142, 152576, 124925, 278, 631025
143, 150384, 123726, 310, 625458
144, 140396, 117090, 227, 599776
145, 150084, 123121, 363, 624015
146, 146615, 120826, 292, 608506
147, 149657, 123015, 298, 620832
148, 144564, 119735, 284, 602134
149, 142877, 118982, 276, 601544
150, 155753, 127129, 359, 646236
151, 150239, 123427, 312, 628032
152, 148363, 122265, 236, 617869
153, 125589, 103699, 293, 521316
154, 122857, 101901, 226, 506537
155, 148775, 122420, 327, 616559
156, 149819, 123453, 319, 622979
157, 148438, 122247, 272, 618003
158, 131011, 108305, 255, 546118
159, 150071, 123328, 214, 623839
160, 147428, 121561, 311, 616286
161, 148793, 122791, 281, 619417
162, 145684, 120666, 289, 614482
163, 139875, 115852, 337, 593392
164, 153547, 125711, 348, 637132
165, 150281, 123886, 285, 625579
166, 151643, 124270, 295, 628772
167, 156152, 127289, 312, 642816
168, 143939, 119402, 260, 603859
169, 139247, 116441, 220, 590429
170, 159614, 129784, 351, 655102
171, 145998, 120821, 187, 612373
172, 151910, 124729, 364, 633781
173, 151714, 124581, 307, 629243
174, 150368, 123505, 294, 624840
175, 149300, 123076, 278, 622652
176, 144782, 119837, 164, 608784
177, 148389, 122432, 248, 620144
178, 149759, 123413, 319, 624808
179, 149395, 122711, 328, 621799
180, 154153, 125802, 311, 639202
181, 145372, 120334, 323, 606291
182, 149006, 122917, 230, 622954
183, 149000, 122671, 299, 620001
184, 142314, 118562, 244, 595462
185, 144952, 119783, 262, 606846
186, 150451, 123690, 286, 627212
187, 148379, 122306, 283, 621223
188, 144297, 118787, 300, 601916
189, 142556, 118484, 235, 599945
190, 148920, 122536, 324, 618454
191, 147354, 121822, 294, 616476
192, 147274, 121746, 313, 618576
193, 151126, 124106, 270, 628393
194, 148035, 122499, 258, 619515
195, 156653, 127706, 389, 647872
196, 149931, 123448, 297, 625534
197, 149902, 123299, 301, 622947
198, 149905, 123424, 244, 623586
199, 153839, 125809, 317, 638930
200, 148328, 122469, 248, 619550
201, 144188, 119658, 260, 603525
202, 151263, 124290, 299, 628784
203, 144509, 119908, 303, 605272
204, 149798, 123538, 299, 627279
205, 149970, 123316, 326, 623733
206, 150303, 123554, 329, 623044
207, 147065, 121342, 286, 610442
208, 151938, 124513, 364, 629439
209, 152120, 124750, 300, 631984
210, 154215, 126367, 359, 643124
211, 154013, 126247, 328, 639866
212, 151138, 123982, 296, 626557
213, 149198, 122855, 276, 621131
214, 145523, 120426, 311, 609651
215, 146596, 121097, 302, 612333
216, 148754, 122717, 246, 623200
217, 152035, 124628, 344, 630705
218, 145542, 120908, 330, 618826
219, 139359, 115125, 237, 580334
220, 146617, 121106, 221, 616142
221, 153257, 125444, 307, 636509
222, 159083, 129409, 384, 656728
223, 148940, 122718, 319, 622814
224, 137221, 113530, 305, 575793
225, 146629, 121053, 198, 615594
226, 146362, 120804, 259, 611191
227, 145301, 120439, 279, 614101
228, 151390, 124282, 284, 628289
229, 146246, 120859, 251, 613346
230, 152544, 124891, 301, 633634
231, 149936, 123341, 294, 626251
232, 125716, 102453, 243, 515723
233, 146089, 120642, 289, 609994
234, 152450, 125028, 296, 632395
235, 157448, 128160, 325, 649840
236, 146381, 120158, 258, 606875
237, 148561, 122476, 296, 620882
238, 151720, 124476, 324, 628387
239, 149009, 122584, 234, 620137
240, 149110, 122710, 206, 623913
241, 150161, 123423, 290, 627122
242, 148574, 122159, 325, 619602
243, 148295, 122039, 225, 615798
244, 147281, 121665, 191, 615597
245, 103203, 83535.4, 229, 421644
246, 148801, 122613, 307, 624835
247, 149021, 122663, 256, 622604
248, 150581, 123751, 289, 625643
249, 153126, 125259, 355, 634966
250, 148820, 122633, 305, 618829
251, 155557, 126948, 340, 644645
252, 144543, 119983, 281, 607891
253, 145203, 120253, 226, 604462
254, 151851, 124388, 322, 627456
255, 147617, 122025, 252, 620544
256, 153329, 125511, 310, 634160
257, 149967, 123183, 344, 621140
258, 149924, 123209, 331, 625983
259, 146710, 121252, 272, 619130
260, 146296, 120879, 337, 610150
261, 145695, 120513, 236, 607879
262, 147470, 121471, 350, 619036
263, 150525, 123677, 242, 627697
264, 155346, 126878, 344, 642547
265, 117761, 96299.8, 247, 477264
266, 153097, 125506, 281, 637811
267, 150517, 123839, 224, 627852
268, 149621, 123131, 224, 624273
269, 149393, 122974, 252, 623709
270, 150130, 123150, 322, 622790
271, 133806, 113464, 259, 579004
272, 157340, 128160, 339, 648302
273, 148768, 122299, 310, 619444
274, 146483, 120809, 283, 610581
275, 152745, 125036, 331, 634220
276, 147476, 121638, 232, 619775
277, 148056, 121901, 277, 617304
278, 151563, 124400, 323, 629030
279, 143760, 119365, 249, 604741
280, 148408, 122359, 232, 620296
281, 149510, 123095, 292, 624034
282, 145442, 120341, 302, 609629
283, 140412, 116776, 159, 592943
284, 150459, 123633, 223, 624262
285, 150844, 123975, 303, 627005
286, 144551, 120425, 311, 616145
287, 154344, 126058, 326, 637625
288, 142046, 118442, 213, 600982
289, 137452, 114797, 296, 583186
290, 148830, 122187, 303, 617098
291, 148776, 122457, 263, 620135
292, 145475, 120431, 229, 609303
293, 146504, 120757, 313, 607604
294, 147852, 122081, 259, 615312
295, 148288, 122572, 185, 621097
296, 146154, 120851, 303, 609505
297, 146470, 120881, 332, 611926
298, 148600, 122329, 261, 622003
299, 151257, 124260, 292, 629113
300, 149908, 123243, 319, 626177
301, 152702, 125210, 309, 637226
302, 145467, 120098, 276, 609037
303, 157974, 128799, 328, 652332
304, 142497, 118927, 230, 605319
305, 143533, 119412, 300, 604248
306, 151316, 124235, 291, 628236
307, 150611, 124001, 307, 629639
308, 150229, 123496, 256, 624052
309, 143436, 119432, 252, 606114
310, 150476, 123519, 323, 626807
311, 138590, 114768, 287, 584558
312, 145179, 119677, 297, 605222
313, 146765, 121464, 254, 617411
314, 149654, 123204, 302, 621260
315, 145070, 120365, 308, 608880
316, 147192, 121467, 306, 613464
317, 153494, 125777, 343, 639365
318, 153459, 125564, 367, 634794
319, 149304, 122928, 323, 622037
320, 132978, 109932, 290, 550967
321, 140336, 115957, 186, 586085
322, 145688, 120843, 228, 609096
323, 146399, 121171, 281, 614397
324, 146269, 120475, 219, 609125
325, 151697, 124690, 271, 630763
326, 150985, 124122, 271, 626919
327, 152911, 125315, 331, 636711
328, 143874, 119399, 243, 600418
329, 149101, 122618, 310, 620241
330, 150597, 123557, 316, 623501
331, 150890, 123806, 304, 627915
332, 147339, 121515, 295, 614808
333, 144907, 120081, 249, 607361
334, 152054, 124662, 279, 629178
335, 148726, 122623, 323, 621148
336, 142436, 118678, 230, 604356
337, 113659, 93344, 209, 465669
338, 146911, 121420, 220, 612363
339, 158700, 129152, 368, 653238
340, 149621, 122968, 180, 622440
341, 150715, 123840, 346, 627929
342, 147827, 121937, 292, 615905
343, 153303, 125494, 320, 637226
344, 151497, 124399, 344, 629067
