point, mean, stddev, min, max
0, 1.13, 0.673127, 1, 6
1, 1.09, 0.376696, 1, 3
2, 1.17, 0.95974, 1, 9
3, 1.15, 0.753326, 1, 8
4, 1.13, 0.626976, 1, 5
5, 1.15, 0.71239, 1, 6
6, 1.12, 0.652381, 1, 6
7, 1.08, 0.391918, 1, 4
8, 1.15, 0.698212, 1, 6
9, 1.11, 0.563826, 1, 5
10, 1.09, 0.530943, 1, 5
11, 1.09, 0.426497, 1, 4
12, 1.12, 0.570614, 1, 5
13, 1.11, 0.598248, 1, 6
14, 1.16, 0.744581, 1, 6
15, 1.24, 0.69455, 1, 5
16, 1.22, 0.686732, 1, 5
17, 1.08, 0.416653, 1, 4
18, 1.11, 0.527162, 1, 5
19, 1.13, 0.730137, 1, 7
20, 1.02, 0.14, 1, 2
21, 1.11, 0.581292, 1, 5
22, 1.13, 0.687822, 1, 7
23, 1.13, 0.642728, 1, 6
24, 1.12, 0.604649, 1, 6
25, 1.16, 0.796493, 1, 7
26, 1.22, 0.843564, 1, 8
27, 1.1, 0.479583, 1, 4
28, 1.97, 0.655057, 1, 6
29, 1.23, 0.614084, 1, 4
30, 1.11, 0.614736, 1, 6
31, 1.09, 0.549455, 1, 6
32, 1.26, 0.756571, 1, 7
33, 1.11, 0.614736, 1, 6
34, 1.12, 0.570614, 1, 5
35, 1.13, 0.642728, 1, 6
36, 1.08, 0.503587, 1, 5
37, 1.11, 0.563826, 1, 5
38, 1.11, 0.507839, 1, 5
39, 1.16, 0.868561, 1, 8
40, 1.15, 0.739932, 1, 6
41, 1.13, 0.70221, 1, 7
42, 1.11, 0.527162, 1, 5
43, 1.2, 0.959167, 1, 7
44, 1.11, 0.581292, 1, 5
45, 1.13, 0.642728, 1, 6
46, 1.17, 0.762299, 1, 7
47, 1.18, 0.84119, 1, 7
48, 1.13, 0.577148, 1, 4
49, 1.09, 0.471063, 1, 5
