point, mean, stddev, min, max
0, 62737.1, 152870, 36, 644735
1, 62552.1, 152591, 28, 644263
2, 62825.4, 153009, 28, 645462
3, 62517.6, 152524, 35, 643826
4, 62979.3, 153261, 36, 646271
5, 62591, 152654, 37, 644257
6, 63043.5, 153371, 38, 646564
7, 62628.9, 152720, 34, 644633
8, 62938.8, 153188, 41, 645950
9, 62507.4, 152496, 35, 643778
10, 62766.1, 152922, 27, 645242
11, 62767.7, 152932, 33, 645127
12, 62698.1, 152822, 33, 644788
13, 62973.2, 153252, 39, 645989
14, 62739.9, 152875, 31, 645062
15, 62795.3, 152946, 27, 644820
16, 62814.4, 152992, 30, 645348
17, 62824.1, 153030, 29, 645640
18, 62721.8, 152866, 25, 644930
19, 62771.9, 152950, 17, 645043
20, 62937.2, 153182, 29, 645911
21, 62777.7, 152941, 29, 644995
22, 62712.5, 152825, 38, 644875
23, 62834.3, 153015, 40, 645744
24, 62866.8, 153071, 21, 645563
25, 62670.8, 152769, 15, 644536
26, 62844.6, 153033, 28, 645387
27, 62857.5, 153071, 40, 645670
28, 62788.2, 152959, 43, 645242
29, 62644.7, 152733, 20, 644431
30, 62869.6, 153079, 34, 645560
31, 62912, 153143, 30, 645805
32, 62558.3, 152584, 29, 644317
33, 63006.7, 153284, 41, 646258
34, 62726.4, 152854, 35, 645128
35, 63071, 153389, 33, 646313
36, 62854.7, 153055, 23, 645509
37, 62898.2, 153122, 32, 645431
38, 62783.6, 152957, 31, 645311
39, 62851.4, 153053, 38, 645505
40, 62828, 153009, 29, 645246
41, 62922.1, 153152, 46, 645758
42, 62842.9, 153058, 36, 645609
43, 62498.8, 152513, 27, 643728
44, 62698.1, 152821, 21, 644721
45, 62929.9, 153165, 25, 645580
46, 63053.1, 153375, 39, 646569
47, 63041.7, 153345, 42, 646493
48, 62747.8, 152888, 34, 644969
49, 62746.2, 152893, 29, 644939
50, 62846.9, 153052, 26, 645467
51, 62749.6, 152901, 37, 645082
52, 62567.7, 152599, 36, 643896
53, 62502.9, 152491, 34, 644316
54, 62811.8, 152980, 39, 645036
55, 62821.6, 153009, 30, 645662
56, 63052.3, 153373, 33, 646122
57, 62889.4, 153120, 44, 645504
58, 62655, 152773, 26, 644412
59, 62847.7, 153054, 34, 645708
60, 62878.5, 153082, 25, 645679
61, 62828.2, 153004, 28, 645212
62, 62782.9, 152938, 27, 645163
63, 62847.7, 153046, 43, 645628
64, 62433.2, 152400, 26, 643724
65, 62808.9, 152988, 20, 645386
66, 62784.8, 152949, 39, 645207
67, 62815, 152986, 25, 645225
68, 62789.8, 152968, 35, 645418
69, 62923.2, 153169, 44, 645755
70, 62908.8, 153134, 44, 645725
71, 62842.8, 153044, 40, 645433
72, 62870.9, 153081, 26, 645583
73, 62998.6, 153260, 43, 645939
74, 62905.8, 153139, 31, 645769
75, 62711.6, 152847, 37, 645190
76, 62906.4, 153124, 32, 645582
77, 62823.1, 153001, 27, 645460
78, 62778.7, 152945, 45, 645065
79, 62985.8, 153263, 36, 646381
80, 62746.7, 152891, 30, 645187
81, 63044.9, 153345, 40, 646210
82, 62849.4, 153059, 40, 645481
83, 62772.2, 152939, 31, 644996
84, 62847.5, 153042, 36, 645576
85, 62690.9, 152804, 29, 644743
86, 62732.8, 152876, 37, 645044
87, 62846.3, 153044, 22, 645149
88, 62621.2, 152682, 25, 644510
89, 62858.4, 153063, 34, 645539
90, 63091.3, 153413, 24, 646841
91, 62811.2, 153000, 36, 645458
92, 62933.6, 153174, 28, 645778
93, 62893.3, 153110, 27, 645771
94, 62606.9, 152673, 28, 644729
95, 62874.1, 153098, 39, 645721
96, 62866.7, 153068, 37, 645682
97, 62810.9, 152997, 34, 645375
98, 62959.9, 153230, 31, 646001
99, 62839.5, 153018, 26, 645488
100, 63052.9, 153359, 34, 646570
101, 62824.7, 153033, 31, 645576
102, 62853.6, 153054, 34, 645587
103, 62943.5, 153207, 30, 646059
104, 62919.1, 153165, 37, 645624
105, 62928, 153169, 30, 645822
106, 62610.1, 152685, 31, 644562
107, 62895.8, 153132, 30, 645927
108, 62672.3, 152753, 26, 644681
109, 62764.3, 152916, 28, 644831
110, 62812.8, 152989, 38, 645483
111, 62935, 153190, 27, 646029
112, 62783.1, 152955, 27, 645565
113, 62856.9, 153053, 45, 645493
114, 62813.7, 152994, 40, 645390
115, 62899.6, 153129, 37, 645711
116, 62931.1, 153180, 22, 645710
117, 62874.7, 153097, 35, 645850
118, 62927.5, 153181, 45, 645930
119, 62814, 153001, 41, 645192
120, 62837.9, 153034, 34, 645345
121, 62852.3, 153065, 40, 645820
122, 62638, 152722, 30, 644355
123, 62837.5, 153029, 35, 645587
124, 62891.8, 153121, 32, 645781
125, 62615.6, 152678, 28, 644294
126, 62923.1, 153154, 38, 646147
127, 62616.3, 152698, 29, 644436
128, 62790, 152951, 39, 645175
129, 62890.1, 153098, 43, 645466
130, 62681.1, 152752, 32, 644453
131, 62810.7, 153000, 30, 645264
132, 62799.6, 152965, 18, 645330
133, 63059, 153378, 37, 646381
134, 62838.2, 153048, 32, 645437
135, 62976, 153238, 41, 645918
136, 62781.9, 152959, 35, 645247
137, 63004, 153307, 43, 646471
138, 62819.9, 153003, 35, 645286
139, 62981.6, 153250, 34, 646254
140, 62863.2, 153071, 25, 645490
141, 62726.2, 152830, 27, 644745
142, 62670.3, 152786, 31, 644865
143, 63017.3, 153301, 18, 646292
144, 62877.3, 153101, 44, 645850
145, 62997.1, 153289, 40, 646236
146, 62950.4, 153205, 33, 645953
147, 62978.3, 153253, 47, 646286
148, 62769.8, 152919, 38, 645047
149, 62710.4, 152822, 28, 644981
150, 62847.3, 153037, 45, 645650
151, 62756.2, 152897, 26, 645230
152, 62880.2, 153100, 39, 645816
153, 62891.7, 153120, 26, 645767
154, 62899.6, 153122, 23, 645761
155, 62746.8, 152885, 35, 644829
156, 62761.7, 152911, 24, 645267
157, 62863.3, 153073, 29, 645761
158, 62886.1, 153102, 22, 645650
159, 62809, 152990, 41, 645315
160, 62769.5, 152939, 27, 645266
161, 62638.6, 152734, 28, 644420
162, 62857.4, 153056, 28, 645719
163, 62780.6, 152962, 24, 645048
164, 62849.5, 153049, 28, 645556
165, 62790.7, 152951, 26, 645308
166, 62600, 152668, 14, 644548
167, 62846.9, 153032, 19, 645402
168, 62905.1, 153140, 42, 645610
169, 62619.2, 152694, 29, 644347
170, 62725, 152855, 27, 644959
171, 62697.7, 152814, 34, 645024
172, 62686.5, 152808, 34, 644897
173, 62813.2, 152989, 28, 645481
174, 62933.8, 153180, 37, 645645
175, 62861, 153062, 44, 645864
176, 62824.2, 153002, 35, 645200
177, 62789.9, 152951, 37, 645347
178, 62742.9, 152884, 19, 644866
179, 62830.7, 153031, 26, 645576
180, 62771.6, 152920, 31, 645001
181, 62840, 153034, 42, 645475
182, 62818.8, 153015, 40, 645446
183, 62680.1, 152798, 29, 644860
184, 62867.2, 153066, 40, 645637
185, 62725.9, 152840, 38, 644731
186, 62750.5, 152892, 41, 645015
187, 62700.2, 152832, 29, 644774
188, 62970.6, 153227, 38, 646100
189, 62872.5, 153074, 36, 645642
190, 62869.6, 153092, 23, 645600
191, 62827.2, 153020, 44, 645668
192, 62822, 153007, 36, 645494
193, 62770.2, 152916, 37, 644828
194, 62815.2, 153004, 26, 645405
195, 62629.2, 152719, 36, 644339
196, 62984.6, 153267, 45, 646136
197, 62936.8, 153182, 40, 646064
198, 63040.3, 153338, 38, 646392
199, 62707.1, 152825, 28, 645231
200, 62864.3, 153056, 38, 645434
201, 62871.4, 153088, 33, 645562
202, 62913.2, 153152, 31, 645848
203, 62847.1, 153057, 34, 645682
204, 62943.6, 153175, 39, 645944
205, 62914.1, 153150, 28, 645835
206, 62909.9, 153163, 27, 645786
207, 62806.7, 152984, 40, 645314
208, 62935.6, 153170, 39, 645769
209, 62909.1, 153135, 32, 645750
210, 62816.3, 152993, 19, 645453
211, 62788.9, 152957, 20, 645397
212, 62791.6, 152975, 24, 645392
213, 62777.3, 152955, 35, 645203
214, 62943.4, 153203, 22, 646197
215, 62730.9, 152873, 34, 644764
216, 62730.1, 152874, 38, 644871
217, 62774.6, 152957, 36, 645203
218, 62785.5, 152965, 34, 645388
219, 63026.2, 153324, 36, 646209
220, 62607.3, 152669, 20, 643836
221, 62601.8, 152655, 17, 643984
222, 62891, 153123, 32, 646046
223, 62558.8, 152558, 29, 643899
224, 62838.9, 153031, 28, 645447
225, 63079.9, 153412, 54, 646611
226, 63009.8, 153313, 36, 646343
227, 62897.5, 153106, 40, 645607
228, 62816.2, 152993, 36, 645468
229, 62830.1, 153022, 45, 645448
230, 62750.5, 152889, 40, 645102
231, 62839.6, 153035, 26, 645322
232, 62924.8, 153170, 25, 645901
233, 62820.4, 152989, 35, 645386
234, 62711.9, 152837, 31, 644744
235, 62726.6, 152864, 32, 644674
236, 62818.7, 152996, 35, 645168
237, 62627.2, 152697, 31, 644591
238, 62969, 153228, 38, 645891
239, 62970.4, 153239, 25, 646036
240, 62561.4, 152602, 31, 644307
241, 62712.3, 152855, 38, 644869
242, 62705.6, 152838, 21, 644920
243, 62989.1, 153265, 36, 646261
244, 62875.2, 153082, 50, 645657
245, 63057.9, 153367, 33, 646324
246, 62884.2, 153087, 30, 645431
247, 62951.9, 153202, 33, 645851
248, 62920.1, 153157, 41, 645814
249, 62889, 153117, 44, 645495
250, 62875.9, 153097, 31, 645654
251, 62676.9, 152769, 21, 644670
252, 62829.9, 153022, 35, 645156
253, 62790.2, 152973, 41, 645525
254, 62903.3, 153132, 46, 645768
255, 62760.1, 152892, 44, 645205
256, 62840, 153036, 42, 645584
257, 62880.9, 153108, 33, 645851
258, 62825.7, 153012, 42, 645204
259, 62912.7, 153128, 40, 645658
260, 62710.2, 152825, 32, 644780
261, 62757.5, 152896, 28, 645095
262, 62565.7, 152612, 38, 644462
263, 63004.6, 153289, 42, 646270
264, 62975.1, 153250, 29, 646034
265, 62743.3, 152910, 24, 645164
266, 62787.4, 152966, 29, 645557
267, 62898.4, 153128, 33, 645817
268, 62739.8, 152873, 28, 644799
269, 62754.9, 152883, 44, 644930
270, 62967.6, 153226, 39, 646084
271, 62825, 153012, 33, 645387
272, 62830.8, 152997, 25, 645279
273, 62832.1, 153018, 42, 645448
274, 62882.1, 153086, 27, 645550
275, 62850.6, 153054, 28, 645644
276, 62974.4, 153245, 33, 646358
277, 62591.7, 152659, 38, 644039
278, 62910.9, 153160, 38, 646043
279, 62485.3, 152434, 24, 643383
280, 63018.7, 153313, 35, 646323
281, 62977.9, 153239, 42, 646088
282, 62738.5, 152861, 32, 645007
283, 63005.7, 153303, 49, 646314
284, 62985.2, 153244, 32, 645908
285, 62764.3, 152917, 41, 645608
286, 62856.9, 153051, 49, 645753
287, 62930.7, 153174, 29, 645762
288, 62841.5, 153034, 34, 645579
289, 62847.9, 153037, 36, 645331
290, 62828.2, 153027, 44, 645768
291, 62851.7, 153053, 41, 645645
292, 62942.2, 153190, 38, 645778
293, 62817.9, 152983, 46, 645497
294, 62821.2, 153010, 23, 645305
295, 62772.9, 152919, 33, 645120
296, 63006.3, 153297, 36, 646265
297, 62643.7, 152729, 33, 644324
298, 62816.6, 152997, 26, 645301
299, 62806.6, 152979, 30, 645008
300, 62868.5, 153084, 40, 645658
301, 62664.7, 152774, 21, 644550
302, 62902.9, 153130, 27, 645811
303, 62981.1, 153257, 39, 646457
304, 62943.1, 153182, 39, 645817
305, 62909.6, 153139, 38, 645749
306, 62832.1, 153021, 26, 645236
307, 62756.6, 152898, 26, 645254
308, 62738.9, 152881, 30, 644678
309, 62771.1, 152953, 24, 645228
310, 62634.7, 152722, 28, 644750
311, 62852.1, 153064, 37, 645902
312, 62949.1, 153217, 38, 646007
313, 62792.9, 152956, 16, 645067
314, 62864.1, 153075, 35, 645650
315, 62894.2, 153104, 36, 645842
316, 62831.3, 153029, 27, 645601
317, 62812.9, 152974, 40, 645344
318, 62750.3, 152898, 15, 644800
319, 62810.5, 152991, 48, 645466
320, 62658.7, 152764, 35, 644285
321, 62778.7, 152939, 35, 645004
322, 62699.9, 152813, 37, 644583
323, 62728.6, 152872, 32, 644955
324, 63043.5, 153355, 42, 646480
325, 62852.3, 153055, 32, 645876
326, 62824.7, 153018, 24, 645572
327, 62596.7, 152635, 18, 644221
328, 62877.1, 153064, 42, 645525
329, 62827.1, 152998, 25, 645072
330, 62764.9, 152928, 31, 645146
331, 62882.9, 153093, 32, 645470
332, 63030.1, 153330, 38, 646263
333, 62666.7, 152763, 31, 644680
334, 62776.2, 152928, 25, 645257
335, 62733.4, 152878, 28, 644957
336, 62904.5, 153131, 40, 645865
337, 62946.1, 153217, 42, 646040
338, 62712.1, 152835, 32, 645039
339, 62982.2, 153257, 38, 645968
340, 62639.7, 152717, 37, 644536
341, 62946.9, 153184, 29, 645818
342, 62812.9, 152996, 22, 645284
343, 62888.6, 153112, 50, 645806
344, 62773.3, 152932, 44, 645079
345, 62692.8, 152804, 43, 644875
346, 62847.1, 153045, 37, 645609
347, 62797.4, 152972, 28, 645476
348, 63012, 153292, 27, 646331
349, 62923.7, 153164, 27, 645991
350, 62797.5, 152976, 18, 645195
351, 62766.7, 152906, 39, 644550
352, 62981, 153239, 41, 645907
353, 62736.6, 152864, 34, 644993
354, 62869.3, 153070, 27, 645602
355, 62734.1, 152882, 26, 645166
356, 62849.6, 153040, 41, 645464
357, 62692.3, 152805, 32, 644507
358, 62729.1, 152853, 28, 645083
359, 63047.9, 153357, 31, 646355
360, 62814.3, 153006, 33, 645339
361, 62970.8, 153229, 29, 646196
362, 62975.5, 153244, 51, 646084
363, 62982.2, 153252, 40, 646080
364, 62866.7, 153075, 35, 645735
365, 62679.2, 152780, 22, 644724
366, 62818.4, 152981, 28, 645222
367, 62789.1, 152962, 26, 645332
368, 62918.3, 153178, 32, 646090
369, 62780.5, 152939, 42, 645081
370, 62525.5, 152528, 27, 643725
371, 62816.5, 152982, 30, 645281
