point, mean, stddev, min, max
0, 711.61, 594.867, 12, 3119
1, 709.19, 595.769, 26, 3097
2, 725.59, 596.347, 24, 3134
3, 695.45, 592.013, 16, 3078
4, 723.51, 597.501, 33, 3124
5, 711.89, 593.96, 17, 3110
6, 723.54, 594.781, 23, 3099
7, 697.08, 591.658, 17, 3072
8, 726.76, 598.107, 22, 3129
9, 732.66, 597.961, 28, 3127
10, 706.01, 591.611, 19, 3094
11, 712.1, 593.219, 19, 3095
12, 709.16, 592.772, 27, 3082
13, 722, 596.258, 27, 3110
14, 715.51, 594.992, 28, 3074
15, 717.63, 593.447, 21, 3090
16, 736.03, 598.429, 32, 3139
17, 719.18, 594.37, 28, 3090
18, 710.54, 594.737, 26, 3107
19, 711.39, 595.185, 27, 3077
20, 721.09, 595.382, 24, 3108
21, 730.69, 595.439, 28, 3105
22, 714.22, 595.779, 15, 3105
23, 713.58, 592.987, 20, 3095
24, 730.74, 595.653, 31, 3122
25, 719.15, 595.058, 33, 3093
26, 723.48, 595.619, 22, 3119
27, 707.62, 591.176, 25, 3042
28, 725.02, 596.842, 33, 3110
29, 715.93, 594.54, 29, 3109
30, 722.13, 595.908, 34, 3120
31, 725.18, 594.902, 22, 3110
32, 715.97, 595.125, 28, 3122
33, 717.99, 595.617, 23, 3087
34, 725.33, 596.83, 16, 3130
35, 729.09, 596.946, 25, 3104
36, 715.53, 593.044, 28, 3089
37, 716.85, 596.126, 27, 3089
38, 720.91, 596.509, 16, 3125
39, 725.05, 598.302, 24, 3125
40, 725.16, 596.43, 31, 3101
41, 711.38, 593.98, 28, 3086
42, 731.76, 598.605, 25, 3107
43, 711.39, 593.192, 12, 3095
44, 710.25, 593.988, 27, 3092
45, 706.27, 591.313, 28, 3068
46, 734.66, 597.114, 29, 3119
47, 709.93, 591.401, 28, 3072
48, 735.64, 597.669, 30, 3132
49, 725.84, 596.584, 27, 3110
50, 736.72, 598.245, 27, 3128
51, 712.8, 594.167, 22, 3083
52, 722.52, 592.932, 29, 3089
53, 723.41, 596.082, 23, 3097
54, 723.15, 595.092, 18, 3101
55, 701.79, 594.091, 25, 3072
56, 729.17, 595.808, 37, 3111
57, 724.42, 597.628, 27, 3122
58, 716.49, 595.049, 34, 3102
59, 723.43, 593.097, 26, 3093
60, 727.95, 597.024, 18, 3118
61, 706.55, 594.524, 29, 3112
62, 721.12, 595.978, 27, 3114
63, 723.1, 597.729, 28, 3142
64, 708.48, 594.258, 23, 3102
65, 721.35, 595.703, 24, 3104
66, 710.19, 591.969, 26, 3108
67, 720.8, 597.277, 22, 3111
68, 704.01, 592.5, 22, 3083
69, 706.53, 590.49, 19, 3064
70, 731.2, 598.032, 29, 3079
71, 720.82, 593.586, 27, 3092
72, 717.92, 592.329, 29, 3096
73, 726.2, 596.848, 23, 3113
74, 742.07, 600.212, 17, 3156
75, 720.71, 596.445, 24, 3107
76, 732.05, 596.353, 31, 3128
77, 721.28, 595.035, 29, 3121
78, 728.86, 596.133, 20, 3130
79, 721.37, 594.557, 20, 3115
80, 714.64, 593.367, 20, 3102
81, 714.87, 595.424, 31, 3098
82, 720.52, 593.593, 26, 3102
83, 717.98, 594.685, 24, 3108
84, 708.15, 594.699, 20, 3100
85, 723.27, 595.5, 24, 3115
86, 717.07, 592.302, 21, 3078
87, 726.93, 594.693, 23, 3104
88, 704.71, 592.218, 27, 3089
89, 717.93, 593.19, 21, 3098
90, 711.2, 592.68, 18, 3076
91, 709.22, 593.126, 27, 3083
92, 718.51, 594.955, 17, 3094
93, 718.36, 593.962, 23, 3126
94, 698.06, 588.088, 28, 3064
95, 725.36, 597.773, 22, 3135
96, 727.62, 595.773, 31, 3115
97, 715.81, 596.048, 19, 3112
98, 718.85, 596.023, 18, 3105
99, 732.34, 598.143, 19, 3124
100, 730.9, 597.696, 25, 3141
101, 723.79, 594.741, 33, 3104
102, 714.25, 596.698, 31, 3113
103, 726.17, 597.552, 32, 3118
104, 719.55, 595.453, 27, 3100
105, 716.31, 593.566, 30, 3084
106, 704.22, 592.857, 17, 3107
107, 706.58, 591.346, 25, 3080
108, 706.43, 592.527, 30, 3087
109, 709.34, 593.424, 18, 3075
