point, mean, stddev, min, max
0, 76346, 53673.3, 5113, 307412
1, 71145, 51055.6, 5461, 277300
2, 57446.1, 43276.7, 4047, 288564
3, 72601.1, 51330.8, 4678, 293905
4, 41904.8, 30535.9, 2494, 191022
5, 40440.5, 31031.6, 2272, 160901
6, 68260.1, 48593.4, 4261, 264286
7, 70565.4, 49716.1, 5272, 271748
8, 73104.4, 52802.9, 5817, 327278
9, 75738.2, 53751.5, 5435, 306745
10, 67874.7, 50488.2, 6068, 305921
11, 77934.9, 55728.6, 7032, 317552
12, 61685.7, 45692.4, 6094, 241976
13, 67058.7, 48033.1, 4446, 271482
14, 68523.5, 50612.7, 6130, 287680
15, 70739, 50778.8, 5495, 268786
16, 52232.8, 36230.7, 3503, 187450
17, 79656.5, 57422.5, 6891, 348107
18, 57060.3, 43015.1, 4505, 275719
19, 78195.3, 54894.3, 7270, 318348
20, 66263.1, 47078.2, 5730, 289412
21, 64481.6, 46232.3, 4539, 231942
22, 68638.5, 49060.2, 5249, 285682
23, 58273.4, 43210.2, 4010, 212978
24, 66011.8, 46530.2, 2949, 268619
25, 57340.7, 41807.1, 3927, 260556
26, 74658.9, 52079.9, 5471, 308072
27, 77156.1, 55594.2, 7463, 320852
28, 75381.4, 53452.4, 6233, 315968
29, 58951.9, 42336.9, 4650, 211160
30, 69826.5, 49429, 5470, 276450
31, 69776.8, 50513.6, 4462, 294235
32, 45644.3, 33574.9, 3276, 202184
33, 76902.6, 54226.6, 5078, 315738
34, 73395.3, 52205.4, 5525, 310321
35, 41771.1, 30800.7, 2366, 177210
36, 39382.8, 29016.2, 3298, 186733
37, 67140, 46545.3, 5469, 257628
38, 75529, 53128.5, 5172, 302550
39, 70598.1, 50006.7, 6315, 291484
40, 64980.8, 48700.5, 4288, 310862
41, 64113.8, 46570.6, 3695, 223507
42, 73447.3, 52287.1, 4646, 314805
43, 62463.9, 47568.6, 3469, 282904
44, 73611.3, 52940.7, 5417, 319016
45, 72538.7, 51090.2, 6093, 293018
46, 74900.4, 52945.6, 5131, 314311
47, 78964.1, 55836.4, 5454, 331423
48, 70171.4, 49435.2, 5532, 273941
49, 68499.7, 49956.7, 6501, 312562
50, 74244.6, 51586, 7106, 309286
51, 66040.4, 48042.6, 4570, 303570
52, 55743.6, 40115.6, 3565, 221009
53, 67346, 48638.8, 4537, 304526
54, 61030.4, 42743.9, 4620, 253307
55, 70096.9, 50868.6, 6206, 298180
56, 41233.2, 31046.5, 3453, 198565
57, 66617.6, 46331.1, 6181, 292152
58, 35041.7, 23927.3, 2015, 122398
59, 70221.6, 51229.2, 4971, 291104
60, 75430.7, 54368.5, 6352, 322805
61, 75024.5, 53612.9, 4503, 323821
62, 61926.2, 48346.6, 2472, 272685
63, 64782.8, 48100.7, 5729, 303883
64, 78601.5, 54537.4, 5564, 319222
65, 39749.5, 30548.8, 2176, 129635
66, 76371.6, 54846.8, 6895, 345754
67, 56150.9, 38688.7, 3644, 190920
68, 68492.9, 50071.1, 2410, 282976
69, 51476.1, 38226.1, 3481, 173985
70, 46281.3, 30984.1, 3075, 189203
71, 77940.5, 55102.9, 6612, 325382
72, 64413.6, 48368.8, 5366, 307674
73, 70649.9, 50558.8, 5290, 305283
74, 73599.3, 51981.4, 6317, 305073
75, 75931.5, 54201.9, 5527, 322313
76, 58153.1, 45000.4, 4084, 302636
77, 73913.1, 51872.9, 5863, 297494
78, 59554.9, 45365.8, 3448, 242240
79, 76148, 53444.4, 5791, 328123
80, 68010.6, 49399.7, 3861, 294529
81, 74664.4, 53620.8, 5360, 314365
82, 67161.2, 49075.6, 5634, 271717
83, 73755.7, 51509.9, 4174, 307830
84, 75507.5, 53390.6, 5992, 319140
85, 46342.4, 34333.8, 4234, 214481
86, 78402.4, 55365.6, 5524, 315185
87, 49677.9, 36269.4, 3329, 203485
88, 72616.1, 51809, 4481, 307400
89, 63650.6, 45023.7, 5686, 255699
90, 68947.7, 47832.4, 4007, 257227
91, 75777.6, 53711.7, 6809, 332199
92, 65912, 46713.4, 4393, 236138
93, 66400.7, 46677.9, 5160, 252341
94, 73954.4, 52702.5, 5511, 277180
95, 63493.1, 47778.7, 3769, 294909
96, 62945.8, 43884.9, 4382, 232406
97, 71382.2, 50500.1, 5503, 288100
98, 63586.6, 45828.3, 4780, 256233
99, 71871.5, 52066, 4497, 300122
100, 77896.9, 54541.6, 6533, 298743
101, 43976.9, 30562.2, 3283, 166295
