point, mean, stddev, min, max
0, 60202.1, 67420.9, 4111, 429364
1, 54748.2, 60221.3, 4153, 387220
2, 59499.5, 66652.9, 4189, 427070
3, 59208.6, 66307.6, 3662, 423438
4, 59144.4, 66047, 4018, 420474
5, 41509.7, 40476.1, 2715, 260915
6, 59491.1, 66433.6, 3889, 421765
7, 54288.2, 58736.4, 4291, 378166
8, 60080.4, 67211.5, 3995, 429017
9, 59860, 66946.3, 4362, 426017
10, 60092.5, 67323.8, 4234, 428489
11, 60163.9, 67290.8, 4463, 428700
12, 59580.6, 66768.1, 4170, 425416
13, 60290.8, 67515.7, 4306, 430803
14, 59916.9, 67109.7, 4319, 427374
15, 59619.1, 66583.2, 4184, 424322
16, 60172, 67211.7, 4205, 426837
17, 59812.5, 66968.9, 4324, 426168
18, 59841, 66898.5, 4147, 426296
19, 59313.7, 66163.2, 4264, 420757
20, 59666.7, 66801.8, 4189, 425511
21, 59326.9, 66373, 4022, 423838
22, 58662.8, 65539.6, 3701, 416829
23, 59351.5, 66086.3, 4195, 419989
24, 59619.5, 66640.1, 3860, 425558
25, 59392.1, 66344.3, 3882, 422200
26, 59466.6, 66517, 4065, 423279
27, 60127.1, 67297, 4393, 430029
28, 59868.6, 66981.3, 4168, 426434
29, 59213.8, 66026.1, 4204, 423013
30, 59121.7, 66054.7, 3862, 421497
31, 60074.3, 67303.5, 4184, 428602
32, 59655.3, 66665.8, 4228, 424974
33, 60361.7, 67645.9, 4238, 430276
34, 59388.7, 66241.6, 4071, 422284
35, 59403, 66479.1, 3944, 424558
36, 60171.2, 67329.9, 4474, 429088
37, 52494.8, 56054.9, 3772, 359017
38, 59739.3, 66827.7, 3601, 426664
39, 59772.3, 66713.3, 3728, 424983
40, 60284.1, 67425.7, 3982, 430456
41, 59589, 66665.6, 4038, 424228
42, 59816.9, 66954, 4304, 426657
43, 59695.7, 66592.5, 4320, 424385
44, 59636.4, 66731.1, 3930, 426768
45, 60023.6, 67012.7, 4622, 425991
46, 59734.7, 66741.5, 4191, 424584
47, 60268.8, 67518.9, 4353, 430891
48, 54360.3, 59246.2, 4015, 381977
49, 59399.3, 66334.8, 4101, 421859
50, 59951.8, 67016.8, 4161, 426638
51, 59894.6, 67038.5, 4264, 427083
52, 60378.9, 67783.9, 4235, 432112
53, 60445.1, 67748, 4228, 431167
54, 60427.6, 67693.8, 4189, 431901
55, 58437.6, 64795.9, 4147, 414557
56, 59620.8, 66815.2, 3937, 425046
57, 59237, 66039.5, 3990, 420478
58, 59812.3, 66896.7, 4298, 426401
