point, mean, stddev, min, max
0, 66150.3, 35628.6, 12912, 228466
1, 77971.7, 41058.4, 13466, 243662
2, 57315.1, 32088.7, 10824, 187610
3, 130539, 69281.9, 18296, 421847
4, 129579, 69754.9, 20219, 405840
5, 92593.2, 49566.3, 13978, 301370
6, 61108.9, 33321.8, 10854, 203858
7, 21879.3, 11459.7, 3560, 63472
8, 118128, 63530.1, 20995, 380658
9, 45671.4, 24932.7, 5404, 153604
10, 61136.2, 33605.9, 8574, 212159
11, 20652.5, 13357.9, 2704, 77926
12, 107697, 56612.2, 16660, 333023
13, 58049, 30669, 10239, 190563
14, 36111.9, 19498.4, 5278, 128107
15, 8641.01, 4543.41, 1216, 28975
16, 75283.4, 40903.3, 14223, 243968
17, 67655.5, 36856.1, 10865, 208798
18, 59343.9, 30931.6, 11395, 188316
19, 47431.5, 25814.5, 5757, 160707
20, 52827.9, 27654, 8166, 154385
21, 79700.3, 42375.9, 11980, 255324
22, 10023, 5278.11, 1197, 26132
23, 3594.83, 2218.69, 221, 11609
24, 4483.48, 2601.19, 318, 13749
25, 4931.77, 2810.24, 259, 14417
26, 7029.37, 4115.75, 1277, 19128
27, 26023.2, 14602.6, 4063, 93808
28, 28324.2, 15682.1, 4368, 99336
29, 68498.6, 36516.3, 10219, 229106
30, 17204.5, 9338.41, 3584, 57299
31, 44932.7, 24058.6, 8560, 136577
32, 63460.7, 33840.9, 11231, 203326
33, 31457.8, 16874.3, 5043, 100042
34, 75989.1, 41545.7, 13475, 256737
35, 44323.2, 24392.7, 6687, 139141
36, 33680.7, 18679.7, 5059, 107830
37, 0, 0, 0, 1.17549e-38
38, 84547.2, 44131.9, 13718, 264973
39, 20406.1, 10829.3, 2901, 65416
40, 6971.61, 4586.4, 429, 30648
41, 70869.4, 38354.4, 10145, 229480
42, 26000.1, 14423, 4611, 89065
43, 43145.1, 24457.6, 7692, 155311
44, 82237.8, 43873.3, 14599, 251236
45, 97346.2, 52347.4, 14951, 317875
46, 37716.5, 20177.5, 5123, 132127
47, 62462.9, 33673.4, 8659, 193322
48, 14527.6, 8483.95, 1243, 49498
49, 43126.8, 22540.8, 7407, 129770
50, 39624.8, 20612.2, 7281, 111117
51, 37672.6, 20814.8, 6422, 126943
52, 93375.6, 49488.7, 16647, 297018
53, 16586.2, 8822.17, 3198, 49023
54, 1112.69, 767.591, 125, 6364
55, 33322.6, 19150.7, 3764, 105899
56, 93292.2, 51595, 15523, 319816
57, 93611.5, 51692.5, 15585, 320562
58, 67976.8, 36181.4, 10932, 219338
59, 197474, 105771, 32385, 642950
60, 93140.9, 49349.5, 14104, 317311
61, 89039.1, 48978.6, 15691, 283561
62, 67223.1, 36640.5, 14727, 229547
63, 81204.8, 43783.6, 11232, 263642
64, 30843.4, 16854.6, 5236, 106849
65, 56334.7, 30030, 7749, 181078
66, 2050.85, 1230.58, 230, 6467
67, 74338.4, 38991.6, 12519, 228034
68, 62082.2, 33014.4, 11392, 205150
69, 57252.8, 30402.4, 12138, 174525
70, 65242.5, 33615.2, 12352, 187600
71, 34670.4, 18401.8, 4630, 97872
72, 18379.1, 9819.79, 4153, 53552
73, 8492.34, 4547.75, 1277, 24227
74, 31203.2, 17651, 5522, 113866
75, 70681.3, 37714.1, 11664, 237258
76, 47781, 25931.1, 7666, 164989
77, 53310.3, 29531.1, 9977, 181116
78, 137740, 75887.9, 22693, 493714
79, 0, 0, 0, 1.17549e-38
80, 0, 0, 0, 1.17549e-38
81, 0, 0, 0, 1.17549e-38
82, 0, 0, 0, 1.17549e-38
83, 10723.6, 5608.72, 1809, 32772
84, 113956, 60757.2, 18946, 369731
85, 83574.6, 45026.9, 13397, 273596
86, 951.43, 547.384, 111, 3123
87, 0, 0, 0, 1.17549e-38
88, 0, 0, 0, 1.17549e-38
89, 44.29, 27.1493, 7, 126
90, 22.27, 17.2846, 1, 90
91, 61070.7, 33506.8, 9846, 206560
92, 50703.1, 26710.4, 9432, 149858
93, 64291.4, 34270.1, 10223, 197128
94, 66289.6, 36438.3, 11427, 224905
95, 27550, 14722.9, 4509, 92659
96, 117747, 62709.1, 17993, 369613
97, 59690.4, 32695.9, 9296, 192704
98, 42797.4, 21936.1, 7682, 136212
99, 95810.8, 51259.1, 18509, 293083
100, 0, 0, 0, 1.17549e-38
101, 0, 0, 0, 1.17549e-38
102, 0, 0, 0, 1.17549e-38
103, 71640.7, 39148.3, 12347, 243372
104, 64553.2, 33977.4, 11369, 202283
105, 60944.8, 33163.6, 8909, 196836
106, 0, 0, 0, 1.17549e-38
107, 0, 0, 0, 1.17549e-38
108, 0, 0, 0, 1.17549e-38
