point, mean, stddev, min, max
0, 103.57, 157.146, 1, 773
1, 91.75, 127.345, 1, 723
2, 104.72, 172.495, 1, 1005
3, 91.62, 130.659, 1, 767
4, 88.02, 116.913, 1, 550
5, 97.21, 136.942, 1, 681
6, 84.12, 104.427, 1, 601
7, 98.52, 155.542, 1, 994
8, 100.73, 247.887, 1, 2280
9, 96.04, 135.56, 1, 836
10, 99.2, 149.759, 1, 741
11, 87.61, 126.992, 1, 751
12, 98.43, 165.232, 1, 945
13, 87.28, 123.813, 1, 636
14, 93.05, 144.892, 1, 836
15, 91.17, 141.867, 1, 714
16, 101.9, 166.126, 1, 1079
17, 87.18, 128.68, 1, 693
18, 103.26, 168.101, 1, 802
19, 80.61, 99.1199, 1, 501
20, 87.91, 145.195, 1, 1002
21, 105.66, 166.707, 1, 810
22, 93.95, 146.038, 1, 801
23, 102.19, 149.739, 1, 793
24, 93.67, 140.586, 1, 647
25, 92.54, 136.234, 1, 959
26, 93.28, 148.619, 1, 810
27, 104.95, 152.347, 1, 762
28, 99.86, 152.508, 1, 712
29, 93.33, 139.399, 1, 766
30, 97.55, 142.289, 1, 720
31, 96.41, 155.23, 1, 893
32, 90.27, 137.183, 1, 697
33, 93.98, 135.386, 1, 745
34, 86.85, 126.175, 2, 649
35, 99.31, 146.339, 1, 756
36, 92.93, 137.297, 1, 709
37, 94.54, 142.305, 1, 729
38, 102.85, 181.261, 1, 1341
39, 102.65, 179.855, 1, 1216
40, 100.89, 156.357, 1, 947
41, 86.64, 127.683, 1, 676
42, 103.1, 157.189, 1, 805
43, 100.33, 179.817, 1, 1186
44, 94.7, 145.795, 1, 802
45, 102.63, 165.645, 1, 825
46, 83.88, 133.689, 1, 837
47, 91.86, 147.782, 1, 976
48, 101.62, 158.56, 1, 751
49, 92.39, 148.38, 1, 768
50, 91.03, 127.98, 1, 541
51, 92.03, 128.857, 1, 656
52, 99.84, 167.91, 1, 1192
53, 95.97, 190.125, 1, 1654
54, 96.89, 139.837, 1, 771
55, 108.5, 166.3, 1, 851
56, 100.17, 141.353, 1, 771
57, 92.39, 134.032, 1, 739
58, 94.88, 142.259, 1, 839
59, 105.31, 163.307, 1, 1089
60, 91.26, 133.882, 1, 899
61, 102.83, 165.668, 1, 950
62, 94.27, 140.623, 4, 1000
63, 99.82, 174.25, 1, 1168
64, 88.32, 141.737, 1, 839
65, 89.33, 134.932, 1, 769
66, 93.59, 148.915, 1, 1152
67, 100.84, 138.925, 1, 747
68, 96.08, 147.472, 1, 887
69, 91.92, 147.834, 1, 752
70, 90.73, 158.01, 1, 1233
71, 86.97, 132.284, 1, 727
72, 99.58, 169.227, 1, 1012
73, 90.22, 131.33, 1, 667
74, 81.89, 108.484, 1, 519
75, 103.26, 292.601, 1, 2809
76, 102.21, 160.439, 1, 863
77, 111.89, 184.183, 1, 1324
78, 96.19, 137.904, 1, 803
79, 104.36, 195.594, 1, 1450
80, 93.42, 140.364, 1, 717
81, 98.36, 149.573, 1, 771
82, 86.77, 135.823, 1, 884
83, 108.32, 164.588, 1, 776
84, 91.41, 139.894, 1, 842
85, 97.2, 142.704, 1, 769
86, 95.46, 150.306, 1, 1082
87, 104.22, 154.889, 1, 1009
88, 98.74, 153.11, 1, 995
89, 95.93, 142.937, 1, 663
90, 102.96, 171.335, 1, 966
91, 112.41, 261.396, 4, 2348
92, 92.36, 141.894, 1, 958
93, 91.47, 126.599, 1, 782
94, 96.05, 153.033, 1, 997
95, 96.35, 158.028, 2, 935
96, 97.04, 146.162, 1, 771
97, 88.19, 131.687, 1, 655
98, 95.25, 136.956, 1, 744
99, 94.32, 159.391, 1, 1098
100, 84.54, 119.109, 1, 602
101, 96.25, 160.894, 1, 944
102, 107.9, 198.169, 1, 1551
103, 87.46, 124.461, 1, 621
104, 105.57, 168.395, 1, 1120
105, 93.41, 135.714, 1, 839
106, 94.38, 165.535, 1, 1052
107, 93.04, 138.324, 1, 868
108, 97, 152.178, 1, 844
109, 95.57, 165.918, 1, 1237
110, 92.66, 138.74, 1, 839
111, 93.48, 162.813, 1, 1152
112, 94.78, 145.168, 1, 664
113, 92.5, 123.983, 1, 553
114, 99.93, 168.019, 1, 1057
115, 87.72, 119.057, 1, 616
116, 107.1, 197.198, 1, 1298
117, 101.73, 187.515, 1, 1413
118, 91.33, 142.923, 1, 861
119, 106.22, 196.091, 1, 1377
120, 95.42, 151.489, 1, 887
121, 91.42, 145.507, 1, 750
122, 87.48, 120.444, 1, 650
123, 93.38, 137.084, 1, 722
124, 92.88, 139.43, 1, 740
125, 94.32, 153.186, 3, 1037
126, 108.86, 174.381, 1, 983
127, 98.53, 158.686, 1, 1102
128, 93.31, 142.476, 1, 817
129, 97.01, 132.053, 1, 654
130, 96.9, 164.812, 1, 885
131, 100.69, 146.255, 1, 686
132, 100.29, 176.652, 1, 1452
133, 99.44, 156.76, 1, 934
134, 81.98, 122.288, 1, 708
135, 101.55, 160.257, 1, 873
136, 86.03, 123.532, 1, 553
137, 103.68, 169.09, 1, 1182
138, 107.95, 171.59, 1, 1147
139, 105.15, 157.367, 1, 864
140, 87.44, 116.382, 1, 579
141, 94.21, 143.153, 1, 846
142, 93.21, 135.304, 1, 639
143, 95.96, 139.323, 1, 650
144, 98.67, 159.326, 1, 1043
145, 101.57, 164.837, 1, 1059
146, 92.23, 128.689, 1, 695
147, 88.79, 135.495, 1, 824
148, 97.32, 148.871, 1, 687
149, 97.31, 128.572, 1, 710
150, 98.83, 164.819, 1, 1129
151, 93.97, 129.164, 1, 638
152, 95.15, 172.741, 1, 1452
153, 91.11, 129.715, 1, 691
154, 105.79, 170.536, 1, 1002
155, 103.79, 161.444, 4, 844
156, 84.25, 123.85, 1, 753
157, 96.08, 153.406, 1, 859
158, 102.2, 173.959, 1, 959
159, 97.7, 141.914, 1, 743
160, 97.42, 151.284, 1, 855
161, 88.08, 131.774, 1, 693
162, 93.18, 153.488, 3, 1131
163, 106.29, 195.771, 1, 1401
164, 91.94, 139.041, 1, 738
165, 102.35, 157.988, 1, 791
166, 98.16, 147.815, 1, 656
167, 91.37, 150.707, 1, 1005
168, 90.96, 146.369, 1, 726
169, 104.75, 148.436, 1, 663
170, 99.85, 152.18, 1, 899
171, 91.83, 138.881, 1, 771
172, 100.17, 161.649, 1, 825
173, 99.36, 155.717, 1, 855
174, 95.83, 154.843, 1, 831
175, 124.82, 254.488, 1, 1875
176, 111.07, 180.221, 1, 1292
177, 101.89, 155.339, 1, 713
178, 104.39, 174.178, 1, 1071
179, 77.05, 117.047, 1, 743
180, 96.15, 136.535, 1, 680
181, 92.8, 146.398, 1, 777
182, 86.17, 120.118, 1, 681
183, 101.66, 155.241, 1, 714
184, 95.27, 128.151, 1, 601
185, 92.19, 138.445, 1, 821
186, 98.68, 148.101, 1, 715
187, 92.65, 145.049, 1, 956
188, 96.46, 149.096, 1, 767
189, 99.02, 169.873, 1, 1233
190, 96.45, 151.367, 1, 819
191, 91.75, 129.202, 1, 630
192, 91.58, 139.124, 3, 872
193, 103.56, 176.867, 1, 1058
194, 101.26, 151.837, 1, 744
195, 85.6, 142.81, 1, 956
196, 96.57, 145.054, 1, 1034
197, 95.83, 143.17, 1, 706
198, 93.6, 149.243, 1, 810
199, 89.7, 142.392, 1, 891
200, 96.17, 156.71, 1, 934
201, 103.69, 163.785, 1, 863
202, 89.65, 129.559, 1, 635
203, 93.06, 161.562, 1, 1178
204, 92.45, 134.639, 1, 851
205, 93.52, 142.64, 1, 801
206, 101.46, 164.011, 1, 1166
207, 88.56, 133.716, 1, 662
208, 102.25, 142.778, 1, 705
209, 80.44, 142.796, 1, 1185
210, 90.79, 130.829, 1, 823
211, 97.93, 167.676, 1, 1127
212, 95.49, 162.345, 1, 892
213, 96.56, 144.23, 1, 835
214, 99.01, 167.477, 1, 1281
215, 89.96, 130.814, 1, 761
216, 99.68, 158.697, 1, 947
217, 91.38, 134.388, 1, 640
218, 101, 174.319, 1, 1087
219, 107.52, 192.651, 1, 1202
220, 109.38, 198.87, 1, 1507
221, 87.68, 129.362, 1, 808
222, 89.99, 135.507, 1, 749
223, 84.84, 115.246, 1, 550
224, 108.65, 163.174, 1, 875
225, 86.72, 133.235, 1, 904
226, 100.17, 167.477, 1, 1113
227, 105.55, 169.633, 1, 1003
228, 95.74, 142.012, 1, 802
229, 106.03, 178.147, 1, 1073
230, 108.3, 191.202, 1, 1325
231, 97.93, 144.038, 1, 768
232, 90.83, 142.517, 1, 884
233, 91.75, 128.368, 3, 682
234, 104.54, 159.731, 1, 978
235, 93.27, 122.901, 1, 522
236, 105.93, 177.096, 1, 1266
237, 85.7, 141.827, 1, 974
238, 94.69, 152.677, 1, 1034
