point, mean, stddev, min, max
0, 1662.74, 1309.84, 73, 7150
1, 1607.65, 1240.22, 57, 6753
2, 1633.91, 1288.91, 69, 6978
3, 1055.52, 905.895, 38, 4328
4, 1604.27, 1266.81, 70, 6885
5, 1655.12, 1288.52, 56, 7042
6, 541.35, 473.776, 21, 2887
7, 1396.95, 1109.14, 60, 6255
8, 1504.11, 1194.31, 60, 6519
9, 1437.88, 1139.08, 54, 6668
10, 1376.72, 1102.12, 68, 6027
11, 1686.37, 1316.93, 79, 6802
12, 1166.36, 957.68, 43, 5777
13, 674.62, 514.328, 24, 2878
14, 1471.68, 1196.98, 49, 6591
15, 1768.36, 1383.65, 76, 7674
16, 1272.5, 1035.72, 49, 5920
17, 1506.52, 1167.44, 71, 6117
18, 1531.29, 1215.09, 55, 6624
19, 1524.51, 1192.24, 61, 6517
20, 1101.42, 909.003, 35, 4810
21, 1558.19, 1231.28, 68, 6705
22, 1203.47, 952.955, 41, 4972
23, 1461.25, 1157.54, 67, 6218
24, 1828.36, 1381.57, 91, 7093
25, 1636.32, 1271.57, 91, 6839
26, 1660.1, 1289.74, 71, 7080
27, 893.41, 741.878, 34, 3582
28, 1409.95, 1140.86, 74, 6047
29, 1087.22, 832.354, 52, 4477
30, 1489.91, 1181.45, 57, 6533
31, 1173.78, 958.335, 53, 5142
32, 1606.28, 1247.02, 52, 6914
33, 1436.34, 1168.91, 51, 7111
34, 1195.72, 934.955, 44, 4562
35, 1433.21, 1148.2, 61, 6170
36, 1311.76, 1050, 53, 4928
37, 1529.61, 1230.68, 60, 6941
38, 1620.62, 1265.81, 76, 6968
39, 1535.09, 1204.66, 56, 7027
40, 1557.2, 1233.12, 61, 6765
41, 1277.21, 1021.89, 52, 5345
42, 1944.97, 1475.91, 80, 7690
43, 1407.03, 1127.08, 43, 5890
44, 1455.9, 1175.27, 59, 6398
45, 1337.99, 1059.7, 51, 5918
46, 1611.36, 1271.94, 58, 6440
47, 989.3, 791.593, 42, 4091
48, 1516.86, 1205.77, 61, 6717
49, 655.55, 525.218, 35, 3098
50, 1632.37, 1273.67, 76, 6986
51, 1432.22, 1163.79, 51, 6554
52, 625.15, 519.853, 16, 2231
53, 1648.39, 1295.03, 58, 6958
54, 1667.41, 1277.24, 90, 7004
55, 1509.1, 1187.02, 45, 6490
56, 1760.36, 1380.29, 97, 7712
57, 1986.29, 1593.56, 98, 8971
58, 1504.45, 1160.18, 74, 6252
59, 1484.82, 1186.64, 61, 6656
60, 1657.76, 1290.84, 84, 7034
61, 1643.9, 1277.14, 65, 7085
62, 1659.63, 1299.79, 79, 7117
63, 1835.61, 1413.37, 104, 7613
64, 1386.01, 1121.75, 54, 6340
65, 1211.64, 989.017, 49, 5263
66, 1493.75, 1189.6, 54, 6310
67, 1043.19, 863.702, 43, 5301
68, 1216.6, 1072.73, 45, 6442
69, 1441.32, 1123.42, 46, 5810
70, 919.68, 817.098, 22, 3956
