point, mean, stddev, min, max
0, 1557.38, 1187.64, 63, 5069
1, 722.66, 530.629, 26, 3128
2, 801.68, 733.282, 40, 5313
3, 2035.52, 1411.5, 108, 7977
4, 1624.1, 1247.71, 103, 7672
5, 2315.34, 1630.8, 133, 9447
6, 1956.18, 1470.54, 88, 8734
7, 1082.49, 731.593, 38, 3960
8, 1463.26, 1148.42, 156, 7014
9, 1880.56, 1397.85, 107, 8660
10, 1954.99, 1466.93, 80, 8882
11, 2190.6, 1502.74, 133, 8924
12, 1900.78, 1446.08, 106, 7625
13, 2397.14, 1641.46, 160, 9421
14, 1634.49, 1211.3, 103, 7634
15, 1951.6, 1430.51, 138, 8520
16, 1382.06, 1162.02, 74, 6648
17, 1860.01, 1471.85, 71, 8423
18, 2142.52, 1526.5, 190, 8320
19, 2185.07, 1569.02, 80, 8617
20, 2341.92, 1625.31, 144, 9130
21, 1486.36, 1138.43, 34, 5662
22, 2206.66, 1568.01, 90, 8847
23, 1063.65, 820.025, 93, 4104
24, 1958.95, 1402.54, 80, 7992
25, 1994.32, 1508.28, 152, 8633
26, 2023.76, 1488.55, 70, 8835
27, 1487.45, 1244, 33, 7838
28, 1523.58, 1043.63, 59, 4852
29, 2562.02, 1771.08, 182, 10733
30, 2177.32, 1545.09, 114, 9055
31, 1122.57, 871.99, 47, 5009
32, 2114.08, 1509.65, 155, 9247
33, 1796.4, 1297.77, 97, 6681
34, 2191.41, 1573.37, 155, 9197
35, 1975.05, 1434.71, 111, 8347
36, 2030.1, 1474, 99, 9000
37, 1736.43, 1275.84, 112, 7251
38, 2280.05, 1606.8, 119, 9453
39, 1684.43, 1302.72, 128, 8156
40, 1165.05, 1019.71, 44, 5647
41, 2119.93, 1510.09, 149, 8406
42, 1947.25, 1442.4, 91, 7940
43, 1317.34, 974.978, 62, 4318
44, 2035.54, 1489.02, 110, 8839
45, 2031.44, 1475.83, 139, 8644
46, 1311.53, 968.551, 95, 6277
47, 1424.24, 1039.63, 93, 5361
