point, mean, stddev, min, max
0, 976.06, 650.696, 85, 3436
1, 902.37, 602.537, 98, 3121
2, 982.22, 629.449, 86, 3402
3, 870.91, 591.271, 91, 3097
4, 863.93, 584.877, 73, 3152
5, 969.99, 638.125, 126, 3420
6, 973.91, 659.509, 107, 3617
7, 680.05, 442.682, 63, 2152
8, 679.66, 464.997, 53, 2249
9, 922.25, 622.155, 81, 3289
10, 776.98, 528.611, 59, 2820
11, 886.29, 600.044, 77, 3436
12, 934.58, 621.309, 103, 3261
13, 966.57, 647.449, 88, 3472
14, 735.47, 493.847, 84, 2786
15, 830.23, 567.001, 93, 3190
16, 801.5, 550.744, 101, 2789
17, 1020.78, 667.973, 115, 3598
18, 959, 619.113, 128, 3297
19, 1044.38, 675.589, 135, 3436
20, 626.02, 442.414, 62, 2587
21, 1058.48, 684.146, 132, 3643
22, 1011.89, 647.872, 111, 3380
23, 1017.27, 664.288, 121, 3560
24, 887.93, 604.324, 71, 3129
25, 834.69, 581.497, 102, 3207
26, 913.76, 612.966, 108, 3343
27, 930.58, 621.489, 123, 3194
28, 932.21, 624.264, 89, 3305
29, 874.43, 579.059, 98, 3294
30, 787.6, 531.838, 83, 2695
31, 794.59, 560.347, 83, 3021
32, 921.23, 609.764, 90, 3038
33, 987.95, 651.195, 122, 3581
34, 941.7, 620.142, 102, 3226
35, 1007.94, 659.095, 144, 3395
36, 1036.02, 666.069, 100, 3674
37, 891.94, 608.708, 95, 3412
38, 896.86, 616.029, 91, 3330
39, 1001.11, 658.973, 122, 3374
40, 961.15, 628.736, 94, 3206
41, 1041.71, 670.229, 135, 3520
42, 952.19, 630.691, 105, 3343
43, 1072.33, 698.239, 124, 3530
44, 1009.15, 653.969, 120, 3413
45, 716.65, 485.411, 62, 2483
46, 848.86, 565.062, 95, 3062
47, 970.43, 640.696, 103, 3395
48, 987.08, 635.613, 133, 3347
49, 975.51, 636.435, 127, 3190
50, 974.04, 659.509, 98, 3434
51, 909.82, 618.743, 75, 3444
52, 855.36, 587.451, 50, 3286
53, 749.58, 527.224, 59, 2983
54, 1049.97, 692.719, 138, 3776
55, 969.95, 636.683, 124, 3256
56, 907.82, 603.188, 105, 3328
57, 751.04, 529.539, 75, 2796
58, 775.04, 504.861, 85, 2391
59, 752.43, 524.515, 48, 2585
60, 757.36, 515.419, 54, 2919
61, 927.33, 612.832, 109, 3210
62, 919.84, 609.65, 108, 3454
63, 1070.91, 690.557, 142, 3498
64, 990.7, 640.891, 107, 3559
65, 747.73, 493.078, 82, 2403
66, 817.92, 562.465, 97, 2910
67, 926.04, 627.796, 94, 3254
68, 905.22, 612.484, 85, 3286
69, 945.65, 631.94, 82, 3202
70, 858.82, 570.998, 98, 3136
71, 898.94, 594.563, 110, 3133
72, 994.36, 656.21, 99, 3365
73, 1005.79, 655.856, 79, 3497
74, 685.71, 448.186, 27, 2232
75, 941.63, 621.434, 118, 3209
76, 986.16, 661.446, 116, 3629
77, 944.32, 631.734, 93, 3410
78, 831.7, 592.169, 67, 3404
79, 875.78, 601.415, 69, 3093
80, 798.67, 551.103, 64, 2571
81, 930.78, 622.862, 90, 3258
82, 866.84, 598.119, 84, 3197
83, 997.68, 663.162, 106, 3482
84, 911.49, 600.049, 106, 3200
85, 956.33, 636.462, 97, 3304
86, 853.07, 591.818, 80, 3049
87, 1008.79, 657.596, 96, 3406
88, 975.66, 645.565, 103, 3358
89, 811.63, 568.074, 89, 3037
90, 859.27, 592.878, 75, 3200
91, 658.41, 459.447, 59, 2390
92, 908.81, 622.47, 84, 3340
93, 939.92, 619.973, 107, 3404
94, 860.89, 601.779, 94, 3409
95, 927.51, 613.872, 98, 3309
96, 852.41, 576.789, 99, 2953
97, 995.13, 662.93, 103, 3547
98, 920.29, 610.594, 79, 3259
99, 918.61, 612.604, 86, 3179
100, 1085.81, 698.89, 138, 3797
101, 934.73, 632.5, 92, 3009
102, 958.34, 640.591, 98, 3278
103, 919.8, 618.942, 77, 3337
104, 963.63, 652.031, 104, 3605
105, 910.61, 608.954, 99, 3143
106, 988.69, 651.617, 125, 3536
107, 779.21, 541.752, 80, 2667
108, 869.77, 575.76, 101, 2992
109, 1022.56, 669.248, 114, 3569
110, 954.46, 629.495, 94, 3341
111, 1075.59, 678.979, 124, 3430
112, 761.44, 537.825, 78, 2637
113, 814.71, 568.235, 82, 2872
114, 863.88, 592.471, 107, 3241
115, 714.11, 500.023, 55, 2955
116, 695.82, 464.001, 62, 2242
117, 1016.86, 667.965, 93, 3508
118, 1024.25, 661.632, 111, 3515
119, 926.19, 629.516, 81, 3438
120, 976.91, 639.367, 113, 3358
121, 955.59, 631.074, 114, 3462
122, 906.52, 593.099, 80, 2831
123, 933.86, 635.189, 89, 3357
124, 885.79, 594.641, 96, 3120
125, 939.19, 625.521, 98, 3195
126, 962.62, 649.581, 114, 3384
127, 1052.31, 679.298, 150, 3479
128, 1050.57, 685.052, 138, 3686
129, 1000.8, 639.36, 120, 3279
130, 1007.03, 669.458, 90, 3499
131, 886.89, 605.148, 91, 3093
132, 937.62, 626.383, 74, 3373
133, 999.41, 653.715, 103, 3511
134, 1004.85, 670.065, 111, 3511
135, 988.28, 652.898, 91, 3500
136, 1036.43, 660.772, 132, 3530
137, 839.44, 569.332, 77, 2893
138, 796.03, 542.258, 77, 2988
139, 946.59, 627.08, 86, 3486
