point, mean, stddev, min, max
0, 1365.54, 919.558, 22, 5514
1, 2026.31, 1441.62, 137, 9274
2, 1089.62, 928.8, 77, 4909
3, 1450.62, 1087.52, 108, 7615
4, 1991.12, 1366.16, 109, 7546
5, 1981.57, 1375.32, 161, 8608
6, 799.24, 724.085, 27, 5630
7, 1430.07, 1031.14, 97, 6210
8, 1870.26, 1387.55, 144, 8703
9, 1252.98, 903.734, 120, 4743
10, 1997.82, 1400.93, 70, 8340
11, 1928.4, 1329.95, 140, 7966
12, 1844.85, 1320.94, 148, 8335
13, 1693.56, 1196.68, 161, 7404
14, 1609.46, 1241.71, 158, 8542
15, 1459.08, 1078.44, 123, 6598
16, 1530.87, 1125.73, 138, 7071
17, 2248.33, 1515.11, 203, 9265
18, 1716.38, 1216.32, 150, 7655
19, 1893.56, 1339.93, 109, 7770
20, 1143.5, 854.975, 56, 4283
21, 2042.47, 1416.91, 195, 8050
22, 1312.21, 971.903, 153, 6070
23, 1776.37, 1254.7, 154, 7378
24, 2217.7, 1494.16, 184, 9153
25, 1807.93, 1280.72, 208, 7592
26, 1654.98, 1232.15, 118, 6184
27, 1503.87, 1204.09, 169, 8567
28, 2122.79, 1413.64, 145, 8531
29, 1849.92, 1281.47, 169, 7671
30, 2012.75, 1393.8, 179, 8799
31, 2016.82, 1414.17, 142, 8312
32, 1938.29, 1308.91, 131, 7641
33, 1757.02, 1324.41, 70, 7923
34, 2006.09, 1355.7, 178, 8275
35, 1255.46, 1013.98, 100, 7373
36, 1846.09, 1363.71, 125, 7937
37, 1470.25, 1039.65, 114, 5506
38, 1749.09, 1295.89, 132, 8451
39, 1149.05, 902.722, 101, 5016
40, 2162.27, 1490.53, 181, 9398
41, 1779.87, 1286.27, 107, 7712
42, 2153.6, 1473.91, 173, 9148
43, 1566.46, 1153.09, 170, 6986
44, 1661.32, 1278.08, 148, 8700
45, 1516.84, 1096.85, 187, 5873
46, 1707.11, 1274.78, 166, 8239
47, 1839.12, 1324.66, 148, 8204
48, 1738.63, 1225.74, 106, 6999
49, 1806.66, 1329.76, 141, 9198
50, 1042.83, 758.852, 22, 4468
51, 1270, 855.807, 101, 4054
52, 2046.18, 1411.69, 181, 8155
53, 1203.13, 840.217, 92, 3913
54, 1901.63, 1392.72, 141, 8010
55, 1883.56, 1382.69, 142, 9290
56, 1866.89, 1277.75, 88, 7333
57, 1921.86, 1300.03, 184, 8043
58, 2231.68, 1524.19, 212, 9447
59, 1516.78, 1019.26, 118, 4934
60, 1983.64, 1456.11, 109, 9461
61, 1648.93, 1209.88, 184, 7304
62, 1600.64, 1212.16, 173, 7195
63, 1289.95, 910.92, 88, 4140
64, 1931.43, 1350.7, 117, 7922
65, 1196.71, 783.722, 140, 3352
66, 893.13, 755.693, 99, 4467
67, 2028.71, 1371.12, 215, 8285
68, 1483.06, 1002.59, 150, 6298
69, 1392, 916.949, 122, 4376
70, 2053.16, 1463.15, 132, 8812
71, 2067.39, 1436.88, 200, 8730
72, 1338.06, 932.377, 63, 4724
73, 2035.98, 1415, 145, 9124
74, 1988.37, 1405.66, 145, 8775
75, 2020, 1393.9, 175, 8930
76, 1331.65, 976.937, 79, 6045
77, 2032.27, 1395.78, 142, 8115
78, 1919.17, 1312.1, 128, 7739
79, 2020.09, 1384.95, 149, 8641
80, 1813.62, 1342.88, 199, 8789
81, 2257.46, 1487.48, 174, 9029
82, 1962.68, 1425.55, 121, 9351
83, 1819.9, 1308.52, 196, 8854
84, 1677.35, 1185.75, 93, 7050
85, 1782.18, 1303.56, 136, 8356
86, 2107.4, 1436.23, 188, 8962
87, 918.92, 757.549, 13, 4065
88, 2128.13, 1470.16, 136, 8929
89, 2081.09, 1451.99, 114, 8781
90, 1906.78, 1398.73, 138, 9305
91, 1802.37, 1254.23, 163, 7592
92, 1657.28, 1184.21, 98, 7159
93, 1487.32, 1106.68, 91, 7878
94, 1753.19, 1182.16, 122, 6024
95, 1996.33, 1326.54, 118, 8101
96, 1647.88, 1185.67, 144, 7349
97, 1581.95, 1152.74, 127, 7530
98, 1364.42, 958.759, 159, 4693
99, 1760.7, 1222.94, 120, 7379
100, 1771.84, 1330.39, 185, 8428
101, 1914.92, 1350.43, 160, 7864
102, 1407.18, 1104.45, 62, 7716
103, 1887.23, 1326.21, 152, 8495
104, 1526.08, 1125.16, 102, 6202
105, 1852.11, 1349.08, 116, 8050
106, 1596.38, 1143.2, 67, 6318
107, 1964.46, 1397.99, 122, 8541
108, 1768.86, 1279.35, 111, 7854
109, 1413.71, 983.535, 133, 6084
110, 1740.95, 1274.35, 167, 7582
111, 1916.87, 1367.94, 193, 8959
112, 1957.72, 1372.01, 208, 8631
113, 2027.63, 1371.91, 174, 7792
114, 1810.89, 1392.51, 121, 9163
115, 2214.65, 1481.12, 196, 9332
116, 1129.7, 889.104, 74, 4422
117, 1409.6, 1052.3, 60, 5773
118, 1540.14, 1052.2, 119, 5410
119, 1609.03, 1132.08, 113, 5642
120, 1980.09, 1352.59, 189, 7770
121, 1765.22, 1289.74, 108, 7629
122, 1779.28, 1329.28, 171, 9016
123, 1149.77, 847.596, 53, 4366
124, 1504.71, 1026.16, 58, 4769
125, 1790.19, 1208.13, 94, 6324
126, 1879.83, 1352.3, 176, 8798
127, 1644.53, 1204.45, 180, 7877
128, 1664.97, 1302.17, 99, 9174
129, 1415.27, 1024.88, 94, 5954
130, 2071.19, 1454.36, 113, 8893
131, 1257.19, 984.965, 125, 5873
132, 1737.23, 1303.19, 153, 8389
133, 1719.35, 1230.23, 116, 8325
134, 1928.31, 1379.92, 214, 8912
135, 1316.91, 1020.43, 131, 5031
136, 1919.74, 1381.73, 200, 8255
137, 1589.08, 1232.42, 140, 8015
138, 1741.25, 1275.55, 163, 7207
139, 1735.4, 1256.26, 140, 7313
140, 1786.28, 1306.58, 136, 8026
141, 1496.85, 1055.35, 101, 6134
142, 974.84, 698.793, 72, 3701
143, 1327.51, 983.618, 122, 6135
144, 2007.33, 1421.22, 177, 9410
145, 1740.02, 1227.4, 139, 7560
146, 1837.35, 1381.46, 176, 8822
147, 2031.25, 1387.93, 216, 8208
148, 1901.95, 1343.05, 168, 8062
149, 1969.62, 1412.89, 193, 9147
150, 1760.23, 1213.98, 72, 6190
151, 1870.04, 1403.85, 221, 9322
152, 1778.54, 1234.99, 161, 7535
153, 1611.19, 1221.38, 112, 8380
154, 1916.41, 1374.1, 130, 9219
155, 1504.07, 1132.45, 150, 6889
156, 1736.06, 1298.36, 134, 8546
157, 1945.87, 1414.72, 146, 8876
158, 1790.79, 1300.21, 201, 7773
159, 2172.18, 1489.64, 197, 9774
160, 1496.67, 1140.44, 86, 6685
161, 1835.33, 1353.85, 154, 9248
162, 1651.75, 1138.97, 164, 6675
163, 1978.55, 1368.56, 138, 7935
164, 1628.07, 1160.74, 145, 6569
165, 1885.9, 1273.74, 200, 7616
166, 1536.14, 1137.38, 151, 7352
167, 1938.2, 1320.93, 151, 7996
168, 1274.07, 1095.89, 114, 8262
169, 981.23, 747.928, 32, 4622
170, 1807.05, 1284.72, 132, 8653
171, 1889.97, 1259.2, 186, 7233
172, 1897.9, 1325.24, 133, 8035
173, 1599.73, 1139.97, 161, 5060
174, 1341.44, 1089.9, 73, 5831
175, 1094.47, 898.691, 42, 4020
176, 1771.1, 1327.02, 136, 8375
177, 2098.82, 1436.77, 198, 8485
178, 1177.98, 898.76, 79, 5124
179, 2104.72, 1429.88, 200, 8785
180, 1414.79, 1004.92, 115, 5570
181, 1855.86, 1313.02, 151, 7608
182, 2093.56, 1436.83, 153, 9184
183, 1962.82, 1372.42, 165, 8023
184, 2136.33, 1475.89, 161, 9100
185, 1936.48, 1340.36, 62, 7682
186, 1737.31, 1272.98, 97, 7865
187, 1895.6, 1352.52, 217, 8698
188, 1553.94, 1125.71, 153, 7318
189, 2005.09, 1415.15, 151, 8266
190, 2127.2, 1463.95, 191, 8231
191, 1645.49, 1201.63, 198, 7608
192, 1192.65, 828.421, 88, 3984
193, 1881.55, 1377.51, 178, 8607
194, 1825.13, 1314.76, 144, 8681
195, 2140.31, 1427.96, 199, 8477
196, 1686.05, 1245.26, 113, 7823
197, 1779.14, 1206.39, 178, 7107
198, 1264.92, 916.19, 97, 4916
199, 2213.28, 1517.09, 217, 9271
200, 2188.96, 1471.84, 174, 9000
201, 1598.42, 1144.97, 157, 7069
202, 2028.96, 1438.25, 213, 9031
203, 1777.79, 1265.38, 190, 6920
204, 1967.88, 1352.66, 184, 8046
205, 1756.39, 1258.01, 131, 7909
206, 1800.25, 1261.45, 147, 7642
207, 1832.6, 1268.24, 131, 7680
208, 2003.93, 1407.71, 114, 8172
209, 1114.82, 810.416, 70, 4146
210, 1661.41, 1207.77, 197, 7692
211, 1272.15, 902.136, 72, 5870
212, 1722.09, 1248.87, 144, 7762
213, 1808.97, 1223.55, 140, 7138
214, 1990.73, 1391.88, 180, 8173
215, 1880.44, 1300.7, 116, 7233
216, 1994.32, 1399.52, 176, 8868
217, 1346.22, 1001.52, 100, 4327
218, 1657.57, 1134.62, 117, 6545
219, 1990.81, 1374.22, 111, 7679
220, 2247.51, 1511.9, 194, 9253
221, 1605.92, 1244.25, 139, 7972
222, 1384.56, 1128.92, 76, 7809
223, 1989.19, 1394.42, 214, 8651
224, 1057.96, 961.936, 101, 7899
225, 1637.49, 1228.66, 121, 6517
226, 2023.33, 1423.74, 192, 8644
