point, mean, stddev, min, max
0, 1, 0, 1, 1
1, 1, 0, 1, 1
2, 1, 0, 1, 1
3, 1, 0, 1, 1
4, 1, 0, 1, 1
5, 1, 0, 1, 1
6, 1, 0, 1, 1
7, 1, 0, 1, 1
8, 1, 0, 1, 1
9, 1, 0, 1, 1
10, 1, 0, 1, 1
11, 1, 0, 1, 1
12, 1, 0, 1, 1
13, 1, 0, 1, 1
14, 1.24, 0.884533, 1, 6
15, 1, 0, 1, 1
16, 1, 0, 1, 1
17, 1, 0, 1, 1
18, 1, 0, 1, 1
19, 1, 0, 1, 1
20, 1, 0, 1, 1
21, 1, 0, 1, 1
22, 1.22, 0.911921, 1, 7
23, 1, 0, 1, 1
24, 1, 0, 1, 1
25, 1, 0, 1, 1
26, 1.1, 0.591608, 1, 6
27, 1, 0, 1, 1
28, 1.35, 1.62096, 1, 15
29, 1.24, 0.960417, 1, 8
30, 50.93, 91.712, 1, 495
31, 1, 0, 1, 1
32, 1, 0, 1, 1
33, 1, 0, 1, 1
34, 1, 0, 1, 1
35, 1, 0, 1, 1
36, 1, 0, 1, 1
37, 1, 0, 1, 1
38, 1.3, 1.14455, 1, 9
39, 1, 0, 1, 1
40, 1, 0, 1, 1
41, 1, 0, 1, 1
42, 1.17, 0.679043, 1, 6
43, 1, 0, 1, 1
44, 1.21, 0.982802, 1, 8
45, 1.2, 0.721111, 1, 5
46, 47.99, 78.9198, 1, 384
47, 1, 0, 1, 1
48, 1, 0, 1, 1
49, 1, 0, 1, 1
50, 1.36, 2.42289, 1, 25
51, 1, 0, 1, 1
52, 1.22, 1.0824, 1, 10
53, 1.22, 0.831625, 1, 6
54, 53.02, 99.0946, 1, 551
55, 1, 0, 1, 1
56, 1.19, 0.730684, 1, 7
57, 1.38, 2.08701, 1, 20
58, 46.94, 82.9081, 1, 496
59, 1.28, 1.29677, 1, 13
60, 41.87, 70.1484, 1, 407
61, 57.58, 109.77, 1, 559
62, 442.79, 761.07, 5, 3974
63, 1, 0, 1, 1
64, 1, 0, 1, 1
65, 1, 0, 1, 1
66, 1, 0, 1, 1
67, 1, 0, 1, 1
68, 1, 0, 1, 1
69, 1, 0, 1, 1
70, 1.31, 1.41206, 1, 13
71, 1, 0, 1, 1
72, 1, 0, 1, 1
73, 1, 0, 1, 1
74, 1.11, 0.44486, 1, 4
75, 1, 0, 1, 1
76, 1.22, 0.855336, 1, 7
77, 1.18, 0.683813, 1, 6
78, 48.98, 91.3574, 1, 498
79, 1, 0, 1, 1
80, 1, 0, 1, 1
81, 1, 0, 1, 1
82, 1.49, 2.87226, 1, 25
83, 1, 0, 1, 1
84, 1.2, 0.721111, 1, 6
85, 1.11, 0.81111, 1, 9
86, 45.77, 85.5178, 1, 531
87, 1, 0, 1, 1
88, 1.12, 0.474974, 1, 4
89, 1.19, 0.64335, 1, 5
90, 51.35, 100.159, 1, 559
91, 1.17, 0.530189, 1, 4
92, 45.86, 84.5877, 1, 474
93, 46.41, 78.8747, 1, 431
94, 454.34, 812.27, 1, 4141
95, 1, 0, 1, 1
96, 1, 0, 1, 1
97, 1, 0, 1, 1
98, 1.11, 0.646452, 1, 7
99, 1, 0, 1, 1
100, 1.3, 1.26886, 1, 12
101, 1.14, 0.663626, 1, 6
102, 48.83, 90.1123, 1, 459
103, 1, 0, 1, 1
104, 1.11, 0.48775, 1, 4
105, 1.1, 0.43589, 1, 4
106, 51.19, 89.3053, 1, 521
107, 1.17, 0.566657, 1, 5
108, 52.97, 96.299, 1, 523
109, 49.13, 98.0579, 1, 549
110, 435.85, 752.285, 5, 4194
111, 1, 0, 1, 1
112, 1.17, 0.548726, 1, 4
113, 1.16, 0.504381, 1, 4
114, 51.32, 92.2295, 1, 568
115, 1.18, 0.698283, 1, 6
116, 51.77, 96.2991, 1, 468
117, 50.02, 96.9404, 1, 599
118, 443.17, 771.691, 4, 4344
119, 1.1, 0.43589, 1, 4
120, 50.35, 100.165, 1, 664
121, 46.61, 87.1179, 1, 427
122, 434.18, 737.589, 4, 3902
123, 48.77, 105.437, 1, 860
124, 437.3, 763.173, 3, 4686
125, 441.12, 798.471, 1, 4456
126, 425.73, 737.679, 6, 4173
127, 1, 0, 1, 1
128, 1, 0, 1, 1
129, 1, 0, 1, 1
130, 1, 0, 1, 1
131, 1, 0, 1, 1
132, 1, 0, 1, 1
133, 1, 0, 1, 1
134, 1.15, 0.572276, 1, 4
135, 1, 0, 1, 1
136, 1, 0, 1, 1
137, 1, 0, 1, 1
138, 1.24, 0.991161, 1, 8
139, 1, 0, 1, 1
140, 1.23, 1.13009, 1, 10
141, 1.22, 0.794733, 1, 7
142, 56.59, 107.45, 1, 688
143, 1, 0, 1, 1
144, 1, 0, 1, 1
145, 1, 0, 1, 1
146, 1.19, 0.770649, 1, 7
147, 1, 0, 1, 1
148, 1.22, 0.807218, 1, 6
149, 1.2, 0.860233, 1, 6
150, 50.08, 100.488, 1, 722
151, 1, 0, 1, 1
152, 1.18, 0.669029, 1, 5
153, 1.1, 0.387298, 1, 3
154, 53.44, 96.1445, 1, 524
155, 1.15, 1.02347, 1, 10
156, 48.45, 91.6354, 1, 533
157, 50.81, 96.2052, 1, 584
158, 455.91, 841.908, 1, 5383
159, 1, 0, 1, 1
160, 1, 0, 1, 1
161, 1, 0, 1, 1
162, 1.13, 0.541387, 1, 5
163, 1, 0, 1, 1
164, 1.19, 0.85668, 1, 8
165, 1.26, 1.02586, 1, 7
166, 47.21, 83.9472, 1, 555
167, 1, 0, 1, 1
168, 1.11, 0.397366, 1, 3
169, 1.11, 0.466798, 1, 4
170, 52.38, 98.5245, 1, 532
171, 1.19, 0.70278, 1, 5
172, 51.38, 86.3681, 1, 487
173, 53.03, 106.033, 1, 717
174, 430.82, 748.592, 1, 4132
175, 1, 0, 1, 1
176, 1.11, 0.507839, 1, 5
177, 1.21, 0.791139, 1, 6
178, 51.62, 101.367, 1, 608
179, 1.29, 1.19411, 1, 10
180, 44.28, 73.2515, 1, 433
181, 53.5, 98.9347, 1, 690
182, 465.65, 835.666, 3, 4472
183, 1.1, 0.574456, 1, 6
184, 50.32, 94.9358, 1, 667
185, 51.23, 98.0856, 1, 658
186, 456.68, 818.403, 2, 4979
187, 47.38, 85.2868, 1, 516
188, 436.37, 767.621, 1, 4483
189, 443.6, 782.285, 3, 4620
190, 447.81, 844.229, 1, 4888
191, 1, 0, 1, 1
192, 1, 0, 1, 1
193, 1, 0, 1, 1
194, 1.19, 0.673721, 1, 5
195, 1, 0, 1, 1
196, 1.17, 0.749066, 1, 7
197, 1.15, 0.572276, 1, 5
198, 51.36, 100.811, 1, 585
199, 1, 0, 1, 1
200, 1.26, 1.57873, 1, 16
201, 1.11, 0.70562, 1, 6
202, 48.36, 85.9552, 1, 533
203, 1.1, 0.412311, 1, 4
204, 52.16, 99.7229, 1, 602
205, 46.96, 87.8029, 1, 486
206, 467.17, 823.049, 4, 5087
207, 1, 0, 1, 1
208, 1.16, 0.643739, 1, 5
209, 1.16, 0.717217, 1, 6
210, 50.59, 92.0368, 1, 514
211, 1.18, 0.920652, 1, 9
212, 46.98, 92.1995, 1, 581
213, 49.87, 93.7108, 1, 554
214, 453.81, 797.19, 1, 4376
215, 1.14, 0.616766, 1, 5
216, 55.83, 103.823, 1, 620
217, 49.21, 90.1342, 1, 452
218, 434.58, 730.87, 2, 4371
219, 46.48, 80.0771, 1, 377
220, 462.29, 830.239, 2, 4779
221, 448.27, 770.879, 1, 4704
222, 429.19, 779.788, 1, 5279
223, 1, 0, 1, 1
224, 1.24, 0.849941, 1, 7
225, 1.17, 0.906146, 1, 9
226, 48.26, 95.0356, 1, 589
227, 1.2, 0.824621, 1, 8
228, 54.23, 111.825, 1, 710
229, 50.05, 84.6497, 1, 394
230, 442.77, 797.514, 1, 4273
231, 1.15, 0.622495, 1, 5
232, 46.49, 79.9282, 1, 412
233, 53.35, 104.123, 1, 597
234, 482.44, 909.591, 3, 5913
235, 54.01, 108.005, 1, 823
236, 449.22, 837.556, 5, 5632
237, 454.1, 786.105, 2, 4036
238, 425.57, 784.167, 7, 4764
239, 1.19, 0.844926, 1, 6
240, 53.64, 104.518, 1, 595
241, 43.87, 81.8173, 1, 480
242, 443.78, 791.857, 3, 3997
243, 48.27, 89.1897, 1, 496
244, 471.25, 893.945, 4, 5371
245, 452.59, 814.632, 6, 5070
246, 447.51, 870.981, 1, 4826
247, 50.78, 104.389, 1, 674
248, 454.12, 815.726, 6, 4168
249, 449.7, 824.59, 2, 4922
250, 404.13, 688.388, 4, 4135
251, 446.93, 803.276, 3, 5171
252, 420.68, 751.481, 3, 3885
253, 421.85, 760.339, 1, 4301
254, 41.79, 78.5541, 1, 445
255, 1, 0, 1, 1
256, 1, 0, 1, 1
257, 1, 0, 1, 1
258, 1, 0, 1, 1
259, 1, 0, 1, 1
260, 1, 0, 1, 1
261, 1, 0, 1, 1
262, 1.17, 0.721873, 1, 7
263, 1, 0, 1, 1
264, 1, 0, 1, 1
265, 1, 0, 1, 1
266, 1.26, 0.965608, 1, 7
267, 1, 0, 1, 1
268, 1.24, 1.72696, 1, 18
269, 1.15, 0.572276, 1, 4
270, 49, 84.2473, 1, 417
271, 1, 0, 1, 1
272, 1, 0, 1, 1
273, 1, 0, 1, 1
274, 1.29, 1.20246, 1, 9
275, 1, 0, 1, 1
276, 1.12, 0.587878, 1, 6
277, 1.36, 1.02489, 1, 7
278, 46.95, 92.3866, 1, 600
279, 1, 0, 1, 1
280, 1.31, 1.11081, 1, 7
281, 1.17, 0.849176, 1, 9
282, 54.17, 113.556, 1, 781
283, 1.21, 1.27511, 1, 13
284, 52.48, 94.6417, 1, 487
285, 45.32, 84.4795, 1, 548
286, 438.8, 795.897, 6, 4892
287, 1, 0, 1, 1
288, 1, 0, 1, 1
289, 1, 0, 1, 1
290, 1.16, 0.770974, 1, 8
291, 1, 0, 1, 1
292, 1.04, 0.195959, 1, 2
293, 1.18, 0.779486, 1, 6
294, 55.41, 119.906, 1, 766
295, 1, 0, 1, 1
296, 1.09, 0.402368, 1, 4
297, 1.23, 0.810617, 1, 6
298, 50.93, 88.48, 1, 495
299, 1.08, 0.462168, 1, 5
300, 49.84, 115.483, 1, 980
301, 46.28, 83.7259, 1, 472
302, 443.29, 790.111, 2, 4188
303, 1, 0, 1, 1
304, 1.33, 1.07754, 1, 7
305, 1.16, 0.611883, 1, 4
306, 51.21, 100.921, 1, 748
307, 1.07, 0.324191, 1, 3
308, 47.15, 83.8641, 1, 503
309, 54.61, 110.146, 1, 772
310, 451.63, 828.851, 1, 5383
311, 1.37, 1.33158, 1, 11
312, 47.16, 89.8323, 1, 483
313, 49.16, 90.1878, 1, 457
