point, mean, stddev, min, max
0, 61939.2, 66770.2, 483, 320278
1, 58731.5, 66393.9, 913, 299310
2, 50597.1, 58323.6, 724, 237555
3, 51835.3, 56983.6, 515, 240372
4, 55260.6, 65624.2, 468, 256774
5, 48076.2, 55317.3, 705, 235378
6, 58792.1, 60649.3, 599, 252755
7, 50748.3, 56838.7, 521, 250618
8, 49391.1, 57894.1, 600, 253509
9, 52174.9, 59623.5, 419, 256382
10, 57599.4, 63483.9, 699, 274337
11, 49117.7, 56480.1, 523, 229587
12, 49122, 64464.6, 251, 345007
13, 50616.6, 63492.2, 662, 295216
14, 56472.5, 64125.7, 296, 275890
15, 54439.8, 55449.9, 582, 207305
16, 58459.5, 61008.5, 513, 248292
17, 55492.8, 62781, 425, 307417
18, 54718.2, 58742, 898, 302585
19, 55223.8, 65629.2, 311, 308958
20, 56921.5, 64378.5, 357, 343109
21, 58775.1, 62847.2, 594, 333546
22, 56105.4, 58916.4, 815, 257727
23, 50682.3, 60159, 461, 291539
24, 56047, 69081.5, 543, 330013
25, 53747.9, 60520.2, 501, 260574
26, 44213.7, 52591.4, 549, 230137
27, 55363, 61250.4, 767, 260577
28, 59710.5, 65064.5, 788, 306265
29, 54157.6, 59039.7, 324, 240025
30, 52859.6, 58449, 424, 304442
31, 49925.2, 56059.8, 599, 265724
32, 54341.9, 57523, 187, 253770
33, 50843.7, 56955.7, 872, 265531
34, 47773.8, 54910.3, 314, 294641
35, 54233.2, 62021.7, 213, 287081
36, 53050.3, 60553.1, 609, 278480
37, 49344.4, 65723.9, 484, 362596
38, 51350.9, 57830.2, 666, 269535
39, 50526.9, 60228.3, 769, 316325
40, 48188.1, 52801.8, 542, 248865
41, 50641.1, 54261, 380, 218742
42, 55986.9, 56691.6, 480, 237223
43, 54796.5, 57791.1, 405, 223270
44, 49300.1, 51129.9, 425, 183360
45, 52756.5, 61913.9, 338, 327736
46, 55518.5, 59646.5, 614, 233965
47, 52726.1, 64383, 647, 308446
48, 52836.8, 64108.3, 388, 349124
49, 55549, 60598.2, 346, 251772
50, 54770.4, 56514.2, 697, 231730
51, 56784.7, 64136.7, 167, 344638
52, 56085.8, 61096, 630, 272987
53, 52410.9, 58163, 422, 250468
54, 49064.2, 55959.8, 670, 240461
55, 58885.2, 65459.3, 611, 290040
56, 51496.3, 58929.7, 109, 230023
57, 50611, 54959.4, 704, 255211
58, 50045.9, 50883.9, 296, 225140
59, 51324.4, 60452.8, 678, 322685
60, 42236.3, 50275.8, 705, 292277
61, 54263.6, 60473.3, 614, 240657
62, 52679.3, 57709.6, 301, 254439
63, 54321.7, 61791.8, 800, 296165
64, 49321.5, 52869.4, 352, 239342
65, 52513.9, 66165, 314, 305006
66, 52204.9, 61856.5, 607, 279178
67, 50471.1, 59400.8, 440, 255468
68, 50366.2, 61264.7, 457, 308662
69, 53192.5, 59796.4, 624, 309018
70, 53948.9, 57399.4, 464, 262499
71, 57273.2, 58599.8, 307, 280536
72, 57974.2, 63686.1, 310, 273415
73, 50001.1, 63015.9, 424, 330598
74, 54305.1, 61790.8, 525, 303412
75, 50778.5, 55249.7, 876, 248889
76, 56961.3, 62445.1, 571, 276293
77, 55838.6, 65776.8, 330, 281798
78, 46861, 54838.7, 876, 296192
79, 56992.2, 60713.2, 511, 238232
80, 58189.7, 59484.6, 803, 260061
81, 52180.4, 61698.2, 704, 256950
82, 52610, 54836.5, 893, 242587
83, 58366.1, 58745, 1124, 245803
84, 55788.7, 63402.2, 331, 284813
85, 51031.4, 55521, 418, 252775
86, 54392.1, 64540.1, 319, 336611
87, 50124.2, 57259.1, 266, 289723
88, 52770.1, 61153.3, 587, 270326
89, 54866.1, 58625.7, 812, 247017
90, 58154.9, 60993.6, 754, 246572
91, 56299.4, 58886.5, 432, 237320
92, 46363.1, 55072.2, 658, 289474
93, 57058.4, 61753.8, 760, 256381
94, 55598.5, 64663.7, 467, 305982
95, 57522, 63611.6, 716, 244706
96, 57387.9, 69551.2, 535, 339170
97, 57919, 68271.8, 648, 355724
98, 54055.3, 58310.8, 816, 298087
99, 51547, 58078.8, 712, 275747
100, 51213.9, 57643.2, 483, 265168
101, 59328.5, 63984.8, 654, 312326
102, 51536.1, 55825.9, 709, 249776
103, 54425.9, 63430.6, 652, 314084
104, 57683.4, 64424.1, 625, 282041
105, 54502.4, 59907.6, 836, 236353
106, 55021.8, 59910.2, 391, 280151
107, 46610.3, 53278.1, 556, 231505
108, 49690.9, 54534.1, 320, 209636
109, 57713.5, 64565.2, 503, 301970
110, 51682, 60549, 127, 268484
111, 54908.1, 58447.8, 795, 242085
112, 55569.2, 58653.4, 244, 225637
113, 60596.7, 66838.2, 817, 294423
114, 51688.9, 54947.8, 377, 198981
115, 56789.6, 64711, 594, 278456
116, 51806.8, 59267, 527, 324006
117, 54730.2, 62966.1, 643, 257388
118, 56889.4, 59635.5, 512, 217239
119, 53833.1, 57580.2, 384, 219560
120, 54719.8, 64809.8, 580, 291272
121, 53058.6, 59970.5, 261, 244236
122, 52348.7, 66365.3, 563, 400894
123, 51838.7, 58520.4, 578, 304350
124, 51584.8, 55660.8, 579, 258232
125, 52185.5, 57676.6, 489, 308069
126, 57913.2, 63321, 617, 275822
127, 50945.4, 57553.7, 705, 298704
128, 51913.8, 56846.8, 215, 273716
129, 48396.1, 53313.5, 671, 218918
130, 51772.1, 60864.8, 357, 264114
131, 52417.8, 56888.3, 563, 230972
132, 53172.3, 65636.4, 534, 281926
133, 53327.7, 59458.7, 93, 249522
134, 57621.4, 60825.3, 588, 298477
135, 51353.3, 54870.1, 704, 240734
136, 53831.5, 63412.6, 551, 264822
137, 55282.8, 59097.5, 733, 249740
138, 60630.9, 68541.5, 393, 304490
139, 55897.6, 59663, 764, 310889
140, 57537.5, 63254.3, 443, 271078
141, 49024.3, 56092.8, 383, 253447
142, 51232.4, 56592.1, 235, 358531
143, 48710.2, 56245.3, 393, 284448
144, 54630.5, 63934.9, 459, 265229
145, 54339.8, 61126.7, 493, 344426
146, 58716.9, 70242.1, 606, 399373
147, 54601.9, 67715.5, 497, 298854
148, 51538, 58422.5, 581, 288769
149, 50297.1, 56094.5, 800, 235253
150, 53455.3, 64697.7, 690, 313900
151, 56739.6, 63910.2, 436, 309105
152, 58588.9, 64215.3, 857, 328623
153, 58058.4, 62789.4, 435, 282180
154, 54439, 58961.5, 499, 300356
155, 58943.9, 65237.4, 404, 306336
156, 53625.3, 52411.2, 289, 252977
157, 53523.8, 55309.2, 629, 230304
158, 55997.5, 65965.5, 389, 407687
159, 54614.9, 62205.9, 386, 304663
160, 46801.9, 51790.7, 515, 236778
161, 50027.9, 53739.4, 374, 227370
162, 52982.1, 57313.2, 686, 265643
163, 58552.7, 71014.3, 846, 332508
164, 56066.9, 61061.4, 535, 255039
165, 53745.7, 59498.5, 568, 245278
166, 52964.9, 60449, 496, 271391
167, 54551, 62104.2, 553, 285423
168, 55009.9, 60841.8, 283, 318561
169, 52919.5, 60781.9, 566, 301193
170, 53053.7, 64154.8, 385, 290867
171, 53210.1, 61936.3, 395, 261856
172, 55967.5, 58554.1, 460, 264744
173, 55199.4, 61307.2, 629, 251275
174, 56627.1, 59025.7, 683, 257925
175, 54343.6, 57410.6, 407, 224729
176, 53356.6, 58857.3, 436, 264053
177, 57769.1, 61694.7, 608, 244860
178, 55752.1, 65917.6, 396, 321282
179, 50964.7, 63735.9, 379, 293171
180, 54363.5, 58410.5, 303, 263517
181, 52422.2, 60247.5, 264, 270181
182, 56874.3, 61958.2, 450, 285434
183, 53063.2, 62457.3, 508, 248979
184, 52428.9, 56236.2, 503, 222716
185, 58575.6, 66966.7, 525, 331442
186, 57002.5, 60298.4, 525, 252115
187, 57131.9, 61592.9, 590, 266880
188, 55716.6, 64095, 185, 287231
189, 48524.9, 56360, 364, 243895
190, 48346.2, 49553, 532, 254372
191, 56707, 61088.4, 360, 326057
192, 56449.2, 69268.1, 300, 379477
193, 55067.9, 61547, 654, 294215
194, 54449.4, 65441.7, 313, 283275
195, 55379.4, 68850.3, 459, 293907
196, 53969.9, 60472.1, 585, 258272
197, 48687.6, 54135.3, 672, 251571
198, 54594.9, 57463.1, 459, 227701
199, 50772.5, 52461.5, 678, 243110
200, 58198.6, 61468.8, 833, 274071
201, 57412.4, 61927.2, 420, 257227
202, 54080.2, 65412.6, 557, 267257
203, 57177.5, 63315.8, 485, 305997
204, 53340.9, 60879.8, 660, 256493
205, 56944.1, 60775.7, 994, 251033
206, 54588.7, 54590.1, 605, 247466
207, 51342.1, 61166.9, 326, 292574
208, 54454.9, 58824, 577, 229294
209, 56113.9, 61466.9, 739, 234766
210, 56245, 59284.8, 738, 224182
211, 50335.6, 60163.3, 639, 264839
212, 53364.7, 60898.4, 555, 239222
213, 54350.3, 58324.6, 589, 305567
214, 57464.5, 64285.3, 733, 300532
215, 51697.6, 57354.5, 520, 301566
216, 54263.4, 59590.9, 388, 233120
217, 53762.6, 61072.9, 514, 319459
218, 55534.3, 62030.2, 418, 231590
219, 49359.9, 63139.6, 884, 399759
220, 53636, 60166.6, 508, 309142
221, 48678.4, 59833.7, 687, 338683
222, 58574, 64736.1, 699, 283725
223, 49595.7, 58010.1, 610, 276090
224, 61593.9, 68250, 589, 290722
225, 54724.8, 62588.5, 496, 356857
226, 54689.4, 64016.6, 770, 286688
227, 53825.1, 60729.2, 537, 318563
228, 58620.7, 65224.3, 718, 311969
229, 55028.3, 61410.7, 651, 298013
230, 56937, 61363.5, 441, 274765
231, 58870.2, 64346.4, 873, 259945
232, 53457.6, 60521.2, 942, 273388
233, 54366.4, 59213.9, 750, 269564
234, 55637.9, 62620.2, 394, 273119
235, 51283.6, 52995.7, 316, 214898
236, 54226.5, 62214.4, 541, 247351
237, 57103.8, 61427.7, 769, 264529
238, 54737.4, 63433.6, 452, 265141
239, 56514.8, 64472.7, 361, 300496
240, 60855.5, 67497.2, 796, 327438
241, 56420.6, 59216.1, 565, 250633
242, 59720.5, 69235.8, 387, 368580
243, 55510.2, 58137.4, 523, 266081
244, 56520, 67991.2, 411, 374477
245, 52428.7, 63433.9, 595, 318014
246, 47406.3, 55716.1, 241, 241680
247, 57096.1, 65068.9, 491, 320777
248, 52802.4, 59696.8, 576, 246337
249, 47929.1, 58238.1, 254, 256764
250, 58295.7, 67417.5, 472, 342570
251, 50293.8, 48429.9, 689, 178855
252, 52552.1, 55083.3, 769, 249068
253, 54373.9, 60933.8, 637, 264816
254, 52339.8, 63065.2, 421, 247557
255, 51402.6, 58782.6, 495, 255241
