point, mean, stddev, min, max
0, 152737, 147367, 130, 586902
1, 153602, 148427, 139, 585645
2, 150643, 146009, 108, 577609
3, 152692, 147202, 156, 583994
4, 139629, 134031, 167, 529732
5, 159115, 153065, 220, 603418
6, 144720, 139834, 160, 560320
7, 115385, 110440, 114, 443517
8, 159195, 153367, 211, 603993
9, 159000, 153063, 191, 604365
10, 161759, 155765, 229, 617151
11, 153346, 148273, 195, 584991
12, 97502.5, 92727.2, 139, 366409
13, 161274, 155123, 184, 613632
14, 152615, 147347, 213, 581980
15, 144959, 139897, 154, 552774
16, 156288, 150444, 205, 594110
17, 153108, 147846, 177, 584160
18, 98150.8, 93715.8, 141, 371909
19, 155874, 150791, 112, 599057
20, 161584, 155675, 239, 615487
21, 150694, 145806, 149, 574632
22, 147621, 142268, 197, 563672
23, 143144, 138177, 193, 545478
24, 151862, 146049, 164, 574718
25, 152748, 147701, 150, 580439
26, 158177, 152153, 224, 596667
27, 163638, 157407, 208, 621321
28, 149383, 143757, 215, 566060
29, 155294, 149759, 204, 590399
30, 147091, 142649, 141, 571010
31, 155355, 149487, 174, 588354
32, 153602, 147928, 218, 583236
33, 161310, 155320, 181, 612458
34, 154507, 149070, 187, 581597
35, 157284, 151651, 233, 600266
36, 147806, 141983, 157, 558893
37, 160598, 154539, 204, 609436
38, 130477, 125253, 175, 492729
39, 133282, 128494, 113, 509815
40, 131258, 126495, 112, 499382
41, 165566, 159107, 246, 628753
42, 158220, 152504, 137, 602030
43, 136662, 131101, 163, 522368
44, 139773, 134966, 173, 523593
45, 161185, 155075, 186, 612593
46, 101118, 97127.4, 113, 383407
47, 152868, 148163, 140, 581670
48, 152437, 147190, 155, 582108
49, 161258, 154898, 194, 610590
50, 160184, 154211, 222, 610260
51, 137379, 131996, 207, 518959
52, 154054, 148993, 132, 588437
53, 160657, 154648, 162, 611919
54, 146302, 141146, 157, 551631
55, 166126, 159520, 202, 629595
56, 162617, 156566, 149, 619147
57, 112996, 108036, 173, 428875
58, 162438, 156196, 175, 614795
59, 161073, 154905, 171, 610860
60, 127137, 122852, 144, 477676
61, 151209, 145820, 179, 578829
62, 158936, 153378, 193, 607522
63, 160377, 154433, 237, 605183
64, 154606, 149196, 185, 592874
65, 154971, 149412, 194, 590825
66, 144357, 138967, 168, 540525
67, 160491, 154591, 214, 608354
68, 165861, 159331, 215, 632551
69, 162033, 156021, 182, 621840
70, 146379, 141548, 120, 552866
71, 148778, 143562, 202, 567006
72, 160704, 154359, 205, 609563
73, 152967, 147549, 166, 586497
74, 158509, 152724, 191, 607135
75, 130637, 126493, 164, 498898
76, 158018, 152359, 174, 600985
77, 161699, 155618, 232, 613343
78, 155467, 149743, 154, 589736
79, 151827, 146385, 224, 577402
80, 153138, 147681, 195, 586003
81, 138221, 134212, 184, 533186
82, 136629, 132000, 158, 523204
83, 157901, 151851, 180, 601499
84, 158809, 152965, 185, 604391
85, 160378, 154464, 173, 606921
86, 161124, 155165, 211, 611397
87, 160822, 154681, 163, 612533
88, 132769, 127730, 107, 501726
89, 160908, 154949, 220, 610949
90, 155945, 150490, 197, 601748
91, 155938, 149958, 192, 593346
92, 154261, 148636, 175, 584659
93, 144799, 140159, 154, 550876
94, 161776, 155905, 219, 614523
95, 163061, 156697, 213, 619294
96, 130122, 125583, 80, 508815
97, 161999, 155814, 184, 616342
98, 169821, 163045, 227, 646404
99, 156250, 150736, 195, 594392
100, 151854, 146208, 183, 574513
101, 158564, 152564, 191, 600416
102, 157823, 152053, 181, 597773
103, 150119, 144487, 183, 572389
104, 160021, 154217, 224, 606907
105, 154190, 149125, 203, 591716
106, 166750, 160330, 259, 630779
107, 157702, 152243, 209, 600832
108, 158663, 153086, 174, 605765
109, 158962, 153117, 175, 608352
110, 132266, 127213, 171, 491763
111, 145913, 140330, 199, 552471
112, 162103, 155966, 237, 618123
113, 159868, 153898, 218, 609800
114, 157464, 152120, 188, 602055
115, 136271, 131273, 174, 517689
116, 160169, 154081, 185, 607732
117, 155983, 150585, 162, 592677
118, 154305, 148769, 160, 589239
119, 154268, 148773, 179, 586129
120, 163141, 157004, 203, 623165
