point, mean, stddev, min, max
0, 1.17, 0.530189, 1, 4
1, 1.17, 0.51098, 1, 4
2, 1.14, 0.548088, 1, 5
3, 1.18, 0.589576, 1, 4
4, 1.16, 0.560714, 1, 4
5, 1.17, 0.679043, 1, 5
6, 1.24, 0.68, 1, 5
7, 1.13, 0.541387, 1, 5
8, 1.19, 0.560268, 1, 4
9, 1.2, 0.748332, 1, 5
10, 1.12, 0.430813, 1, 4
11, 1.18, 0.622575, 1, 4
12, 1.06, 0.310484, 1, 3
13, 1.11, 0.507839, 1, 5
14, 1.13, 0.461627, 1, 4
15, 1.23, 0.614084, 1, 4
16, 1.31, 0.844926, 1, 5
17, 1.14, 0.548088, 1, 4
18, 1.13, 0.50309, 1, 4
19, 1.15, 0.554527, 1, 4
20, 1.08, 0.305941, 1, 3
21, 1.12, 0.515364, 1, 4
22, 1.15, 0.589491, 1, 5
23, 1.13, 0.461627, 1, 4
24, 1.13, 0.482804, 1, 4
25, 1.22, 0.672012, 1, 4
26, 1.14, 0.424735, 1, 3
27, 1.17, 0.584038, 1, 5
28, 2.03, 0.639609, 1, 6
29, 1.25, 0.739932, 1, 6
30, 1.07, 0.291719, 1, 3
31, 1.06, 0.369324, 1, 4
32, 1.33, 0.775306, 1, 5
33, 1.14, 0.566039, 1, 4
34, 1.15, 0.497494, 1, 3
35, 1.17, 0.633325, 1, 5
36, 1.19, 0.730684, 1, 5
37, 1.18, 0.726361, 1, 6
38, 1.19, 0.542126, 1, 4
39, 1.19, 0.673721, 1, 5
40, 1.23, 0.732871, 1, 6
41, 1.14, 0.600333, 1, 5
42, 1.09, 0.376696, 1, 3
43, 1.28, 0.917387, 1, 5
44, 1.1, 0.43589, 1, 4
45, 1.17, 0.617333, 1, 5
46, 1.28, 0.7494, 1, 4
47, 1.21, 0.621209, 1, 4
48, 1.16, 0.542587, 1, 4
49, 1.17, 0.584038, 1, 5
