point, mean, stddev, min, max
0, 87467.6, 176759, 1, 709891
1, 87221.7, 176428, 1, 708919
2, 87574.2, 176926, 2, 710388
3, 87161.9, 176369, 1, 708869
4, 87762.4, 177187, 1, 710660
5, 87262, 176502, 1, 709174
6, 87846.2, 177304, 1, 711207
7, 87333.4, 176585, 1, 709683
8, 87718.8, 177122, 1, 710851
9, 87152.8, 176349, 1, 708731
10, 87500.9, 176846, 1, 710182
11, 87485.8, 176801, 1, 710001
12, 87404.3, 176694, 1, 709852
13, 87748.6, 177180, 1, 711249
14, 87460.6, 176781, 1, 710133
15, 87534.9, 176878, 1, 710282
16, 87556.7, 176892, 1, 710272
17, 87565.3, 176921, 1, 710340
18, 87426.8, 176710, 1, 709647
19, 87495.6, 176831, 1, 710250
20, 87700.9, 177089, 1, 710874
21, 87517.9, 176844, 1, 710280
22, 87429.5, 176744, 1, 710041
23, 87580.3, 176915, 1, 710054
24, 87637.9, 177020, 1, 710742
25, 87375.4, 176637, 1, 709544
26, 87620.2, 176980, 1, 710384
27, 87609.4, 176973, 1, 710431
28, 87532.5, 176878, 1, 710505
29, 87326.3, 176584, 1, 709608
30, 87615.1, 176972, 1, 710667
31, 87674.2, 177077, 1, 710925
32, 87229.4, 176445, 1, 709121
33, 87810.8, 177259, 1, 711167
34, 87438.7, 176731, 1, 710164
35, 87864.8, 177333, 3, 711622
36, 87612.9, 176992, 1, 710799
37, 87660.5, 177057, 1, 710862
38, 87534.1, 176853, 1, 710039
39, 87593.2, 176950, 1, 710426
40, 87572.1, 176926, 1, 710493
41, 87686.7, 177077, 1, 710866
42, 87599, 176960, 1, 710503
43, 87186.2, 176388, 1, 709354
44, 87404, 176670, 1, 709661
45, 87685.5, 177087, 1, 710705
46, 87862.4, 177332, 1, 711582
47, 87826.8, 177277, 1, 711250
48, 87456.7, 176746, 1, 709814
49, 87450.5, 176736, 1, 709785
50, 87586.7, 176935, 1, 710322
51, 87447.2, 176760, 1, 709973
52, 87252.2, 176451, 1, 709093
53, 87151.2, 176316, 2, 708806
54, 87551.3, 176883, 1, 710038
55, 87580.3, 176934, 1, 710422
56, 87851.3, 177309, 1, 711541
57, 87650.1, 177035, 1, 710570
58, 87361.8, 176647, 1, 709274
59, 87598.1, 176956, 1, 710378
60, 87601.7, 176960, 1, 710521
61, 87588.9, 176948, 1, 710261
62, 87529.1, 176844, 1, 710362
63, 87614.9, 176976, 1, 710037
64, 87087.3, 176254, 1, 708968
65, 87563.4, 176911, 1, 710387
66, 87522.4, 176861, 1, 710259
67, 87568.2, 176924, 1, 710338
68, 87526.2, 176847, 1, 709929
69, 87686.3, 177093, 1, 710702
70, 87691.8, 177104, 1, 711052
71, 87608.8, 176966, 1, 710653
72, 87609, 176984, 1, 710420
73, 87782.9, 177204, 1, 711030
74, 87650.2, 177039, 1, 710813
75, 87430.7, 176714, 1, 709628
76, 87664.9, 177059, 1, 710712
77, 87563.8, 176900, 1, 710468
78, 87521.9, 176867, 1, 710185
