point, mean, stddev, min, max
0, 715.84, 581.083, 19, 2781
1, 711.81, 577.698, 22, 2761
2, 730.03, 583.427, 24, 2805
3, 699.77, 576.667, 20, 2730
4, 727.62, 581.801, 14, 2783
5, 717.65, 580.127, 17, 2780
6, 729.71, 583.245, 18, 2783
7, 700.62, 576.93, 17, 2751
8, 731.11, 581.855, 23, 2782
9, 733.85, 582.264, 21, 2782
10, 707.6, 576.977, 21, 2764
11, 717.38, 577.949, 21, 2802
12, 714.36, 578.128, 13, 2775
13, 725.59, 581.593, 16, 2798
14, 720.37, 580.36, 22, 2781
15, 721.73, 581.366, 13, 2787
16, 742.24, 583.654, 24, 2800
17, 720.09, 580.982, 19, 2794
18, 709.98, 577.444, 20, 2765
19, 712.37, 579.317, 21, 2789
20, 726.37, 581.087, 19, 2761
21, 732.49, 583.645, 20, 2805
22, 714.74, 580.877, 17, 2785
23, 717.39, 577.681, 10, 2758
24, 735.46, 583.089, 27, 2797
25, 720.73, 580.623, 21, 2754
26, 733.38, 585.935, 23, 2806
27, 713.61, 581.21, 17, 2809
28, 727.81, 582.541, 24, 2812
29, 720.94, 582.151, 15, 2796
30, 726.24, 579.616, 13, 2741
31, 730.27, 583.444, 14, 2797
32, 715.55, 582.839, 17, 2776
33, 720.12, 581.37, 18, 2794
34, 725.75, 580.832, 23, 2803
35, 730.19, 582.041, 24, 2795
36, 719.88, 581.68, 9, 2782
37, 719.73, 578.071, 16, 2773
38, 725.24, 581.292, 21, 2790
39, 728.76, 580.867, 22, 2784
40, 729.46, 581.438, 25, 2793
41, 713.36, 578.444, 17, 2807
42, 735.4, 584.273, 22, 2796
43, 716.38, 578.365, 20, 2745
44, 710.52, 577.563, 16, 2757
45, 706.37, 574.466, 18, 2752
46, 738.44, 583.114, 25, 2798
47, 710.83, 580.263, 17, 2779
48, 738.76, 583.613, 15, 2780
49, 726.93, 583.634, 17, 2776
50, 739.62, 584.975, 26, 2795
51, 719.63, 581.896, 20, 2775
52, 726.62, 580.535, 18, 2774
53, 728.08, 582.069, 20, 2786
54, 727.4, 583.477, 18, 2772
55, 704.7, 578.921, 20, 2751
56, 735.57, 585.637, 21, 2819
57, 727.31, 582.258, 26, 2795
58, 721.24, 579.607, 21, 2786
59, 727.76, 582.514, 17, 2773
60, 732.48, 582.516, 22, 2793
61, 709.42, 575.348, 16, 2753
62, 725.15, 582.5, 16, 2812
63, 725.24, 580.578, 20, 2772
64, 711.02, 580.46, 20, 2772
65, 725.19, 580.749, 18, 2769
66, 713.16, 580.379, 7, 2777
67, 724.78, 583.83, 21, 2803
68, 706.11, 576.875, 16, 2740
69, 713.39, 581.229, 18, 2790
70, 732.76, 582.921, 27, 2789
71, 725.1, 582.146, 26, 2799
72, 719.2, 580.12, 12, 2788
73, 730.52, 581.547, 18, 2789
74, 745.04, 586.337, 23, 2824
75, 723.14, 581.597, 17, 2788
76, 733.15, 581.6, 19, 2776
77, 723.79, 580.599, 20, 2791
78, 732.95, 583.464, 28, 2819
79, 726.5, 578.393, 18, 2783
80, 722.03, 579.34, 24, 2784
81, 719.61, 582.069, 19, 2771
