point, mean, stddev, min, max
0, 65993.9, 45700.7, 2511, 229867
1, 60828.8, 41611.1, 3166, 198134
2, 50372.4, 35042.6, 2295, 167280
3, 61704.3, 43151.1, 3327, 204486
4, 36312.2, 24840.9, 1479, 135618
5, 37235.8, 27336.7, 1159, 154720
6, 56829.5, 38775.3, 2553, 195641
7, 60617.9, 40106.7, 2305, 202883
8, 64265, 43551.6, 2992, 221875
9, 65348, 44120.5, 1924, 217008
10, 57772, 40641, 2334, 203152
11, 66442.3, 46024.8, 3918, 232427
12, 52174.3, 40324.3, 1951, 222194
13, 55623.6, 37194.1, 1783, 180001
14, 59475.6, 41168.1, 3038, 216457
15, 59702.2, 42042.6, 2623, 215324
16, 46076.5, 31493.3, 2048, 148396
17, 67311.2, 45845.7, 3792, 237356
18, 50169.9, 35804.3, 3152, 165571
19, 67801.1, 45509.5, 3581, 238343
20, 57297.7, 41019, 3511, 218929
21, 56919.8, 41727.7, 1798, 218853
22, 59946.1, 41662.8, 3158, 216176
23, 49348.4, 33413.5, 2006, 172635
24, 57192.4, 39343.1, 3412, 207111
25, 48918.4, 33762.7, 1893, 166373
26, 64881.7, 43935.7, 2819, 226690
27, 66280.4, 44582.7, 3261, 237163
28, 65751.6, 45223.2, 2859, 232874
29, 51883.5, 36585, 1881, 183748
30, 60869.3, 41487.4, 3568, 206169
31, 60258.4, 42424, 2829, 210623
32, 38605.4, 27043.4, 3211, 142935
33, 66350.2, 44614.1, 2848, 229564
34, 63423, 43032.2, 3357, 214928
35, 37207.4, 26112.6, 1496, 152782
36, 33248.9, 22958.1, 2310, 117261
37, 57585.6, 39208.2, 3418, 199568
38, 65135.5, 44175.5, 2499, 224771
39, 60216.5, 41044.8, 2802, 198349
40, 57923.7, 39468.6, 2021, 192349
41, 55870.5, 37430.2, 2801, 210101
42, 63930.1, 43322.6, 2915, 223707
43, 53122.4, 39115, 2289, 200365
44, 62179.6, 41484.4, 2531, 198610
45, 63241, 42631.7, 2831, 211370
46, 63713.1, 42380.8, 2732, 203666
47, 68046.4, 46034.9, 3012, 225114
