point, mean, stddev, min, max
0, 47477.5, 52496.9, 2263, 445096
1, 43731.5, 46673.5, 2310, 393209
2, 46972.1, 51850.9, 2385, 437497
3, 46667.9, 51610.4, 2469, 434238
4, 46787.7, 51727.1, 2002, 435821
5, 35231.5, 33557.7, 1844, 258187
6, 46930.9, 51958.2, 2298, 438704
7, 43608.5, 46460, 2360, 391867
8, 47404.7, 52251.4, 2516, 442406
9, 47166.6, 52039.3, 2382, 439664
10, 47380.5, 52407.8, 2554, 444403
11, 47457, 52329.7, 2416, 443510
12, 47022.6, 52002.8, 2036, 439475
13, 47487.8, 52607.1, 2586, 447062
14, 47195.4, 52135.7, 2675, 440750
15, 47049.1, 52017.8, 2431, 439901
16, 47416.4, 52612.3, 2512, 447055
17, 47211.7, 52199.5, 2574, 441764
18, 47189, 52237.3, 2209, 442161
19, 46818.1, 51624.9, 2428, 434949
20, 47120.9, 51959.8, 2311, 439018
21, 46799.3, 51606.2, 2543, 434809
22, 46280.9, 51116, 2097, 428952
23, 46947.7, 51796.4, 2157, 436717
24, 47022.4, 51859, 2451, 437570
25, 46894.6, 51892.2, 2640, 438475
26, 46945.2, 51878.1, 2578, 438037
27, 47365.6, 52319.3, 2301, 443574
28, 47163.3, 52086.1, 2372, 440491
29, 46812.3, 51845.4, 2580, 437766
30, 46776.7, 51493.4, 2439, 433327
31, 47311.3, 52267.1, 2301, 442638
32, 47078.5, 52082.2, 2472, 440218
33, 47526.2, 52461.3, 2692, 444830
34, 46911.5, 51865.9, 2172, 437694
35, 46955.5, 51854.5, 2307, 437664
36, 47431.6, 52302.8, 2531, 443017
37, 42343.6, 44201, 1998, 367493
38, 47187.7, 52091.9, 2369, 440822
39, 47153.3, 51961.3, 2163, 439162
40, 47451.1, 52313.5, 2385, 443291
41, 46925.9, 51846.7, 2477, 437632
42, 47159.7, 52088.2, 2459, 440776
43, 47143.1, 52161.2, 2369, 441724
44, 46975.7, 51862.2, 2404, 437602
45, 47425.5, 52329, 2556, 443348
46, 47074.4, 51859.3, 2395, 437493
47, 47516.6, 52415.1, 2490, 444635
48, 43643.3, 46521.1, 2090, 390451
49, 46838.6, 51738.9, 2294, 436203
50, 47297.4, 52075, 2390, 440288
51, 47155.2, 52094.5, 2335, 440040
52, 47577.5, 52443.2, 2702, 444639
53, 47633.4, 52593.9, 2509, 446491
54, 47609.3, 52581.9, 2679, 446329
55, 46394.1, 51320.3, 1711, 431070
56, 47015, 51801.9, 2612, 436881
57, 46795.6, 51661.2, 2240, 435040
58, 47167.5, 52070.9, 2160, 440463
59, 47518.1, 52488.3, 2747, 445355
60, 47256.7, 52224.3, 2585, 442440
61, 47379.6, 52205.9, 2551, 441848
62, 47338.4, 52133.8, 2420, 441233
63, 47499.9, 52401.9, 2477, 444436
64, 46888, 51910.6, 2125, 438437
65, 46667, 51707, 1994, 435935
66, 41196, 42792.4, 1773, 355162
67, 47231.1, 52117.4, 2518, 440816
68, 46812.5, 51712.3, 2432, 435434
69, 47565.5, 52524, 2515, 445901
70, 47124.8, 51914.2, 2303, 438187
71, 45993.6, 50740.9, 2267, 424279
72, 47416.7, 52366.6, 2738, 443858
73, 47080.9, 52075.8, 2493, 440395
74, 46936.6, 51791, 2196, 437118
75, 47348.8, 52211.4, 2597, 441488
76, 47445.3, 52195.4, 2674, 442049
77, 47481, 52494.2, 2112, 445006
78, 47455.9, 52382.6, 2654, 444273
79, 47714.6, 52744.5, 2721, 448293
80, 47200.8, 52043.8, 2219, 439899
81, 47396.4, 52277.4, 2528, 443061
82, 44998.9, 48950.1, 2229, 414145
83, 47335.2, 52185.8, 2678, 441727
84, 47440.3, 52395, 2642, 444155
85, 46903.5, 51842.1, 2382, 437300
86, 47477.9, 52287.2, 2652, 442750
87, 46963.2, 51853.3, 2196, 437327
88, 47545.5, 52548.8, 2554, 445995
89, 47636.4, 52504.9, 2646, 445458
90, 47705, 52546.7, 2837, 445993
91, 46854.9, 52009, 2386, 439841
92, 46450.1, 51190.4, 2141, 429150
93, 47542.8, 52494.6, 2541, 445655
94, 46792, 51529.2, 2090, 433594
95, 46365.8, 51178, 2474, 429574
96, 47764.6, 52745.2, 2591, 448515
97, 46904.2, 51836.2, 2182, 437360
98, 47097.2, 51841.4, 2427, 437489
99, 46956.9, 51824.8, 2501, 437162
100, 47425.1, 52296.2, 2527, 443281
101, 46186.6, 51182.2, 1897, 429724
102, 46885.7, 51605.2, 2137, 434030
103, 47371.9, 52255.5, 2194, 442473
104, 46433.5, 51401.4, 1961, 432419
105, 47397.1, 52226.5, 2592, 442310
106, 47438.5, 52291.3, 2684, 442603
107, 47756.5, 52683.2, 2607, 447597
108, 47517.2, 52344.9, 2634, 443639
109, 47238.7, 52148.5, 2217, 441390
110, 47325.6, 52303.7, 2539, 443127
111, 46926, 51896.2, 2232, 438083
112, 47075.7, 51881.2, 1889, 438119
113, 47574.9, 52541.4, 2590, 446158
114, 46950.5, 51781.6, 2481, 436600
115, 47157.6, 52134.8, 2283, 441301
116, 47345.3, 52333.9, 2398, 443258
117, 47109.9, 51934.7, 2659, 438584
118, 47421, 52287, 2588, 442917
119, 47126, 51951.5, 2188, 438774
120, 46939.5, 51815.7, 2149, 437087
121, 47264.5, 52101.6, 2691, 440789
122, 47405.9, 52383.2, 2402, 443833
123, 43927.2, 46986.9, 2264, 395803
124, 46985.8, 51793.4, 2468, 436644
125, 42828.7, 44398.6, 2298, 366721
126, 47830.8, 52879.4, 2743, 450123
127, 47312.3, 52143.6, 2522, 441053
128, 47238.9, 52092.1, 2339, 440127
129, 46921.3, 51839, 2146, 437095
130, 47582.8, 52459.9, 2631, 445087
131, 47438, 52447.5, 2366, 444977
132, 47353.9, 52168, 2543, 441688
133, 47451, 52364.3, 2594, 443764
134, 47389.9, 52291.8, 2584, 442767
135, 42462, 45015.9, 1975, 379684
136, 47191.4, 52083.9, 2515, 440431
137, 46613.5, 51314.3, 1930, 431121
138, 47016.4, 52022.5, 2065, 439537
139, 46680.3, 51359.6, 2077, 431385
140, 47350.7, 52125.5, 2464, 440904
141, 47362.1, 52341.9, 2590, 443889
142, 47011.2, 51945.7, 2329, 439099
143, 47278.2, 52250.8, 2313, 442471
144, 46493.9, 51614.6, 2414, 435095
145, 47343.6, 52155.7, 2679, 441321
146, 47251.7, 52165.8, 2380, 441687
147, 47282.9, 52047.4, 2594, 439929
148, 46460.5, 51098.1, 2318, 427921
149, 46355.8, 51199.2, 2174, 428991
150, 47492.3, 52455, 2521, 445211
151, 46772.4, 51830.4, 2239, 437135
152, 47109, 52074.4, 2285, 440228
153, 47004.6, 51914.8, 2499, 438741
154, 47431.8, 52360.5, 2612, 443680
155, 47586.4, 52416.7, 2621, 444614
156, 47301.4, 52220.1, 2120, 441778
157, 47006.2, 51867.7, 2658, 437968
158, 47445.5, 52577.5, 2338, 446689
159, 47002.3, 51877.6, 2380, 438469
160, 47220.3, 52109.6, 2615, 440442
161, 47390.9, 52296.8, 2577, 443011
162, 47330, 52228.9, 1949, 442217
163, 47073.3, 51906.4, 2329, 438878
164, 47251.9, 52213.6, 2516, 441986
165, 44392.1, 47721.5, 2265, 402722
166, 47277.8, 52228.7, 2636, 442331
167, 47519.2, 52556.7, 2590, 446578
168, 47420.4, 52217.1, 2391, 441978
169, 47272.9, 52133.2, 2609, 440698
170, 47705.6, 52628.9, 2636, 447052
171, 47019.7, 52056, 2123, 440053
172, 46890.3, 51568.6, 2055, 433768
173, 47326.3, 52237.7, 2484, 442507
174, 47018.7, 51925.9, 2547, 437951
175, 47087.7, 51908.7, 2340, 437892
176, 47156.6, 52161, 2639, 441945
177, 47293.6, 52038.9, 2612, 440201
178, 47303.3, 52319.8, 2627, 443518
179, 46209.7, 50978.8, 2164, 427650
180, 47640.9, 52604, 2681, 446433
181, 47360.8, 52239.9, 2648, 442345
182, 47321, 52098.8, 2674, 440596
183, 47225.6, 52006.4, 2382, 439611
184, 47580.6, 52495.7, 2598, 445115
185, 46781.1, 51641.1, 2425, 434611
186, 47426.2, 52414.8, 2541, 444181
187, 47021, 51987.1, 2128, 439336
188, 46788.2, 51425, 2331, 434074
189, 46536.3, 51566.1, 2393, 433974
190, 47041.6, 51910.6, 2490, 437886
191, 47134.5, 52025.9, 2277, 439322
192, 46822.3, 51884.6, 2390, 438330
193, 43327.8, 45795.9, 2212, 382523
194, 47022, 51942.7, 2622, 438949
195, 47058.5, 51930.9, 2376, 438628
196, 47529.4, 52423.1, 2571, 444767
197, 47494.2, 52306.9, 2695, 443146
198, 47519.6, 52293.1, 2620, 443064
199, 47081.8, 51965.7, 2462, 439265
200, 47508.3, 52421, 2488, 444520
201, 44822.5, 48634.2, 2252, 411959
202, 47518.4, 52386.2, 2608, 443998
203, 44905.5, 48602.8, 2489, 410986
204, 47267.5, 52096.8, 2515, 440825
205, 47028.9, 51911.6, 2529, 438848
206, 46867.2, 51815.3, 2458, 437297
207, 47503.7, 52423.2, 2746, 444729
208, 46952.1, 51844.6, 2163, 437360
209, 47350.3, 52230.7, 2158, 441614
210, 47722.5, 52549.7, 2514, 446414
211, 46936.7, 51808.3, 2277, 437627
212, 47080.3, 51867.3, 2264, 437697
213, 47459, 52311.5, 2795, 443136
214, 46978, 51781.8, 2475, 436564
215, 47436.8, 52332.2, 2469, 443254
216, 47596.6, 52452.1, 2736, 444628
217, 47655.1, 52677.1, 2606, 447802
218, 46759.1, 51642.7, 2385, 434464
219, 47279, 52140.5, 2518, 440983
220, 46944.3, 51874.2, 2504, 437842
221, 47587.2, 52519.1, 2562, 445866
222, 47438.2, 52282.8, 2447, 443251
223, 47040.9, 51964.2, 2318, 438905
224, 47245.9, 52083.5, 2029, 439956
225, 47452.6, 52401.3, 2736, 444336
226, 43352.4, 45948.3, 2180, 385416
227, 42089.3, 43825.4, 2394, 364323
228, 47105.7, 51982.9, 2337, 438865
229, 46037, 50667.9, 1831, 423982
230, 47851.7, 52709.1, 2849, 448366
231, 46209.7, 50866.2, 2409, 431232
232, 47199.4, 52189.8, 2221, 442023
233, 47463.6, 52310, 2641, 442837
234, 47641.8, 52508.7, 2499, 445284
235, 46995.9, 51698.8, 2382, 435515
236, 47443.9, 52172.5, 2275, 441285
237, 47093.6, 51876.9, 2525, 438277
238, 47369.7, 52253.6, 2698, 442574
239, 47318.2, 52230, 2643, 442315
240, 46859.6, 51749.9, 2168, 436725
241, 47228.4, 52107, 2327, 440868
242, 47256.4, 52090.1, 2465, 440286
243, 47319.3, 52228, 2574, 442493
244, 47347.9, 52328, 2574, 443374
245, 47401.9, 52169.1, 2616, 441186
246, 46965.8, 51762.4, 2181, 436472
247, 47560, 52441.5, 2629, 444447
248, 46387.2, 51052.2, 2070, 427538
249, 47227.6, 51912.5, 2615, 437927
250, 47475.5, 52282.5, 2531, 442856
251, 46808.2, 51591.2, 2145, 434389
252, 47477.5, 52283.2, 2556, 442724
253, 43795.2, 47044.8, 2473, 398459
254, 47274.5, 52247.8, 2160, 442614
255, 47165.3, 51989.4, 2624, 439598
256, 46932, 51888.8, 2299, 438323
257, 47335, 52229.2, 2559, 442017
258, 47019.8, 52018, 2394, 439757
259, 47406.9, 52240.6, 2470, 442578
260, 46821.3, 51626.1, 2561, 434710
261, 47455.4, 52349, 2671, 443695
262, 47389.5, 52292.1, 2618, 442880
263, 47528.4, 52397.4, 2447, 444486
264, 42148.4, 44070.1, 1862, 369270
265, 47212.7, 52054.3, 2317, 440056
266, 47242.8, 52209.2, 2229, 441827
267, 47782.3, 52713, 2694, 448460
268, 43545.2, 46548.2, 2180, 392989
269, 47122.4, 51924, 2474, 438263
270, 46975.4, 51889.3, 2199, 437683
271, 47538.1, 52406.3, 2638, 444027
272, 47021.2, 51905.7, 2365, 437926
273, 46850.9, 51600.7, 1885, 434259
274, 47094.9, 52097.5, 2422, 441332
275, 47883.6, 52763.8, 2678, 448626
276, 47228, 51978.2, 2430, 439523
277, 46019.6, 50892.7, 1956, 426529
278, 47097.9, 52001.4, 2267, 439308
279, 47335.8, 52149.1, 2499, 441038
280, 47467.6, 52380.7, 2366, 443954
281, 47362.6, 52338.7, 2446, 443756
282, 43197.3, 45702.4, 2467, 383494
283, 47256.6, 52094, 2679, 440329
284, 47329.9, 52273, 2495, 443212
285, 47597.7, 52465.5, 2470, 444873
286, 47157.9, 52010.9, 2453, 439022
287, 46571.8, 51483.3, 2150, 433278
288, 46991, 51921.4, 1951, 437825
289, 47612.3, 52530.7, 2458, 446007
290, 47497, 52340.6, 2600, 443365
291, 46605.2, 51704.9, 2402, 436362
292, 47536.6, 52388, 2512, 443876
293, 47319, 52332.3, 2503, 443565
294, 47500.9, 52297.2, 2735, 442897
295, 46580.9, 51583, 2281, 434842
296, 46829.1, 51962.8, 2466, 439113
297, 47537.9, 52444.6, 2609, 444623
298, 47328.8, 52168.8, 2608, 441120
299, 47205.2, 52042, 2650, 440153
