point, mean, stddev, min, max
0, 24219, 14345.9, 3847, 69513
1, 114705, 72510.9, 17884, 352268
2, 51440.2, 31817.9, 8693, 168920
3, 102861, 62214.5, 18422, 287674
4, 7035.06, 4085.62, 1255, 21553
5, 1106.68, 976.8, 43, 4411
6, 119531, 71670.2, 21453, 344528
7, 100508, 59386.1, 20578, 280643
8, 246781, 150046, 46414, 715954
9, 1314.71, 838.719, 127, 3823
10, 21.54, 19.9812, 1, 111
11, 24405.5, 15089.5, 4522, 70088
12, 25594, 15649.5, 4794, 73771
13, 27792.7, 16900.3, 5209, 79925
14, 13987.4, 8359.81, 2635, 43142
15, 5029.87, 3207.08, 775, 18041
16, 377.16, 312.656, 10, 1719
17, 46665.6, 27364.5, 9341, 131627
18, 64597.1, 40133.3, 10533, 188028
19, 103179, 61511.3, 16312, 313779
20, 58661.1, 35354.3, 10875, 176554
21, 116579, 72975.7, 22202, 348488
22, 30593.2, 18378.7, 5047, 87755
23, 60835, 34897.2, 12011, 162780
24, 643.97, 523.641, 24, 2666
25, 124.7, 150.345, 1, 821
26, 56967.4, 33435.2, 11346, 152866
27, 81536.5, 49137.8, 14478, 235937
28, 8649.31, 5223.03, 1357, 27173
29, 99783.2, 59937.9, 18551, 293802
30, 38571.9, 25340.2, 4795, 116984
31, 64416.2, 39477.8, 12873, 191205
32, 79980.2, 47515.9, 15984, 222059
33, 63069.4, 38964.2, 9687, 184820
34, 193154, 116149, 30105, 593709
35, 48746.3, 28894.8, 8477, 139579
36, 37236.9, 23072.9, 5564, 110172
37, 9339.36, 5712.03, 1216, 26592
38, 0, 0, 0, 1.17549e-38
39, 161457, 97300.5, 31632, 462997
40, 87720.2, 50987.3, 16130, 236516
41, 192139, 115479, 33400, 554224
42, 83813.5, 50146.2, 14542, 240652
43, 160861, 98241.3, 24661, 471153
44, 2624.15, 1376.7, 212, 7288
45, 3506.15, 1867.32, 395, 10724
46, 92993.6, 55429.1, 16581, 265726
47, 59980.9, 37153.1, 9230, 184644
48, 36905.7, 22823.3, 6167, 109212
49, 57023.6, 33681.2, 8226, 169154
50, 259589, 157111, 50744, 737000
51, 11147.6, 6901.02, 1956, 32915
52, 20095.2, 12143.8, 3233, 58203
53, 27454.9, 16241.6, 4982, 77707
54, 133516, 81690, 25113, 374791
55, 63726.8, 36408.1, 11191, 184514
56, 52246.9, 29583.4, 10676, 151071
57, 254516, 152247, 44791, 714073
58, 168936, 104391, 29810, 487537
59, 216627, 129468, 43189, 600729
60, 89475, 54079.1, 14707, 271882
61, 45332.4, 26994.7, 8842, 128413
62, 224238, 136115, 46498, 645542
