point, mean, stddev, min, max
0, 105.13, 162.39, 6, 864
1, 100.65, 154.318, 3, 865
2, 93.24, 134.226, 6, 878
3, 1539.73, 14262.4, 3, 143437
4, 1532.7, 14267.4, 5, 143484
5, 826.17, 7190.97, 5, 72359
6, 101.95, 163.399, 5, 985
7, 93.68, 130.032, 6, 688
8, 95.22, 129.032, 6, 688
9, 1542.27, 14264.5, 3, 143461
10, 99.45, 147.324, 7, 781
11, 111.17, 169.342, 6, 754
12, 103.78, 164.762, 6, 1000
13, 106.51, 161.215, 5, 882
14, 120.43, 297.46, 3, 2704
15, 114.02, 169.161, 7, 976
16, 106.59, 180.322, 3, 1134
17, 108.23, 195.063, 1, 1260
18, 96.64, 141.451, 5, 725
19, 110.25, 171.93, 7, 786
20, 107.12, 202.245, 6, 1562
21, 91.74, 122.235, 6, 546
22, 96.75, 151.665, 5, 775
23, 103.52, 192.679, 6, 1463
24, 164.47, 645.608, 3, 6390
25, 319.67, 2102.17, 6, 21172
26, 102.71, 150.351, 4, 722
27, 102.04, 155.284, 6, 872
28, 106.94, 189.649, 7, 1312
29, 98.18, 159.204, 5, 863
30, 100.55, 144.927, 9, 849
31, 112.47, 204.582, 3, 1353
32, 128.04, 221.025, 6, 1216
33, 125.81, 258.885, 4, 1786
34, 109.69, 180.599, 4, 918
35, 109.74, 176.468, 7, 1150
36, 154.38, 637.361, 4, 6371
37, 117.07, 192.015, 7, 1183
38, 107.42, 184.252, 6, 1028
39, 92.85, 155.877, 1, 976
40, 104.04, 151.369, 4, 729
41, 487.72, 3733.4, 5, 37577
42, 1529.95, 14291.7, 5, 143724
43, 105.14, 174.202, 7, 1278
44, 116.36, 222.252, 3, 1520
45, 92.23, 130.112, 6, 756
46, 109.12, 167.211, 5, 812
47, 102.55, 141.038, 2, 547
48, 101.1, 157.704, 4, 760
49, 99.29, 146.832, 5, 931
50, 103.3, 171.202, 6, 1071
51, 110.91, 178.429, 4, 981
52, 110.19, 173.002, 4, 1043
53, 127.39, 222.784, 4, 1304
54, 107.8, 160.667, 4, 865
55, 833.55, 7193.66, 6, 72385
56, 113.89, 159.41, 9, 829
57, 165.14, 646.126, 3, 6393
58, 110.21, 180.765, 1, 1217
59, 818.78, 7192.34, 6, 72367
60, 97.06, 137.981, 4, 700
61, 95.23, 145.263, 4, 807
62, 98.87, 160.522, 6, 1119
63, 97.79, 143.413, 4, 701
64, 91.27, 135.147, 6, 862
65, 112.36, 182.248, 3, 988
66, 104.84, 177.499, 3, 1091
67, 110.41, 166.715, 5, 863
68, 110.59, 184.484, 2, 1090
69, 112.9, 175.272, 4, 827
70, 110.64, 171.363, 7, 920
71, 103.77, 155.44, 4, 803
72, 96.41, 149.82, 3, 1019
73, 99.6, 158.863, 6, 888
74, 111.14, 184.459, 6, 1291
75, 106.54, 166.762, 6, 885
76, 113.34, 187.544, 6, 1043
77, 93.53, 146.146, 5, 814
78, 105.19, 151.401, 4, 857
79, 109.73, 181.377, 1, 1109
80, 104.35, 183.635, 6, 1077
81, 98.1, 150.77, 3, 750
82, 101.48, 158.151, 5, 823
83, 112.58, 191.984, 6, 1023
84, 110.19, 183.292, 3, 1125
85, 106.62, 170.018, 6, 831
86, 102.46, 155.089, 4, 815
87, 171.29, 646.515, 6, 6379
88, 101.73, 170.349, 4, 911
89, 98.24, 141.653, 4, 664
90, 112.63, 188.077, 3, 1239
91, 108.86, 177.567, 4, 1037
92, 835.21, 7193.75, 4, 72376
93, 102.06, 178.007, 6, 1108
94, 107.86, 162.957, 7, 779
95, 97.72, 141.881, 3, 871
96, 115.48, 190.003, 6, 994
97, 103.27, 186.619, 4, 1451
98, 99.96, 168.183, 4, 1241
99, 100.22, 178.66, 6, 1180
100, 111.95, 192.612, 8, 1264
101, 88.52, 124.831, 10, 745
102, 95.73, 146.388, 3, 888
103, 839.13, 7191.77, 3, 72366
104, 111.03, 171.963, 5, 1079
105, 113.67, 195.67, 6, 1110
106, 1533.27, 14297.3, 3, 143782
107, 108.12, 188.755, 5, 1471
108, 100.71, 169.222, 5, 1338
109, 96.31, 177.14, 4, 1337
110, 96.84, 139.753, 6, 686
111, 108.69, 174.53, 5, 1121
112, 101.44, 159.599, 7, 997
113, 93.03, 135.625, 2, 707
114, 99.47, 171.406, 4, 1194
115, 101.52, 161.195, 5, 977
116, 103.84, 180.196, 5, 932
117, 172.51, 652.302, 5, 6449
118, 104.27, 151.794, 3, 823
119, 99.31, 149.244, 5, 933
120, 1551.85, 14290.8, 5, 143733
121, 103.52, 178.268, 4, 1118
122, 99.95, 153.974, 4, 812
123, 105.31, 182.48, 6, 1178
124, 96.95, 150.667, 7, 923
125, 107.82, 177.855, 6, 985
126, 837.04, 7192.34, 3, 72374
127, 1601.76, 14296.9, 4, 143707
128, 111.98, 187.508, 5, 940
129, 112.85, 182.428, 1, 898
130, 96.29, 137.54, 6, 746
131, 104.68, 159.613, 5, 872
132, 115.54, 213.49, 3, 1524
133, 112.24, 195.037, 6, 1121
134, 1537.44, 14289.1, 4, 143705
135, 122.65, 190.567, 2, 895
136, 106.19, 148.148, 4, 598
137, 110.77, 170.443, 2, 932
138, 97.93, 144.067, 7, 719
139, 100.63, 152.773, 6, 982
140, 838.27, 7193.47, 7, 72382
141, 1541.74, 14288.6, 5, 143701
142, 95.2, 132.714, 4, 626
143, 104.37, 166.778, 4, 798
144, 111.63, 194.217, 6, 1053
145, 97.59, 144.979, 6, 752
146, 92.02, 138.075, 12, 938
147, 427.12, 3229.05, 5, 32514
148, 112.2, 176.674, 7, 1152
149, 94.94, 148.633, 6, 735
150, 820.71, 7194.3, 6, 72389
151, 106.48, 159.379, 7, 933
152, 110.54, 170.861, 3, 919
153, 105.72, 177.969, 2, 1257
154, 99.29, 141.72, 6, 745
155, 120.8, 194.018, 7, 1038
156, 119.36, 192.899, 3, 1151
157, 177.41, 649.317, 9, 6386
158, 99.92, 149.265, 4, 882
159, 101.43, 183.154, 5, 1106
160, 90.79, 140.139, 6, 934
161, 102.09, 154.207, 4, 975
162, 108.92, 168.25, 4, 978
163, 95.75, 144.094, 7, 789
164, 489.45, 3865.23, 4, 38923
165, 97.67, 132.544, 7, 682
166, 115.9, 202.702, 3, 1259
167, 112.42, 179.673, 4, 1047
168, 120.15, 206.647, 4, 1293
169, 98.66, 156.257, 3, 933
170, 110.62, 199.027, 6, 1476
171, 121.77, 204.651, 5, 1062
172, 99.61, 162.166, 5, 1022
173, 102.66, 167.027, 5, 885
174, 107.63, 161.439, 7, 733
175, 103.37, 162.949, 3, 865
176, 99.11, 156.454, 4, 1082
177, 103.6, 158.542, 3, 907
178, 85.7, 129.49, 7, 789
